#qsoName		ra		dec			Z		Y		J		H		K		errZ		errY		errJ		errH		errK		
PSOJ210.8722-12.0094	210.872220003	-12.009482		-1000		20.7075		20.3412		20.6802		21.3357		-1000		0.122577	0.099995	0.257293	0.498425		
PSOJ212.2974-15.9865	212.297433697	-15.986571		-1000		22.2304		20.6342		21.2903		20.5259		-1000		0.658685	0.186165	0.443147	0.306337		
PSOJ213.3629-22.5617	213.36299  	-22.561737		-1000		19.7145		19.8056		-1000		19.3777		-1000		0.042984	0.06457		-1000		0.094756		
PSOJ213.7329-13.4803	213.7329225	-13.480354		-1000		20.6644		21.0081		20.5013		20.2964		-1000		0.121977	0.184276	0.159537	0.174488		
PSOJ215.1514-16.0417	215.151429998	-16.041735		-1000		19.2424		18.8221		18.6811		18.6299		-1000		0.031551	0.023106	0.03097		0.042247		
PSOJ217.0891-16.0453	217.089132802	-16.045360		-1000		20.0203		19.7141		19.7292		19.3745		-1000		0.054545	0.046124	0.065423	0.076159		
PSOJ217.9185-07.4120	217.9185333	-7.4120744		-1000		20.3259		19.8515		19.8433		19.8223		-1000		0.079707	0.054118	0.091421	0.11162		
PSOJ231.6576-20.8335	231.6576708	-20.833516		-1000		-1000		19.5996		-1000		19.5321		-1000		-1000		0.049744	-1000		0.091739		
PSOJ238.8510-06.8976	238.8510335	-6.8976629		-1000		20.2103		20.4205		20.5136		20.7028		-1000		0.081407	0.128415	0.275975	0.30551		
PSOJ239.7124-07.4026	239.712460902	-7.4026641		-1000		19.5572		19.3743		19.2559		18.982		-1000		0.040722	0.038702	0.058323	0.058812		
PSOJ242.4397-12.9816	242.439710002	-12.981697		-1000		-1000		19.7069		-1000		19.4636		-1000		-1000		0.067868	-1000		0.205653		
PSOJ245.0636-00.1978	245.063676598	-0.1978599		-1000		20.7887		20.7952		24.5278		21.2039		-1000		0.182446	0.195115	8.67996		0.585903		
PSOJ308.0416-21.2339	308.0416401	-21.233975		-1000		20.3059		20.1824		-1000		19.3132		-1000		0.052517	0.071429	-1000		0.074736		
PSOJ308.4829-27.6485	308.48297  	-27.6485  		-1000		19.6375		19.7945		19.7698		19.6323		-1000		0.063712	0.070897	0.089537	0.111812		
PSOJ319.6040-10.9326	319.604029997	-10.93262 		-1000		19.8405		19.8912		-1000		19.8124		-1000		0.034363	0.051879	-1000		0.123654		
PSOJ320.8703-24.3604	320.870329997	-24.3604  		-1000		20.2294		19.8071		-1000		19.5515		-1000		0.047619	0.046679	-1000		0.0889		
PSOJ328.7339-09.5076	328.7339966	-9.5076274		-1000		20.392		20.192		-1000		19.9992		-1000		0.073794	0.098433	-1000		0.190257		
PSOJ340.2041-18.6621	340.204170003	-18.66217 		-1000		19.9429		21.826		-1000		19.5775		-1000		0.048125	0.425856	-1000		0.128144		
PSOJ359.1352-06.3831	359.1352149	-6.3831264		-1000		20.0694		19.964		19.7554		19.4051		-1000		0.06983		0.070735	0.08411		0.078839		
ATLASJ025.6821-33.4627	25.6821971997	-33.46263 19.5172	19.1365		19.101		-1000		18.7545		0.008029	0.010779	0.007404	-1000		0.022233		
ATLASJ029.9915-36.5658	29.9915479 	-36.565723		-1000		-1000		19.4814		-1000		19.2296		-1000		-1000		0.019755	-1000		0.044849		
ATLASJ158.6938-14.4211	158.6938   	-14.4211  		-1000		19.2763		19.2727		19.1888		18.6796		-1000		0.052355	0.059964	0.077283	0.071054		
ATLASJ332.8017-32.1036	332.8007083	-32.103555		23.8964		-1e+09		25.2703		-1000		-1000		0.415021	-1e+09		3.12902		-1000		-1000				
