#qsoName		ra		dec			Z		Y		J		H		K		errZ		errY		errJ		errH		errK		
SDSSJ0218-0027		34.5878333	-0.4626946		-1000		-1000		20.8991		21.1211		20.4464		-1000		-1000		0.056903	0.365647	0.075054		
SDSSJ0230+0046		37.5094583	0.77966669		-1000		-1000		21.6038		21.0896		21.6239		-1000		-1000		0.184825	0.171392	0.382783		
SDSSJ0231-0728		37.90683329	-7.4817777		-1000		-1000		19.2099		-1000		18.7682		-1000		-1000		0.019164	-1000		0.0405		
SDSSJ0239-0045		39.876		-0.7514999		-1000		-1000		22.3491		21.5151		21.1938		-1000		-1000		0.426583	0.29995		0.30436		
SDSSJ0301+0020		45.3208749	0.34055559		-1000		-1000		22.9738		-1e+09		24.7125		-1000		-1000		0.823641	-1e+09		8.02265		
SDSSJ0303-0019		45.880833	-0.3202499		-1000		-1000		20.9315		21.2601		-1000		-1000		-1000		0.12737		0.216643	-1000		
SDSSJ0321+0029		50.4794583	0.4948335 		-1000		-1000		21.3548		20.8008		21.0399		-1000		-1000		0.121544	0.137712	0.188226		
SDSSJ0338+0021		54.6221248	0.3656388 		-1000		-1000		19.6338		19.3508		19.4284		-1000		-1000		0.040788	0.059343	0.065381		
SDSSJ0341-0048		55.424375	-0.8035444		-1000		-1000		20.0276		20.1058		20.0092		-1000		-1000		0.054211	0.077576	0.099814		
SDSSJ0349+0034		57.4974998	0.56763880		-1000		-1000		21.2688		21.9278		20.1974		-1000		-1000		0.134096	0.413484	0.102981		
SDSSJ0353+0104		58.4572136	1.0679614 		-1000		-1000		20.2903		19.9813		19.7263		-1000		-1000		0.068888	0.082631	0.082321		
SDSSJ0836+0054		129.1827665	0.91479340		18.7868		18.8102		18.6254		18.331		18.1094		0.004361	0.007334	0.008075	0.009514	0.010191		
SDSSJ0959+0227		149.78375	2.4520444 		-1000		24.2011		24.1788		23.6319		23.4436		-1000		0.055539	0.073188	0.06333		0.083984		
SDSSJ1000+0234		150.2145833	2.5826333 		-1000		26.3527		26.9776		29.0018		26.5409		-1000		0.331073	0.62756		7.58539		1.12801		
SDSSJ1040-1155		160.2025	-11.930611		-1000		21.973		21.5905		22.1483		20.4906		-1000		0.419943	0.400756	1.17663		0.63507		
SDSSJ1044-0125		161.137669999	-1.4172777		19.3157		19.3014		19.1442		19.0821		18.88		0.008164	0.015669	0.009747	0.014863	0.022498		
SDSSJ1123-0044		170.7964583	-0.7385111		-1000		-1000		-1000		19.9281		19.6307		-1000		-1000		-1000		0.053704	0.049883		
SDSSJ1204-0021		181.1738947	-0.3637859		19.133		19.0645		19.0186		18.8071		18.7733		0.005591	0.010367	0.011244	0.02445		0.026686		
SDSSJ1208+0010		182.09925  	0.17436110		20.4216		20.3402		20.3476		-1000		-1000		0.020739	0.04319		0.046886	-1000		-1000		
SDSSJ1233+0622		188.3894733	6.376165  		-1000		-1000		19.7347		-1000		19.1987		-1000		-1000		0.023658	-1000		0.021144		
SDSSJ1306+0356		196.5344701	3.94065560		19.5317		20.037		19.682		19.6226		19.3628		0.014035	0.044328	0.04069		0.054243	0.04932		
SDSSJ1429+3304		217.4082083	33.0711667		-1000		-1000		-1000		-1000		-1000		-1000		-1000		-1000		-1000		-1000		
SDSSJ2053+0047		313.3407   	0.7852222 		-1000		-1000		21.1041		20.3073		20.3151		-1000		-1000		0.202136	0.162763	0.155456		
SDSSJ2054-0005		313.52704  	-0.0874443		-1000		-1000		20.5995		20.1506		20.2603		-1000		-1000		0.090454	0.08371		0.116134		
SDSSJ2118-0003		319.553041603	-0.0640833		-1000		-1000		20.9861		21.0501		20.3564		-1000		-1000		0.101479	0.161158	0.121165		
SDSSJ2119-0040		319.9662083	-0.67225  		-1000		-1000		21.5185		22.2086		20.8814		-1000		-1000		0.143981	0.412747	0.172898		
SDSSJ2147+0107		326.980870004	1.1320277 		-1000		-1000		20.9619		21.1878		20.7681		-1000		-1000		0.15297		0.319104	0.251651		
SDSSJ2211+0011		332.920875 	0.18858329		-1000		-1000		22.5388		21.2079		20.8		-1000		-1000		0.55071		0.270105	0.212201		
SDSSJ2212-0042		333.2145417	-0.7085278		-1000		-1000		20.445		19.6594		19.827		-1000		-1000		0.050246	0.056452	0.053517		
