#survey qsoName              ra          dec        redshift   Z            errZ         Y             errY          J             errJ          H             errH          K             errK          unW1mag   unW1err   unW1snr    unW2mag   unW2err   unW2snr    w3mpro   w3sig   w3snr   w4mpro   w4sig   w4snr  
  SDWISE	J0115-0253     18.9427916    -2.8867333   5.07       19.88182     0.075765     19.906525     0.085058      19.621307     0.074633      19.528025     0.086688      19.502531     0.086432      16.367    0.0299    35.862     15.8333   0.0703    14.9617    11.76    0.0     1.7     8.322    0.0     1.4    
  SDSS		J0120+2147       20.224708     21.7850555   5.42       -999.99999   -999.99999   -999.99999    -999.99999    20.085098     0.100925      -999.99999    -999.99999    -999.99999    -999.99999    16.5474   0.0329    32.5121    15.9176   0.0716    14.6617    12.466   0.0     0.6     9.267    0.0     -0.1   
  SDSS		J0129-0028       22.281        -0.4793055   5.01       -999.99999   -999.99999   21.069384     0.199203      21.301142     0.369346      21.39004      0.352881      -999.99999    -999.99999    18.1338   0.1354    7.5267     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0129-0035       22.493791     -0.5943611   5.78       -999.99999   -999.99999   22.022549     0.475681      21.28061      0.355731      21.147049     0.281562      -999.99999    -999.99999    -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDWISE	J0131-0321     22.8639166    -3.3500527   5.18       -999.99999   -999.99999   -999.99999    -999.99999    17.845201     0.035072      -999.99999    -999.99999    -999.99999    -999.99999    14.5423   0.0071    152.6593   13.8866   0.0136    79.5241    11.446   0.17    6.2     8.492    0.0     1.9    
  SDSS		J0133+0106       23.3618333    1.1104722    5.3        -999.99999   -999.99999   20.280527     0.097357      20.628464     0.188544      20.036257     0.134039      19.95824      0.157775      16.8501   0.0471    22.5594    15.8709   0.0756    13.8635    12.439   0.0     0.4     8.829    0.0     0.3    
  CFHQS		J0136+0226      24.013208     2.4349166    6.21       -999.99999   -999.99999   -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   22.732607     1.67559       -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  ULAS		J0148+0600       27.1568128    6.0055734    5.98       19.227562    0.011163     19.51951      0.047272      19.113623     0.016099      19.125067     0.05861       19.022392     0.053532      16.1075   0.0238    45.113     15.3565   0.0462    23.0269    12.175   0.3     3.7     8.964    0.39    2.8    
  SDWISE	J0155+0415     28.8886666    4.2518725    5.35       -999.99999   -999.99999   19.633602     0.058392      19.210033     0.052375      19.007208     0.047094      18.911121     0.052813      16.1298   0.0253    42.429     15.2665   0.0432    24.6537    12.306   0.0     1.1     8.367    0.0     1.9    
  SDSS		J0157+3001       29.439375     30.0196333   5.63       -999.99999   -999.99999   -999.99999    -999.99999    18.98235      0.044631      -999.99999    -999.99999    -999.99999    -999.99999    15.442    0.0137    78.5532    14.6582   0.0255    42.1191    11.938   0.0     1.5     8.545    0.0     0.9    
  ULAS		J0203+0012       30.8849155    0.2081304    5.72       -999.99999   -999.99999   20.464392     0.091507      19.945452     0.080096      19.118025     0.052807      19.215742     0.071212      16.5206   0.0342    31.2343    15.8785   0.072     14.5933    12.319   0.4     2.7     9.065    0.0     0.2    
  CFHQS		J0210-0456      32.554958     -4.9391388   6.43       -999.99999   -999.99999   -999.99999    -999.99999    22.099144     0.124564      -999.99999    -999.99999    -999.99999    -999.99999    -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0210+0003       32.7361249    0.0513056    5.05       -999.99999   -999.99999   21.391594     0.245157      20.904385     0.206123      21.222845     0.546922      20.09643      0.168171      16.9146   0.0455    23.3466    16.0819   0.0833    12.542     12.533   0.37    2.9     9.11     0.54    2.0    
