#survey qsoName              ra          dec        redshift   Z            errZ         Y             errY          J             errJ          H             errH          K             errK          unW1mag   unW1err   unW1snr    unW2mag   unW2err   unW2snr    w3mpro   w3sig   w3snr   w4mpro   w4sig   w4snr  
  SHELLQs	J0857+0056    134.4105416   0.9368611    6.35       -999.99999   -999.99999   24.103844     1.777051      23.545918     0.894208      -9.999995E8   -9.999995E8   23.54936      2.123892      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J0858+0000    134.5562917   0.0158611    5.99       -999.99999   -999.99999   22.050102     0.411129      21.434067     0.213407      21.93272      0.626825      21.667852     0.763037      18.3912   0.1672    6.0078     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  HSC		J0859+0022        134.7799583   0.3821944    6.39       -999.99999   -999.99999   22.69086      0.767895      23.600985     1.514245      23.114206     1.326459      21.33767      0.390085      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  PSO		J135.3860+16.2518 135.3860431   16.2518985   5.63       -999.99999   -999.99999   -999.99999    -999.99999    20.598207     0.195628      -999.99999    -999.99999    -999.99999    -999.99999    17.6226   0.0938    11.0815    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0902+0851       135.6906706   8.8544229    5.21       -999.99999   -999.99999   20.046495     0.093849      19.890512     0.043847      19.631351     0.049972      19.485321     0.053899      16.7495   0.0428    24.8876    15.8551   0.0721    14.5696    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J0902+0155    135.728625    1.9196944    6.01       -999.99999   -999.99999   22.442421     0.700947      22.601448     0.378262      23.427382     0.360431      21.58668      0.630011      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J0903+0211    135.8111666   2.1911944    5.92       -999.99999   -999.99999   23.02093      1.209713      -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J0905+0300    136.4360416   3.0163333    6.27       -999.99999   -999.99999   -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   25.154713     4.605124      22.871622     1.766221      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J0909+0440    137.3395833   4.6785833    6.15       -999.99999   -999.99999   21.611835     0.228539      22.17414      0.559965      22.95397      1.890018      21.857609     0.784366      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  DELS		J0910+1656       137.556791    16.9416111   6.72       -999.99999   -999.99999   -999.99999    -999.99999    20.73642      0.22213       -999.99999    -999.99999    -999.99999    -999.99999    17.5037   0.0821    12.7327    -99.999   -9.99     -99.999    12.411   0.0     0.3     9.059    0.0     0.0    
  DELS		J0910-0414       137.727208    -4.2352222   6.63       -999.99999   -999.99999   -999.99999    -999.99999    20.233637     0.143202      -999.99999    -999.99999    -999.99999    -999.99999    16.8579   0.0433    24.5681    15.9898   0.0748    14.0162    12.314   0.0     0.3     9.134    0.0     -0.9   
  SHELLQs	J0911+0152    137.8094583   1.8720556    6.07       -999.99999   -999.99999   -9.999995E8   -9.999995E8   25.232147     8.481326      -9.999995E8   -9.999995E8   21.323423     0.446054      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0913+5919       138.3189634   59.3226888   5.12       -999.99999   -999.99999   -999.99999    -999.99999    20.24048      0.15381       -999.99999    -999.99999    -999.99999    -999.99999    17.077    0.0498    21.3165    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0915+4924       138.931842    49.4046241   5.19       -999.99999   -999.99999   -999.99999    -999.99999    19.51009      0.062545      -999.99999    -999.99999    -999.99999    -999.99999    16.4674   0.0307    34.8542    15.6236   0.0539    19.6502    12.421   0.44    2.5     8.807    0.0     0.5    
  SHELLQs	J0918+0139    139.6382083   1.6564722    6.19       -999.99999   -999.99999   22.630491     0.643682      -9.999995E8   -9.999995E8   25.858183     19.397446     21.983412     0.771966      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J0921+0007    140.3356667   0.1230278    6.56       -999.99999   -999.99999   21.015503     0.189761      21.112988     0.210464      20.870049     0.294916      20.380962     0.221005      17.3891   0.0733    14.3107    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0922+2653       140.5700563   26.8997376   5.05       -999.99999   -999.99999   -999.99999    -999.99999    20.05861      0.080332      -999.99999    -999.99999    -999.99999    -999.99999    17.0321   0.0522    20.3008    16.6043   0.1319    7.7393     11.937   0.0     0.9     8.73     0.0     -0.2   
  SDSS		J0923+3009       140.9032672   30.1637729   5.07       -999.99999   -999.99999   -999.99999    -999.99999    20.616667     0.230626      -999.99999    -999.99999    -999.99999    -999.99999    17.4799   0.0754    13.9035    16.6161   0.132     7.7345     -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J0923+0402    140.9463333   4.0484444    6.6        -999.99999   -999.99999   20.9511       0.141585      20.225409     0.10268       19.953457     0.147997      19.5181       0.092397      16.5313   0.0351    30.4439    15.7683   0.066     15.9651    11.955   0.0     1.3     8.404    0.0     1.2    
  SDSS		J0927+2001       141.8409198   20.0232334   5.77       -999.99999   -999.99999   -999.99999    -999.99999    20.058765     0.141586      -999.99999    -999.99999    -999.99999    -999.99999    16.9077   0.0491    21.6287    16.5788   0.1417    7.1728     11.858   0.0     1.6     8.425    0.0     1.0    
  SDSS		J0932+1222       143.2073307   12.3682803   5.02       -999.99999   -999.99999   -999.99999    -999.99999    20.402822     0.203079      -999.99999    -999.99999    -999.99999    -999.99999    -99.999   -9.99     -99.999    16.537    0.1277    8.0113     -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0948+2106       147.2306816   21.1087694   5.17       -999.99999   -999.99999   -999.99999    -999.99999    19.668137     0.075457      -999.99999    -999.99999    -999.99999    -999.99999    17.1137   0.0583    18.1177    16.4735   0.1234    8.3054     12.281   0.0     0.2     8.76     0.0     0.0    
  SDSS		J0957+0610       149.281988    6.1832069    5.14       -999.99999   -999.99999   19.202583     0.019693      19.024244     0.020782      18.71557      0.023911      18.664543     0.02953       16.0337   0.0226    47.5937    15.4645   0.0506    20.9504    11.918   0.0     1.8     8.434    0.0     1.4    
  SDUV		J0957+1016       149.3008333   10.2718056   5.14       -999.99999   -999.99999   19.953257     0.078571      19.974575     0.060604      19.693392     0.076432      19.86978      0.092097      17.2231   0.063     16.7483    16.5319   0.1261    8.121      12.178   0.41    2.6     8.857    0.51    2.1    
  SDSS		J0957+0519       149.3661115   5.3181323    5.18       -999.99999   -999.99999   19.734068     0.051258      19.639902     0.042137      19.596647     0.084978      19.675652     0.099289      16.8768   0.0467    22.7286    16.4162   0.1147    8.9768     -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J0957+0053    149.4182917   0.8926667    6.05       -999.99999   -999.99999   -9.999995E8   -9.999995E8   22.896746     0.59222       -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0958+3524       149.558451    35.4135633   5.12       -999.99999   -999.99999   -999.99999    -999.99999    20.926123     0.21918       -999.99999    -999.99999    -999.99999    -999.99999    16.6844   0.036     29.6245    16.2647   0.093     11.1866    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0959+0227       149.78375     2.4520444    5.07       -999.99999   -999.99999   25.625792     0.819971      24.130123     0.233055      23.898922     0.387561      23.58372      0.444212      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1000+2103       150.1823993   21.0574094   5.07       -999.99999   -999.99999   -999.99999    -999.99999    19.610188     0.079228      -999.99999    -999.99999    -999.99999    -999.99999    16.5737   0.0372    28.7173    15.8464   0.0719    14.6049    12.176   0.45    2.4     8.443    0.0     1.2    
  SDSS		J1000+0234       150.2145833   2.5826333    5.3        -999.99999   -999.99999   27.057327     2.77418       30.257797     57.243446     29.153927     75.57138      -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J1004+0239    151.0056667   2.6585278    6.41       -999.99999   -999.99999   22.038198     0.464724      22.541407     0.07406       22.444082     0.10951       21.899157     0.076527      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDUV		J1006-0310       151.560875    -3.1751111   5.55       -999.99999   -999.99999   19.737724     0.059653      19.693718     0.048616      19.30913      0.0548        19.13946      0.064272      16.287    0.0276    38.8146    15.5015   0.0527    20.1127    12.305   0.0     0.2     8.4      0.0     1.4    
  SDSS		J1013+4240       153.4013916   42.6740006   5.03       -999.99999   -999.99999   -999.99999    -999.99999    20.194118     0.144007      -999.99999    -999.99999    -999.99999    -999.99999    17.202    0.0527    20.1188    16.7869   0.138     7.3769     11.978   0.0     1.7     8.608    0.0     1.2    
  SDUV		J1022+0801       155.5079583   8.0228333    5.36       -999.99999   -999.99999   19.18091      0.025157      19.04703      0.026541      18.939985     0.031451      18.805656     0.031028      15.9562   0.023     46.8102    14.8929   0.0323    33.1593    11.474   0.22    5.0     8.411    0.0     0.7    
  SDSS		J1022+2252       155.5418621   22.873735    5.47       -999.99999   -999.99999   -999.99999    -999.99999    19.371758     0.059368      -999.99999    -999.99999    -999.99999    -999.99999    15.8015   0.0179    60.1787    14.8318   0.0284    37.7024    12.448   0.49    2.2     8.522    0.0     0.4    
  SDSS		J1026+2542       156.5984527   25.7165128   5.25       -999.99999   -999.99999   -999.99999    -999.99999    19.43362      0.072039      -999.99999    -999.99999    -999.99999    -999.99999    16.6887   0.0385    27.6792    15.7094   0.0619    17.0591    12.076   0.0     0.7     8.444    0.0     1.5    
  SDSS		J1028+0746       157.1393988   7.7719322    5.15       -999.99999   -999.99999   19.979311     0.043374      19.828163     0.050386      19.656425     0.055232      19.597017     0.061164      16.8782   0.0477    22.2613    16.1813   0.1011    10.2496    12.058   0.0     0.4     8.302    0.0     0.8    
  SDSS		J1030+0524       157.6129585   5.4152946    6.31       -999.99999   -999.99999   19.971636     0.049299      19.874456     0.061291      19.793024     0.089792      19.49178      0.067473      16.5129   0.0356    29.9808    15.7341   0.067     15.7063    12.05    0.0     0.8     8.484    0.0     0.7    
  PSO		J157.9070-02.6599 157.9070364   -2.6599073   5.88       -999.99999   -999.99999   20.561005     0.136207      20.779015     0.242863      20.176996     0.168051      19.757298     0.115184      16.9497   0.0485    21.8707    16.2136   0.0975    10.6433    12.007   0.0     1.3     9.017    0.0     -0.2   
  SDSS		J1034+5722       158.5597083   57.3743611   5.4        -999.99999   -999.99999   -999.99999    -999.99999    23.325052     0.133793      -999.99999    -999.99999    23.107183     0.212809      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1034+2033       158.577705    20.5500594   5.01       -999.99999   -999.99999   -999.99999    -999.99999    19.743223     0.085417      -999.99999    -999.99999    -999.99999    -999.99999    15.8253   0.0192    55.9378    15.1333   0.0387    27.549     11.974   0.34    3.2     8.418    0.44    2.5    
  PSO		J159.2257-02.5438 159.225791    -2.5438734   6.38       -999.99999   -999.99999   20.086435     0.093038      19.967813     0.11713       19.731544     0.115335      19.840199     0.129168      16.8303   0.0458    23.2103    15.7125   0.0637    16.5463    12.475   0.51    2.1     8.898    0.0     -0.4   
  SDSS		J1043+1010       160.8966374   10.1762712   5.08       -999.99999   -999.99999   20.826576     0.122958      20.82661      0.18541       20.062712     0.136883      20.557365     0.214852      17.8461   0.1129    9.1266     16.7764   0.167     6.0127     12.441   0.0     0.0     8.719    0.0     -0.7   
  SDSS		J1044-0125       161.13767     -1.4172777   5.78       -999.99999   -999.99999   19.481758     0.035222      19.197666     0.033388      19.110592     0.050428      18.901796     0.041274      16.2186   0.0261    41.0786    15.5956   0.0563    18.8022    12.453   0.52    2.1     9.018    0.54    2.0    
  DELS		J1048-0109       162.0829167   -1.1611694   6.63       -999.99999   -999.99999   20.120575     0.072897      19.596        0.059963      19.363455     0.100149      18.8568       0.054731      15.6791   0.0171    62.8259    15.5253   0.0539    19.6557    11.968   0.0     0.9     8.932    0.0     -0.5   
  SDSS		J1048+3339       162.153041    33.6632388   5.61       -999.99999   -999.99999   -999.99999    -999.99999    19.791807     0.081839      -999.99999    -999.99999    -999.99999    -999.99999    17.3077   0.0609    17.3222    16.5625   0.1179    8.7161     12.293   0.0     0.6     9.01     0.0     -0.3   
  SDSS		J1048+4637       162.187771    46.6218184   6.23       -999.99999   -999.99999   19.496935     0.055186      19.09799      0.033425      18.920996     0.049182      18.935009     0.055987      16.2526   0.0246    43.7052    15.7205   0.0554    19.0951    12.052   0.0     1.8     8.661    0.0     0.9    
  SDSS		J1050+5804       162.651948    58.0735236   5.16       -999.99999   -999.99999   19.789782     0.008442      19.906954     0.005644      -999.99999    -999.99999    19.43085      0.008035      16.502    0.0286    37.496     15.6479   0.0495    21.417     12.735   0.53    2.1     9.14     0.0     0.0    
  SDSS		J1053+5804       163.345787    58.0700362   5.26       -999.99999   -999.99999   19.379183     0.006322      19.45684      0.004208      -999.99999    -999.99999    19.240526     0.005667      16.6747   0.0328    32.5856    15.9907   0.0655    16.07      12.223   0.0     1.4     8.908    0.34    3.2    
  SDSS		J1054+4637       163.522166    46.6250694   5.47       -999.99999   -999.99999   -999.99999    -999.99999    19.508154     0.065838      -999.99999    -999.99999    -999.99999    -999.99999    16.7037   0.0351    30.437     15.949    0.0648    16.2533    12.147   0.0     1.6     8.815    0.36    3.0    
  SDSS		J1054+1633       163.6892965   16.5603856   5.13       -999.99999   -999.99999   -999.99999    -999.99999    19.522186     0.04859       -999.99999    -999.99999    -999.99999    -999.99999    16.0056   0.0226    47.4722    15.2984   0.0451    23.5912    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1101+0531       165.3931661   5.5260737    5.0        -999.99999   -999.99999   18.903887     0.026561      18.99107      0.034905      18.913162     0.030975      19.007404     0.047397      16.5855   0.0386    27.6267    16.14     0.0947    10.9685    11.882   0.0     1.2     8.533    0.44    2.5    
  DELS		J1104+2134       166.089958    21.5746666   6.74       -999.99999   -999.99999   -999.99999    -999.99999    19.91342      0.103001      -999.99999    -999.99999    -999.99999    -999.99999    17.2253   0.0594    17.7893    16.5316   0.1239    8.2695     12.65    0.0     -1.2    8.858    0.0     -0.7   
  PSO		J167.4726+56.9521 167.4726271   56.9521143   5.95       -999.99999   -999.99999   -999.99999    -999.99999    20.594164     0.191506      -999.99999    -999.99999    -999.99999    -999.99999    17.8515   0.0865    12.0577    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1119+3452       169.836       34.88003     5.01       -999.99999   -999.99999   -999.99999    -999.99999    19.771143     0.090473      -999.99999    -999.99999    -999.99999    -999.99999    16.7655   0.0371    28.7882    16.062    0.0732    14.3352    12.295   0.0     0.8     8.618    0.0     0.7    
  ULAS		J1120+0641       170.00616     6.6900833    7.08       -999.99999   -999.99999   20.24345      0.035804      20.164795     0.053596      20.156404     0.048322      19.613373     0.039563      16.9385   0.0497    21.3429    16.4745   0.1274    8.0317     12.352   0.0     0.2     8.2      0.0     1.0    
  SDSS		J1122+1342       170.7085131   13.7101246   5.19       -999.99999   -999.99999   20.61353      0.11516       21.058212     0.07257       20.69122      0.043901      20.494707     0.037514      17.4733   0.0774    13.5261    16.7858   0.1571    6.4247     12.516   0.0     -0.4    8.639    0.0     0.9    
  SDSS		J1123-0044       170.7964583   -0.7385111   5.0        -999.99999   -999.99999   20.514988     0.07242       20.013638     0.070278      20.203108     0.128785      20.22128      0.207115      17.1031   0.0577    18.3152    16.4358   0.1179    8.7175     12.175   0.0     0.6     8.921    0.0     -1.7   
  SDSS		J1125+4448       171.3171439   44.8124751   5.11       -999.99999   -999.99999   -999.99999    -999.99999    19.442709     0.071113      -999.99999    -999.99999    -999.99999    -999.99999    16.0855   0.0208    51.8345    15.4124   0.0416    25.6196    12.463   0.39    2.8     8.349    0.0     1.8    
  SDSS		J1126+1734       171.658206    17.5829312   5.22       -999.99999   -999.99999   -999.99999    -999.99999    19.55377      0.066526      -999.99999    -999.99999    -999.99999    -999.99999    16.6707   0.0385    27.7134    15.8863   0.0725    14.4857    11.831   0.0     1.0     8.635    0.0     0.5    
  PSO		J172.1770+26.8866 172.1770011   26.8866654   5.77       -999.99999   -999.99999   -999.99999    -999.99999    20.403738     0.119795      -999.99999    -999.99999    -999.99999    -999.99999    17.1618   0.0549    19.2645    16.5996   0.1252    8.1808     12.305   0.0     0.6     8.402    0.0     -0.3   
  SDSS		J1128+5759       172.2410328   57.9860676   5.0        -999.99999   -999.99999   -999.99999    -999.99999    19.11709      0.045512      -999.99999    -999.99999    -999.99999    -999.99999    16.522    0.0296    36.1632    15.9675   0.0655    16.0746    12.429   0.38    2.9     9.044    0.0     0.1    
  SDSS		J1132+1209       173.19375     12.1504722   5.17       -999.99999   -999.99999   19.362083     0.045159      19.179203     0.039516      18.941948     0.031542      18.980188     0.054887      16.0284   0.0223    48.1455    15.2574   0.0436    24.4054    11.726   0.29    3.8     8.391    0.0     1.2    
  SDUV		J1133+1603       173.2865833   16.0654722   5.61       -999.99999   -999.99999   19.705952     0.053179      19.7987       0.062335      19.628792     0.073883      19.47176      0.077683      16.3241   0.0278    38.5224    15.6342   0.0573    18.4366    12.099   0.0     1.3     8.803    0.0     0.1    
  SDUV		J1134+0828       173.5592917   8.4814722    5.69       -999.99999   -999.99999   20.230871     0.047087      20.30027      0.055902      19.919317     0.063958      19.758795     0.062889      16.381    0.0325    32.8661    15.1294   0.0403    26.4632    12.244   0.41    2.7     8.204    0.0     1.4    
  DELS		J1135+5011       173.787208    50.1924999   6.58       -999.99999   -999.99999   -999.99999    -999.99999    20.443699     0.137062      -999.99999    -999.99999    -999.99999    -999.99999    17.2323   0.0515    20.582     16.4588   0.0961    10.801     12.268   0.0     1.2     8.749    0.0     0.8    
  SDSS		J1137+3549       174.3238678   35.8324586   6.03       -999.99999   -999.99999   -999.99999    -999.99999    19.397602     0.059107      -999.99999    -999.99999    -999.99999    -999.99999    16.4334   0.028     38.2632    15.7254   0.0568    18.6311    11.931   0.0     1.2     8.726    0.0     0.8    
  SDSS		J1143+3808       175.9097797   38.1413398   5.8        -999.99999   -999.99999   -999.99999    -999.99999    19.92214      0.113547      -999.99999    -999.99999    -999.99999    -999.99999    16.8775   0.04      26.6653    16.1355   0.0774    13.5281    12.801   0.0     -0.2    8.957    0.0     0.2    
  SHELLQs	J1146-0154    176.6360833   -1.9106389   6.16       -999.99999   -999.99999   -999.99999    -999.99999    -9.999995E8   -9.999995E8   23.288774     2.412427      -9.999995E8   -9.999995E8   17.0706   0.0572    18.4912    16.6013   0.1389    7.3297     12.522   0.0     -1.0    8.999    0.0     0.0    
  SHELLQs	J1146+0124    176.70175     1.4055833    6.27       -999.99999   -999.99999   22.652601     0.870256      22.679884     0.308192      23.812078     1.717417      22.511175     0.315058      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1146+4037       176.7408      40.61907     5.01       -999.99999   -999.99999   -999.99999    -999.99999    19.343246     0.067117      -999.99999    -999.99999    -999.99999    -999.99999    15.8937   0.0177    60.8771    15.1753   0.0335    31.8875    12.14    0.0     1.8     8.55     0.0     1.1    
  SHELLQs	J1146-0005    176.745375    -0.0938056   6.3        -999.99999   -999.99999   -9.999995E8   -9.999995E8   21.85845      0.605911      -9.999995E8   -9.999995E8   21.55455      0.528092      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDUV		J1147-0109       176.7767083   -1.1661667   5.31       -999.99999   -999.99999   19.179781     0.028895      -999.99999    -999.99999    -999.99999    -999.99999    -999.99999    -999.99999    16.4862   0.0345    30.9697    15.7929   0.069     15.2322    11.947   0.34    3.2     8.691    0.42    2.6    
  ULAS		J1148+0702       177.0137037   7.0356349    6.34       -999.99999   -999.99999   20.3127       0.029519      20.197184     0.041178      19.765768     0.091532      19.417944     0.072001      16.5559   0.0359    29.7832    15.6853   0.0618    17.0655    12.086   0.0     0.6     8.242    0.0     1.9    
  RD		J1148+5253         177.06754     52.89425     5.7        -999.99999   -999.99999   21.45602      0.31433       -9.999995E8   -9.999995E8   22.906454     1.846944      22.193125     1.125085      18.3618   0.1325    7.7051     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1148+5251       177.0693757   52.8639986   6.42       -999.99999   -999.99999   18.971964     0.036052      18.927994     0.042082      18.768538     0.041082      18.705275     0.045617      16.0627   0.0194    55.3836    15.4276   0.0395    27.0171    12.558   0.45    2.4     8.906    0.47    2.3    
  SDSS		J1148+3020       177.1090253   30.3386968   5.13       -999.99999   -999.99999   -999.99999    -999.99999    19.669954     0.07008       -999.99999    -999.99999    -999.99999    -999.99999    16.921    0.0438    24.2845    16.3528   0.0986    10.5203    12.245   0.0     0.9     8.612    0.0     0.9    
  VIK		J1148+0056        177.13825     0.9450722    5.84       -999.99999   -999.99999   22.12144      0.526508      21.577303     0.107654      21.859617     0.270294      21.156103     0.083686      18.2225   0.1524    6.6352     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDUV		J1149+0748       177.4435417   7.8140556    5.66       -999.99999   -999.99999   20.354332     0.068278      20.29209      0.086173      20.077751     0.112543      19.883867     0.11071       17.3487   0.0725    14.4806    16.1907   0.0972    10.6751    12.547   0.0     -0.8    8.279    0.0     1.4    
  VIK		J1152+0055        178.08863     0.9268583    6.37       -999.99999   -999.99999   21.555553     0.319966      21.804514     0.369208      21.26917      0.40757       21.862095     0.721571      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1154+2333       178.5829944   23.5659084   5.01       -999.99999   -999.99999   -999.99999    -999.99999    20.054743     0.017986      19.811403     0.025774      19.783087     0.024453      16.8101   0.0393    27.1064    15.9278   0.0699    15.0324    12.507   0.5     2.2     8.219    0.0     2.0    
  SDSS		J1154+1341       178.6030599   13.6960522   5.0        -999.99999   -999.99999   20.063583     0.072739      19.837318     0.084214      19.65864      0.069621      19.536533     0.080519      16.7601   0.0419    25.418     16.1002   0.0876    11.9084    12.559   0.0     -0.2    8.818    0.0     -1.3   
  SDSS		J1157+0637       179.4516096   6.6199816    5.14       -999.99999   -999.99999   20.217342     0.065809      20.14147      0.107757      19.786425     0.091724      20.190432     0.16759       16.973    0.0519    20.4348    16.4107   0.1178    8.7227     12.135   0.0     1.0     8.826    0.0     0.0    
  SDSS		J1202+3235       180.5324218   32.59411     5.26       -999.99999   -999.99999   -999.99999    -999.99999    18.601603     0.02428       18.763514     0.071009      -999.99999    -999.99999    15.9851   0.0196    54.9676    15.2632   0.0377    28.3095    12.42    0.51    2.1     9.057    0.54    2.0    
  HSC		J1202-0057        180.6932083   -0.9504722   5.93       -999.99999   -999.99999   22.538755     0.907989      22.830925     0.986924      -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1204-0021       181.1738947   -0.3637859   5.09       -999.99999   -999.99999   19.20671      0.049991      19.053944     0.030866      18.937752     0.064894      18.948765     0.076126      16.184    0.0265    40.4564    15.2907   0.0466    22.8287    12.083   0.34    3.2     8.116    0.0     1.9    
  HSC		J1205-0000        181.2712417   -0.0077694   6.75       -999.99999   -999.99999   22.266453     0.238449      21.542044     0.274425      20.574823     0.208111      21.063843     0.082938      17.4534   0.0761    13.771     16.7814   0.1647    6.104      12.558   0.0     -0.1    8.829    0.0     0.3    
  ULAS		J1207+0630       181.9059988   6.5028433    6.04       -999.99999   -999.99999   20.198893     0.036041      20.219854     0.046899      20.053942     0.153701      19.432882     0.093389      17.1451   0.0609    17.324     16.3949   0.12      8.5558     12.039   0.0     1.0     8.215    0.0     1.2    
  HSC		J1207-0005        181.9755833   -0.0981389   6.01       -999.99999   -999.99999   23.41739      1.853641      -9.999995E8   -9.999995E8   21.348715     0.30855       21.829338     0.610152      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1208+0010       182.09925     0.1743611    5.27       -999.99999   -999.99999   20.443583     0.119536      20.207735     0.086917      20.103878     0.136151      20.531923     0.256463      17.9114   0.1163    8.8404     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J1208-0200    182.2467917   -2.0096667   6.2        -999.99999   -999.99999   22.076689     0.315235      21.490501     0.390875      22.886799     1.108293      21.796488     0.564372      18.1595   0.1379    7.3812     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J1209-0006    182.3499583   -0.1129167   5.86       -999.99999   -999.99999   23.453657     2.052242      22.16015      0.514329      22.942106     1.974989      21.516523     0.684792      17.4358   0.0755    13.8873    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J1209+1831       182.4697093   18.5297808   5.15       -999.99999   -999.99999   -999.99999    -999.99999    19.341702     0.071773      -999.99999    -999.99999    -999.99999    -999.99999    16.2826   0.0273    39.3027    15.6874   0.0592    17.857     12.239   0.4     2.7     8.553    0.0     0.9    
  PSO		J183.1124+05.0926 183.1124208   5.0926361    6.44       -999.99999   -999.99999   19.86268      0.068208      -999.99999    -999.99999    19.539284     0.093637      19.743479     0.122515      16.964    0.0496    21.3921    16.4215   0.122     8.4112     12.503   0.0     -0.4    8.921    0.0     -0.7   
  VIK		J1215+0023        183.8202986   0.3901834    5.93       -999.99999   -999.99999   22.620958     0.801876      20.98696      0.273402      21.657694     0.447595      20.85831      0.346785      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  DELS		J1216+4519       184.114916    45.3196388   6.65       -999.99999   -999.99999   -999.99999    -999.99999    21.268072     0.381485      -999.99999    -999.99999    -999.99999    -999.99999    17.3298   0.0558    18.9669    16.4715   0.097     10.7044    12.624   0.0     0.5     8.999    0.0     0.3    
  PSO		J184.3389+01.5284 184.3389334   1.5284636    6.2        -999.99999   -999.99999   21.0211       0.11903       -999.99999    -999.99999    20.957827     0.282945      -999.99999    -999.99999    17.8362   0.107     9.6579     16.7334   0.156     6.4737     12.147   0.0     0.0     8.193    0.0     0.8    
