qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                   MMTJ0215-0529,  +5.6155581E004,   2,    +20.753760,     +0.069042,          0
                   MMTJ0215-0529,  +5.5903371E004,   2,    +20.769897,     +0.054772,          0
                   MMTJ0215-0529,  +5.5952318E004,   2,    +20.907593,     +0.085949,          0
                   MMTJ0215-0529,  +5.5801616E004,   3,    +20.738520,     +0.054997,          0
                   MMTJ0215-0529,  +5.5802607E004,   3,    +20.758055,     +0.056531,          0
                   MMTJ0215-0529,  +5.5801587E004,   3,    +20.702060,     +0.050285,          0
                   MMTJ0215-0529,  +5.5802594E004,   3,    +20.717697,     +0.056170,          0
