|deg       |deg       |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |arcsec  |deg       |
|null      |null      |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null    |null      |
 35.1230089 -4.5344654 15.887     0.248    4.4 14.622      null    1.6 0000     BU               5 57959.10930475 2.948126 268.222579 
 35.1239239 -4.5352606 15.746     0.209    5.2 15.163      0.44    2.5 0000     BC              10 57958.65101619 2.973318 173.492389 
 35.1233910 -4.5351410 15.193     0.238    4.6 14.074     0.325    3.3 0000     BB              10 57227.98719310 2.974997 211.976011 
 35.1232420 -4.5350677 16.207     0.273    4.0 15.003      null    0.9 0000     BU              10 57591.76534490 3.091790 223.039965 
 35.1229973 -4.5342170 15.887     0.247    4.4 15.219      null   -0.6 0000     BU              10 57591.37225321 3.094293 285.037122 
 35.1230119 -4.5347143 15.989     0.233    4.7 14.923      0.41    2.7 0000     BC               5 56676.65332139 3.097558 251.410019 
 35.1229673 -4.5345154 15.921     0.223    4.9 14.570      null    1.5 0000     BU              10 56676.85095017 3.107875 264.989402 
 35.1230683 -4.5348618 16.648     0.493    2.2 14.630      null    1.9 0000     CU              10 56866.00455692 3.126980 240.947789 
 35.1229515 -4.5343542 15.903     0.368    2.9 14.427      null    1.2 0000     CU              10 57762.04201402 3.167796 275.595554 
 35.1229459 -4.5345091 15.826     0.204    5.3 14.373      null    1.2 0000     BU              10 57761.45256414 3.182535 265.516918 
 35.1231586 -4.5350255 16.158     0.254    4.3 14.750      null    0.9 0000     BU              10 57039.08629914 3.201310 228.820641 
 35.1229183 -4.5344532 16.010     0.235    4.6 15.044     0.366    3.0 0000     BC              10 57227.13428463 3.272192 269.167864 
 35.1229511 -4.5347388 15.767     0.205    5.3 14.911      null    0.8 0000     BU              10 56676.98274513 3.332516 251.168642 
 35.1230166 -4.5348903 15.922     0.297    3.7 15.248      null    0.7 0000     BU              10 57038.75776603 3.338996 240.954778 
 35.1230032 -4.5348930 16.016     0.263    4.1 14.707      null    1.8 0000     BU              10 57591.50328378 3.385788 241.206069 
 35.1228904 -4.5345448 15.869     0.201    5.4 14.633     0.269    4.0 0000     BB              10 56865.87301713 3.393012 263.615860 
 35.1229933 -4.5349060 15.473     0.144    7.5 14.671      null    0.1 0000     BU              10 57761.58359536 3.439549 240.807926 
 35.1230422 -4.5350109 15.875     0.202    5.4 15.266     0.404    2.7 0000     BC              10 56866.26776376 3.495295 233.984618 
 35.1229990 -4.5349481 16.240     0.401    2.7 15.268      null    0.6 0000     CU              10 57958.25817933 3.498507 238.477012 
 35.1229265 -4.5348403 16.015     0.283    3.8 14.809      0.46    2.4 0000     BC              10 57227.39672767 3.548238 246.037399 
 35.1230547 -4.5350695 16.104     0.281    3.9 14.766      null    0.9 0000     BU              10 56865.80718358 3.588467 230.837378 
 35.1229334 -4.5348872 15.908     0.244    4.4 15.161     0.502    2.2 0000     BC              10 57958.78191936 3.597937 243.419360 
 35.1228422 -4.5346478 15.651     0.161    6.8 14.761     0.326    3.3 0000     BB              10 56676.45569270 3.623022 258.083835 
 35.1228173 -4.5344760 15.641      null    1.7 15.522      null   -0.1 0000     UU              10 56866.13609671 3.636619 267.957649 
 35.1228121 -4.5342193 16.109     0.332    3.3 15.065     0.423    2.6 0000     BC              10 57959.24033523 3.738377 282.270663 
 35.1228135 -4.5346848 15.850     0.267    4.1 15.114     0.367    3.0 0000     BC               5 57399.52003277 3.752886 256.418522 
 35.1229736 -4.5350406 15.825     0.198    5.5 14.589      null    1.7 0000     BU              10 57039.48053828 3.757745 234.873193 
 35.1227794 -4.5345054 15.957     0.229    4.7 14.269     0.456    2.4 0000     BC              10 57762.17304523 3.777666 266.426729 
 35.1235300 -4.5354632 15.904     0.265    4.1 14.482      null    2.0 0000     BU              10 57758.83270228 3.837633 196.292568 
 35.1227693 -4.5345798 15.827     0.189    5.7 14.879      null    1.4 0000     BU              10 57958.38920986 3.839694 262.468359 
 35.1228612 -4.5349094 15.628     0.171    6.3 14.636      null    0.8 0000     BU              10 57762.43498045 3.865675 244.078431 
 35.1231545 -4.5352782 15.680     0.235    4.6 14.509      null    1.6 0000     BU               5 57959.24020787 3.870673 218.777347 
 35.1229111 -4.5350235 16.044     0.229    4.7 14.306      null    1.3 0000     BU              10 56865.54410405 3.909890 237.503136 
 35.1227633 -4.5346809 16.414     0.318    3.4 14.411      null    1.8 0000     BU              10 57227.26556979 3.925105 257.235301 
 35.1226763 -4.5343737 16.060     0.256    4.2 14.392     0.323    3.4 0000     BB              10 57592.22401550 4.147195 273.299274 
 35.1226690 -4.5344517 16.092     0.381    2.9 14.433      null    0.8 0000     CU              10 57759.29112068 4.166731 269.420762 
 35.1228292 -4.5350447 16.098     0.243    4.5 14.900      null    1.8 0000     BU              10 57039.61182391 4.199831 238.779319 
 35.1226545 -4.5344072 15.699     0.223    4.9 14.898     0.506    2.1 0000     BC               0 57761.71449936 4.220207 271.603280 
 35.1228766 -4.5351283 15.798     0.267    4.1 15.088     0.389    2.8 0000     BC              10 57039.21771221 4.224514 234.087544 
 35.1235476 -4.5355949 16.629     0.404    2.7 15.465      null    0.1 0000     CU              10 57591.89637543 4.279377 193.699127 
 35.1226585 -4.5346824 15.753     0.188    5.8 14.469      null    2.0 0000     BU              10 57227.72475010 4.293808 258.273921 
 35.1227827 -4.5350238 16.043     0.287    3.8 14.999      null    0.7 0000     BU               5 57958.52011308 4.306183 240.786742 
 35.1227197 -4.5349257 15.946     0.194    5.6 15.031      null    0.6 0000     BU              10 57227.52801339 4.351334 246.306985 
 35.1226654 -4.5348276 15.659     0.183    5.9 14.962      null   -0.4 0000     BU              10 57762.30394913 4.406213 251.537685 
 35.1226014 -4.5345081 15.609     0.187    5.8 14.858      null    0.9 0000     BU              10 57591.24122266 4.415927 266.817412 
 35.1226250 -4.5347082 16.245     0.285    3.8 14.708      null    1.9 0000     BU              10 57038.88917966 4.430897 257.413868 
 35.1230165 -4.5353774 15.764     0.177    6.1 15.169      null    0.6 0000     BU              10 57959.37123840 4.462205 220.863347 
 35.1226160 -4.5347307 15.512     0.190    5.7 14.938      null    1.6 0000     BU              10 56676.38985891 4.480648 256.492938 
 35.1225994 -4.5346546 16.136     0.247    4.4 14.847     0.321    3.4 0000     BB              10 56865.93885073 4.483357 260.077372 
 35.1227528 -4.5350981 16.117     0.257    4.2 14.711      null    1.2 0000     BU              10 57400.37230896 4.534003 238.497729 
 35.1237769 -4.5357214 16.126     0.245    4.4 14.942     0.347    3.1 0000     BB              10 56865.67564378 4.616974 182.365502 
 35.1225666 -4.5346898 16.016     0.213    5.1 15.170      null   -0.2 0000     BU              10 57399.78222265 4.622325 258.781429 
 35.1227872 -4.5352261 15.365     0.161    6.7 14.292     0.384    2.8 0000     BC              10 57759.22566881 4.691875 232.903272 
 35.1225231 -4.5343950 16.082     0.349    3.1 14.712      null    0.4 0000     BU              10 57758.96373359 4.692911 271.978200 
 35.1226237 -4.5339218 16.369     0.330    3.3 14.867      null    0.9 0000     BU              10 56865.28089725 4.713934 293.312453 
 35.1225682 -4.5340534 15.936     0.244    4.4 14.909      null    1.2 0000     BU               5 57958.91294990 4.737316 287.084741 
 35.1225542 -4.5347848 15.867     0.239    4.5 15.112      null    0.7 0000     BU              10 57958.97840153 4.743782 254.831091 
 35.1226658 -4.5350844 15.878     0.252    4.3 14.976      null    1.2 0000     BU              10 56677.11454007 4.778843 240.958671 
 35.1234489 -4.5357419 15.870     0.262    4.1 14.519     0.501    2.2 0000     BC              10 57759.42215200 4.882312 196.267732 
 35.1224615 -4.5345525 16.309     0.304    3.6 15.257     0.493    2.2 0000     BC              10 57400.24115041 4.927850 265.285721 
 35.1225835 -4.5350204 15.754     0.184    5.9 15.231     0.414    2.6 0000     BC              10 56865.41256431 4.937270 244.963335 
