# neowise_w1 neowise_w1err neowise_w1snr   neowise_w2 neowise_w2err neowise_w2snr mjd
14.405 0.075     14.4   13.801 0.185     5.9     56665.32825469           
14.381 0.066     16.5   13.394 0.109     9.9     56670.46724063           
14.536 0.091     11.9   13.822 0.182     6.0     56670.59903562           
14.417 0.064     17.0   13.722 0.153     7.1     56670.73083058           
14.273 0.056     19.3   13.763 0.125     8.7     56670.79666440           
14.470 0.078     14.0   13.499 0.124     8.8     56670.86262558           
14.315 0.060     18.0   13.493 0.100     10.9    56670.92845940           
14.843 0.091     12.0   14.070 0.162     6.7     56670.99429326           
14.502 0.072     15.0   13.816 0.158     6.9     56671.06025444           
14.426 0.067     16.1   13.561 0.107     10.1    56671.12608826           
14.457 0.074     14.6   13.561 0.111     9.7     56671.19192208           
14.484 0.110     9.8    13.681 0.122     8.9     56671.19204944           
14.424 0.065     16.7   13.510 0.103     10.5    56671.32371708           
14.394 0.065     16.6   13.660 0.114     9.5     56671.45551209           
14.372 0.067     16.2   13.431 0.138     7.9     56856.32727914           
14.368 0.082     13.2   13.654 0.146     7.4     56856.45881892           
14.409 0.071     15.2   13.584 0.181     6.0     56856.59048655           
14.517 0.089     12.1   13.680 0.188     5.8     56856.65619270           
14.533 0.075     14.5   13.550 0.098     11.1    56859.35345772           
14.454 0.066     16.4   13.524 0.122     8.9     56859.48499745           
14.444 0.068     16.1   13.471 0.115     9.4     56859.61653720           
14.453 0.076     14.3   13.801 0.119     9.1     56859.74807690           
14.440 0.067     16.2   13.559 0.110     9.9     56859.81391050           
14.295 0.074     14.6   13.545 0.128     8.5     56859.87974405           
14.385 0.064     17.0   13.600 0.119     9.1     56859.94545029           
14.350 0.064     17.0   13.664 0.130     8.3     56860.01128383           
14.548 0.074     14.6   13.612 0.111     9.8     56860.07699007           
14.382 0.071     15.2   13.454 0.097     11.2    56860.20865708           
14.320 0.069     15.8   13.830 0.130     8.3     56860.34019740           
14.391 0.074     14.6   13.588 0.149     7.3     57034.03415537           
14.479 0.069     15.7   13.578 0.096     11.3    57034.16556844           
14.367 0.065     16.6   13.770 0.117     10.0    57034.23114759           
14.428 0.064     16.8   13.770 0.117     9.3     57034.23127492           
14.501 0.075     14.4   13.543 0.107     10.2    57034.29685403           
14.478 0.069     15.6   13.796 0.178     6.1     57034.29698134           
14.311 0.080     13.5   13.749 0.137     7.9     57034.36256056           
14.436 0.099     10.9   13.702 0.109     10.0    57034.36268787           
