# neowise_w1 neowise_w1err neowise_w1snr   neowise_w2 neowise_w2err neowise_w2snr mjd
14.679 0.098     11.0   13.456 0.092     11.8    57034.42826704           
14.355 0.081     13.5   13.565 0.101     10.8    57034.42839440           
14.371 0.079     13.8   13.489 0.086     12.6    57034.49397356           
14.465 0.069     15.8   13.528 0.119     9.2     57034.62538662           
14.549 0.079     13.8   13.546 0.103     10.5    57034.75679969           
14.493 0.073     15.0   13.646 0.108     10.1    57221.09198262           
14.457 0.065     16.6   13.509 0.110     9.9     57221.22314036           
14.442 0.065     16.8   13.739 0.146     7.4     57221.35442551           
14.419 0.064     16.9   13.652 0.106     10.2    57221.48558330           
14.552 0.070     15.6   13.913 0.147     7.4     57221.55116222           
14.660 0.122     8.9    13.732 0.123     8.8     57221.61674119           
14.623 0.073     14.8   13.789 0.132     8.2     57221.68244742           
14.385 0.069     15.7   14.081 0.292     3.7     57221.74802639           
14.450 0.065     16.6   13.610 0.127     8.6     57221.81360527           
14.466 0.067     16.2   13.643 0.104     10.4    57221.94476315           
14.430 0.076     14.3   13.515 0.103     10.6    57222.07604840           
14.380 0.065     16.7   13.776 0.166     6.5     57222.20720615           
14.451 0.070     15.4   13.637 0.106     10.3    57393.88835868           
14.453 0.080     13.5   13.581 0.116     9.4     57394.01951725           
14.464 0.074     14.7   13.787 0.137     7.9     57394.15067575           
14.490 0.067     16.3   13.573 0.126     8.6     57394.28183427           
14.613 0.075     14.5   13.488 0.113     9.6     57394.34741357           
14.401 0.070     15.6   13.648 0.116     9.3     57394.41286551           
14.539 0.074     14.6   13.584 0.100     10.9    57394.47844477           
14.326 0.062     17.5   13.645 0.106     10.3    57394.54402774           
14.412 0.063     17.3   13.393 0.137     7.9     57394.60960703           
14.466 0.067     16.2   13.389 0.126     8.6     57394.74076567           
14.304 0.082     13.3   13.789 0.149     7.3     57394.87192427           
14.368 0.066     16.4   13.773 0.141     7.7     57585.33822860           
14.462 0.072     15.1   13.602 0.110     9.9     57585.46925922           
14.478 0.071     15.4   13.658 0.125     8.7     57585.60028976           
14.551 0.082     13.2   13.901 0.145     7.5     57585.73132028           
14.341 0.064     16.9   13.351 0.134     8.1     57585.79677189           
14.494 0.103     10.5   13.540 0.100     10.8    57585.86235086           
14.485 0.071     15.2   13.624 0.119     9.2     57585.92780251           
14.393 0.068     16.0   13.841 0.134     8.1     57585.99338148           
14.462 0.078     13.9   13.413 0.118     9.2     57586.05883309           
14.390 0.067     16.1   13.774 0.128     8.5     57586.18986372           
14.466 0.073     15.0   13.402 0.099     11.0    57586.32089424           
14.563 0.086     12.6   13.778 0.161     6.7     57586.45192486           
14.400 0.078     14.0   13.645 0.168     6.5     57753.07574323           
14.621 0.092     11.7   13.487 0.142     7.7     57753.20677439           
14.510 0.073     15.0   13.839 0.133     8.2     57753.33780546           
14.396 0.068     16.0   13.550 0.098     11.0    57753.46870926           
14.459 0.070     15.4   13.437 0.135     8.0     57753.46883663           
14.369 0.064     17.0   13.572 0.128     8.5     57753.53428855           
14.567 0.081     13.4   13.517 0.109     10.0    57753.59974043           
14.370 0.073     14.9   13.584 0.113     9.6     57753.66531972           
14.484 0.069     15.7   13.566 0.098     11.1    57753.73077155           
14.297 0.072     15.1   13.770 0.186     5.8     57753.79622347           
14.474 0.071     15.4   13.834 0.176     6.2     57753.92725464           
14.501 0.078     14.0   13.814 0.115     9.5     57754.05827422           
14.819 0.092     11.8   13.698 0.144     7.5     57949.47849595           
15.083 0.116     9.4    13.889 0.168     6.5     57949.60952644          
14.587 0.079     13.8   13.609 0.136     8.0     57949.74042965           
14.492 0.096     11.3   13.903 0.164     6.6     57949.87133282           
14.405 0.068     16.0   13.583 0.133     8.2     57949.93678446           
14.372 0.073     14.8   13.512 0.121     9.0     57950.00223598           
14.372 0.066     16.6   13.326 0.135     8.0     57950.00236336           
14.601 0.088     12.3   13.581 0.165     6.6     57950.06781493           
14.365 0.086     12.6   13.702 0.175     6.2     57950.13326656           
14.548 0.084     12.9   13.515 0.135     8.0     57950.19871815           
14.481 0.088     12.3   13.646 0.199     5.5     57950.32962127           
14.560 0.099     10.9   13.932 0.188     5.8     57950.46052501           
14.460 0.076     14.2   13.689 0.137     7.9     57950.72245872           
14.416 0.073     14.8   13.524 0.106     10.3    57952.49016095           
14.388 0.067     16.2   13.747 0.144     7.6     57952.62106412           
14.579 0.089     12.3   13.589 0.121     8.9     57952.75196729           
14.397 0.068     15.9   14.470 0.288     3.8     57952.88299782           
14.332 0.061     17.7   13.741 0.129     8.4     57952.94844940           
14.606 0.082     13.2   13.518 0.139     7.8     57953.01390103           
14.513 0.071     15.4   13.886 0.151     7.2     57953.07935266           
14.376 0.063     17.3   13.437 0.116     9.4     57953.14480420           
14.474 0.095     11.4   13.646 0.123     8.8     57953.21025579           
14.396 0.067     16.2   13.629 0.126     8.6     57953.34128684           
14.417 0.066     16.4   13.514 0.167     6.5     57953.47219006           
14.282 0.063     17.1   13.670 0.115     9.4     57953.60309318           
