NAME	Z	SOURCE      	NOTES
J162911.296+240739.74	6.476	Mazzucchelli17, Wang18 independently	PANSTARRS, DELS
J2316-2802	>6.47	used by Cooper+19	VIKING unpublished
J213110.29-435902.50	6.45	Yang18	DES-VHS
J231818.26-311344.30	6.4435	used by Venemans18	VIKING unpublished
J172408.743+190143.12	6.44	Mazzucchelli17	PANSTARRS
J021013.19-045620.90	6.44	Willott10(o)	CFHQS
J121226.981+050533.49	6.4386	Mazzucchelli17	PANSTARRS
J232908.28-030158.80	6.43	Willott07	CFHQS
J004533.568+090156.96	6.42	Mazzucchelli17	PANSTARRS
J114816.64+525150.30	6.419	Fan03	SDSS DR12
J021638.85-522620.60	6.41	Yang18	DES-VHS
J100401.36+023930.7	6.41	Matsuoka18	SHELLQs
J223644.58+003256.9	6.4	Matsuoka16	SHELLQs (possible)
J153532.87+194320.1	6.4	Wang18	DELS
J085907.19+002255.90	6.39	Matsuoka16	SHELLQs
J103654.19-023237.94	6.38	Banados16	PANSTARRS
J080305.42+313834.2	6.377	Wang18	DELS
J115221.27+005536.60	6.37	Matsuoka16	SHELLQs
J021144.53-020303.90	6.37	Matsuoka18	SHELLQs
J230422.97+004505.40	6.36	Matsuoka18	SHELLQs
J085738.53+005612.70	6.35	Matsuoka17	SHELLQs
J131608.14+102832.8	6.35	Wang18	DELS
J225538.04+025126.60	6.34	Matsuoka18	SHELLQs
J114803.28+070208.30	6.339	Jiang16	SDSS
J140629.12-011611.20	6.33	Matsuoka18	SHELLQs
J221112.41-320612.96	6.32	Chehade18	ATLAS, also Venemans in prep?
J014243.70-332745.72	6.31	Carnall15	ATLAS
J221112.17-320612.8	6.31	used by Venemans18	VIKING? unpublished
J010013.03+280225.84	6.3	Wu15	SDSS; Fan14
J114658.89-000537.70	6.30	Matsuoka18	SHELLQs
J103027.10+052455.00	6.28	Fan01	SDSS
J090544.65+030058.80	6.27	Matsuoka17	SHELLQs
J223947.47+020747.50	6.26	Matsuoka17	SHELLQs
J114648.42+012420.10	6.27	Matsuoka18	SHELLQs
J005006.67+344522.60	6.25	Becker15	Willott10, CFHQS
J033027.92-402516.40	6.25	Reed17	DES-VHS
J084431.60-005254.60	6.25	Matsuoka17	SHELLQs
J032340.34-470120.13	6.25	Reed17	DES-VHS
J014310.24-554510.68	6.25	Reed17	DES-VHS
J162331.81+311200.50	6.247	Fan04	SDSS
J203209.99-211402.31	6.24	Banados16	PANSTARRS
J041003.23-441440.70	6.21	Reed17	DES-VHS
J013603.17+022605.70	6.21	Willott10	CFHQS
J142952.17+544717.70	6.21	Willott10	CFHQS
