

172408.743+190143.12	6.44	Mazzucchelli17	PANSTARRS
193207.62+713908.41	6.08	Banados16	PANSTARRS
203209.99-211402.31	6.24	Banados16	PANSTARRS
205406.49-000514.80	6.062	Jiang08	SDSS
210054.62-171522.50	6.09	Willott10	CFHQS
213110.29-435902.50	6.45	Yang18	DES-VHS
220132.07+015529.00	6.16	Matsuoka17	SHELLQs
221112.41-320612.96	6.32	Chehade18	ATLAS, also Venemans in prep?
221556.63+260629.41	6.03	Banados16	PANSTARRS
221644.47-001650.10	6.10	Matsuoka16	SHELLQs
221917.22+010248.90	6.156	Kashikawa15	Subaru, VIMOS
222309.51+032620.3	6.05	Matsuoka18	SHELLQs
222827.83+012809.50	6.01	Matsuoka16	SHELLQs
222847.71+015240.50	6.08	Matsuoka17	SHELLQs
222901.65+145709.00	6.15	Willott10	CFHQS
223212.03+001238.40	6.18	Matsuoka16	SHELLQs
223644.58+003256.9	6.4	Matsuoka16	SHELLQs (possible)
223947.47+020747.50	6.26	Matsuoka17	SHELLQs
225002.01-501542.15	6.00	Reed17	DES-VHS
225205.44+022531.90	6.12	Matsuoka18	SHELLQs
225538.04+025126.60	6.34	Matsuoka18	SHELLQs
230422.97+004505.40	6.36	Matsuoka18	SHELLQs
231038.88+185519.70	6.003	Jiang16	SDSS; Wang13
231546.57-002358.10	6.117	Jiang08	Becker15, SDSS
231802.80-024634.00	6.05	Willott09	CFHQS
231832.91-302934.7	6.146	used by Venemans18	PANSTARRS? unpublished
232908.28-030158.80	6.43	Willott07	CFHQS
235632.45-062259.26	6.15	Wang16	SDSS-WISE and PANSTARRS - not claimed by SDSS
235651.58+002333.30	6.00	Jiang09	SDSS
