qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
               SHELLQsJ1146+0124,   2,  +5.4583378E004,  +0.0000000E000,+3.105701E-006,+2.489330E-006,    +22.652601,     +0.870256,          0,          1,     +40.0000000
               SHELLQsJ1146+0124,   3,  +5.6001546E004,  +0.0000000E000,-3.910363E-006,+4.085070E-006, -9.999995E008, -9.999995E008,          0,          1,     +40.0000000
               SHELLQsJ1146+0124,   3,  +5.7144289E004,      +0.0014120,-9.390902E-007,+2.540366E-006, -9.999995E008, -9.999995E008,          0,          3,    +150.0000000
               SHELLQsJ1146+0124,   3,  +5.7501841E004,      +3.1809260,+2.683128E-006,+1.162972E-006,    +22.809397,     +0.470600,          0,          8,    +720.0000000
               SHELLQsJ1146+0124,   3,  +5.7480888E004,     +27.1477780,+6.113346E-006,+1.744653E-006,    +21.915302,     +0.309852,          0,          4,    +360.0000000
               SHELLQsJ1146+0124,   3,  +5.4583393E004,  +0.0000000E000,+6.550838E-006,+3.645167E-006,    +21.840258,     +0.604150,          0,          1,     +40.0000000
               SHELLQsJ1146+0124,   4,  +5.7144293E004,      +0.0042250,+1.048884E-006,+1.866126E-006,    +23.848180,     +1.931692,          0,          7,    +350.0000000
               SHELLQsJ1146+0124,   4,  +5.4550478E004,  +0.0000000E000,+1.277393E-006,+4.353944E-006,    +23.634188,     +3.700690,          0,          1,     +40.0000000
               SHELLQsJ1146+0124,   5,  +5.7144301E004,      +0.0112620,+2.415285E-006,+1.240284E-006,    +22.942580,     +0.557541,          0,         17,    +850.0000000
               SHELLQsJ1146+0124,   5,  +5.7510341E004,      +0.2074650,+5.764648E-006,+2.121227E-006,    +21.998068,     +0.399520,          0,          2,    +180.0000000
               SHELLQsJ1146+0124,   5,  +5.4550493E004,  +0.0000000E000,+9.585942E-006,+4.597592E-006,    +21.445913,     +0.520739,          0,          1,     +40.0000000
