qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
               SHELLQsJ1146+0124,   2,  +55302.1998439,      +0.0058580,-6.976940E-007,+9.764269E-007, -9.999995E008, -9.999995E008,          0,          3,    +600.0000000
               SHELLQsJ1146+0124,   3,  +55593.1919897,      +0.0097488,-9.799280E-007,+1.629364E-006, -9.999995E008, -9.999995E008,          0,          3,    +300.0000000
               SHELLQsJ1146+0124,   3,  +55302.1892975,      +0.0030967,+6.639773E-006,+1.339548E-006,    +21.828617,     +0.219043,          0,          3,    +300.0000000
               SHELLQsJ1146+0124,   4,  +55593.2276793,      +0.0048332,-3.169824E-006,+1.874898E-006, -9.999995E008, -9.999995E008,          0,          3,    +450.0000000
