# LOW                  HIGH                 COUNT   
  4.35                 4.3999999999999995   375518  
  4.4                  4.45                 379002  
  4.45                 4.5                  382104  
  4.5                  4.55                 385018  
  4.550000000000001    4.6000000000000005   387639  
  4.6                  4.6499999999999995   389925  
  4.65                 4.7                  391992  
  4.7                  4.75                 393762  
  4.75                 4.8                  395300  
  4.8                  4.85                 396533  
  4.8500000000000005   4.9                  397579  
  4.9                  4.95                 398460  
  4.95                 5.0                  399268  
  5.0                  5.05                 399882  
  5.05                 5.1                  400357  
  5.1000000000000005   5.15                 400780  
  5.15                 5.2                  401075  
  5.2                  5.25                 401325  
  5.25                 5.3                  401482  
  5.3                  5.35                 401603  
  5.3500000000000005   5.4                  401696  
  5.4                  5.45                 401758  
  5.45                 5.5                  401801  
  5.5                  5.55                 401819  
  5.550000000000001    5.6000000000000005   401830  
  5.6000000000000005   5.65                 401842  
  5.65                 5.7                  401845  
  5.7                  5.75                 401851  
  5.75                 5.8                  401854  
  5.800000000000001    5.8500000000000005   401856  
  5.8500000000000005   5.9                  401858  
  5.9                  5.95                 401858  
  5.95                 6.0                  401859  
  6.0                  6.05                 401859  
  6.050000000000001    6.1000000000000005   401862  
  6.1000000000000005   6.15                 401862  
  6.15                 6.2                  401863  
  6.2                  6.25                 401864  
  6.25                 6.3                  401864  
  6.300000000000001    6.3500000000000005   401865  
  6.3500000000000005   6.4                  401865  
  6.4                  6.45                 401865  
  6.45                 6.5                  401865  
  6.5                  6.55                 401865  
  6.550000000000001    6.6000000000000005   401865  
  6.6000000000000005   6.65                 401866  
  6.65                 6.7                  401866  
  6.7                  6.75                 401866  
  6.75                 6.8                  401866  
  6.800000000000001    6.8500000000000005   401866  
  6.8500000000000005   6.9                  401866  
  6.9                  6.95                 401866  
  6.95                 7.0                  401866  
  7.0                  7.05                 401866  
  7.050000000000001    7.1000000000000005   401867  
  7.1000000000000005   7.15                 401867  
  7.15                 7.2                  401867  
  7.2                  7.25                 401868  
  7.25                 7.3                  401868  
  7.300000000000001    7.3500000000000005   401868  
  7.3500000000000005   7.4                  401868  
  7.4                  7.45                 401868  
  7.45                 7.5                  401868  
  7.5                  7.55                 401868  
  7.550000000000001    7.6000000000000005   401868  
  7.6000000000000005   7.65                 401868  
  7.65                 7.7                  401868  
  7.7                  7.75                 401869  
  7.75                 7.8                  401869  
  7.800000000000001    7.8500000000000005   401870  
  7.8500000000000005   7.9                  401870  
  7.9                  7.95                 401870  
  7.95                 8.0                  401870  
  8.0                  8.05                 401870  
  8.05                 8.100000000000001    401870  
  8.100000000000001    8.150000000000002    401870  
  8.15                 8.200000000000001    401870  
  8.2                  8.25                 401870  
  8.25                 8.3                  401870  
  8.3                  8.350000000000001    401870  
  8.350000000000001    8.400000000000002    401870  
  8.4                  8.450000000000001    401870  
  8.45                 8.5                  401870  
  8.5                  8.55                 401870  
  8.55                 8.600000000000001    401870  
  8.600000000000001    8.650000000000002    401870  
  8.65                 8.700000000000001    401870  
  8.7                  8.75                 401870  
  8.75                 8.8                  401870  
  8.8                  8.850000000000001    401870  
  8.85                 8.9                  401870  
  8.9                  8.950000000000001    401870  
  8.950000000000001    9.000000000000002    401870  
  9.0                  9.05                 401870  
  9.05                 9.100000000000001    401870  
  9.1                  9.15                 401870  
  9.15                 9.200000000000001    401870  
  9.200000000000001    9.250000000000002    401870  
  9.25                 9.3                  401870  
  9.3                  9.350000000000001    401870  
  9.35                 9.4                  401870  
  9.4                  9.450000000000001    401871  
  9.450000000000001    9.500000000000002    401871  
  9.5                  9.55                 401871  
  9.55                 9.600000000000001    401871  
  9.6                  9.65                 401871  
  9.65                 9.700000000000001    401871  
  9.700000000000001    9.750000000000002    401871  
  9.75                 9.8                  401871  
  9.8                  9.850000000000001    401873  
  9.85                 9.9                  401873  
  9.9                  9.950000000000001    401874  
  9.950000000000001    10.000000000000002   401874  
  10.0                 10.05                401874  
  10.05                10.100000000000001   401874  
  10.1                 10.15                401874  
  10.15                10.200000000000001   401874  
  10.200000000000001   10.250000000000002   401874  
  10.25                10.3                 401874  
  10.3                 10.350000000000001   401874  
  10.350000000000001   10.400000000000002   401874  
  10.4                 10.450000000000001   401874  
  10.450000000000001   10.500000000000002   401874  
  10.5                 10.55                401874  
  10.55                10.600000000000001   401874  
  10.600000000000001   10.650000000000002   401874  
  10.65                10.700000000000001   401874  
  10.700000000000001   10.750000000000002   401874  
  10.75                10.8                 401874  
  10.8                 10.850000000000001   401874  
  10.850000000000001   10.900000000000002   401874  
  10.9                 10.950000000000001   401875  
  10.950000000000001   11.000000000000002   401875  
  11.0                 11.05                401875  
  11.05                11.100000000000001   401875  
  11.100000000000001   11.150000000000002   401875  
  11.15                11.200000000000001   401875  
  11.200000000000001   11.250000000000002   401875  
  11.25                11.3                 401875  
  11.3                 11.350000000000001   401875  
  11.350000000000001   11.400000000000002   401875  
  11.4                 11.450000000000001   401875  
  11.450000000000001   11.500000000000002   401875  
  11.5                 11.55                401875  
  11.55                11.600000000000001   401875  
  11.600000000000001   11.650000000000002   401875  
  11.65                11.700000000000001   401875  
  11.700000000000001   11.750000000000002   401875  
  11.75                11.8                 401875  
  11.8                 11.850000000000001   401875  
  11.850000000000001   11.900000000000002   401875  
  11.9                 11.950000000000001   401875  
  11.950000000000001   12.000000000000002   401876  
  12.0                 12.05                401876  
  12.05                12.100000000000001   401876  
  12.100000000000001   12.150000000000002   401876  
  12.15                12.200000000000001   401876  
  12.200000000000001   12.250000000000002   401876  
