# LOW                  HIGH                 COUNT   
  0.75                 0.8                  0       
  0.8                  0.8500000000000001   0       
  0.85                 0.9                  0       
  0.9                  0.9500000000000001   0       
  0.95                 1.0                  0       
  1.0                  1.05                 1       
  1.05                 1.1                  1       
  1.1                  1.1500000000000001   1       
  1.15                 1.2                  2       
  1.2                  1.25                 3       
  1.25                 1.3                  3       
  1.3                  1.35                 5       
  1.35                 1.4000000000000001   6       
  1.4                  1.45                 9       
  1.4500000000000002   1.5000000000000002   9       
  1.5                  1.55                 18      
  1.55                 1.6                  25      
  1.6                  1.6500000000000001   36      
  1.65                 1.7                  53      
  1.7000000000000002   1.7500000000000002   71      
  1.75                 1.8                  100     
  1.8                  1.85                 166     
  1.85                 1.9000000000000001   252     
  1.9000000000000001   1.9500000000000002   361     
  1.9500000000000002   2.0                  515     
  2.0                  2.05                 761     
  2.05                 2.0999999999999996   1149    
  2.1                  2.15                 1628    
  2.1500000000000004   2.2                  2269    
  2.2                  2.25                 3161    
  2.25                 2.3                  4421    
  2.3                  2.3499999999999996   6128    
  2.35                 2.4                  8359    
  2.4000000000000004   2.45                 11302   
  2.45                 2.5                  15026   
  2.5                  2.55                 19694   
  2.55                 2.5999999999999996   25531   
  2.6                  2.65                 32378   
  2.6500000000000004   2.7                  40715   
  2.7                  2.75                 49975   
  2.75                 2.8                  60542   
  2.8000000000000003   2.85                 72081   
  2.85                 2.9                  84046   
  2.9                  2.9499999999999997   97157   
  2.95                 3.0                  110276  
  3.0                  3.05                 123860  
  3.0500000000000003   3.1                  137532  
  3.1                  3.15                 150801  
  3.1500000000000004   3.2                  164179  
  3.2                  3.25                 177618  
  3.25                 3.3                  190651  
  3.3000000000000003   3.35                 203403  
  3.35                 3.4                  215853  
  3.4000000000000004   3.45                 228055  
  3.45                 3.5                  239937  
  3.5                  3.55                 251635  
  3.5500000000000003   3.6                  262708  
  3.6                  3.65                 273482  
  3.6500000000000004   3.7                  283796  
  3.7                  3.75                 293542  
  3.75                 3.8                  302814  
  3.8000000000000003   3.85                 311275  
  3.85                 3.9                  319465  
  3.9000000000000004   3.95                 327071  
  3.95                 4.0                  334022  
  4.0                  4.05                 340719  
  4.050000000000001    4.1000000000000005   346927  
  4.1                  4.1499999999999995   352699  
  4.15                 4.2                  358129  
  4.2                  4.25                 362959  
  4.25                 4.3                  367435  
  4.300000000000001    4.3500000000000005   371649  
