ra,dec
0.34011348,26.83588138
0.66411726,25.84304425
1.4680833,-0.1154999
2.10739,-6.43456
2.2142917,36.2704138
2.37870183,32.87026179
3.1369990000000003,36.5378055
4.3111666,-10.01539722
4.39361347,17.08630447
4.814080000000001,-24.29916
5.1311237,-36.8949476
5.8777916,-0.3101111
6.12404166,39.22193055
6.3618333,-1.7590306
7.02733292,4.95712319
7.85774999,7.176922200000001
8.2975,-1.4235833
8.559792,37.9983333
9.35732902,-8.11901741
9.650416,-15.4565555
9.73550794,-10.4316386
11.38986666,9.03248889
12.52777099,34.75601483
13.5892499,-1.156
13.762125,1.77175
14.233498999999998,22.6867111
15.05426347,28.04053195
15.710999,-2.3027499
17.0274999,7.18905555
17.124833300000002,-1.0043333
17.471379000000002,-30.790642
18.4739583,5.99752777
18.729625,32.63786939999999
18.9365833,0.2541388
18.94279165,-2.8867333
19.0595833,5.6382499
20.224708,21.7850555
21.42133775,-25.88228802
22.281,-0.4793055000000001
22.493791,-0.5943611
22.863916600000003,-3.3500527
23.0071,-2.26753
23.3618333,1.11047222
24.013208,2.4349166
25.23764,-11.68319
25.682197199999997,-33.46263
25.79266666,-55.75296666
27.15681283,6.00557339
28.888666600000004,4.2518725
29.439375,30.0196333
29.517259999999997,-29.08868
29.9915479,-36.565723
30.74254166,-2.86488888
30.88491549,0.20813044
31.444291600000003,-9.92325
31.54666666,-2.92716666
32.0179583,-1.2095277
32.554958,-4.9391388
32.7361249,0.051305600000000014
32.9355417,-2.0510833
33.3205833,-6.4375556
33.8469583,-5.49605555
34.100666600000004,23.0692972
34.115875,-4.9261387999999995
34.161875,-52.4390556
34.33995833,-2.14794444
34.5878333,-0.4626946
35.1238333,-4.5344444
35.3013333,-3.70877777
35.30254160000001,-3.7145
35.344625,-8.0476388
36.50780677,3.04983831
36.930375,-6.0917222
37.5094583,0.77966666
37.9068333,-7.48177777
37.970657,-28.838911
38.92675,-5.54488889
39.876,-0.7514999
40.01591406,17.54580925
40.4705,4.5981833
41.0,-50.13333333
36.11057,-47.19149
41.7329167,-52.3305278
42.669090000000004,-2.91745
42.8388749,3.5548388
43.0693333,-5.0588333
45.184082,-22.540885
45.3208749,0.34055556
45.880833,-0.32024990000000003
46.320483,-31.848861
46.677125,18.8877361
49.207791,-13.675638
49.29342829,-26.5543637
49.9235833,-10.1461111
50.4794583,0.4948335
50.91808333,-47.02225833
52.147942,-32.889678
52.61633333,-40.42122222
53.96052436,-15.79569428
54.6221249,0.3656388
55.424375,-0.80354444
56.71685,-16.47691
57.4974999,0.5676388000000001
58.45721356,1.06796142
60.552894499999994,24.85678567
62.080125,-56.54133888
62.51345833,-44.24463888
62.869291,-9.1305
65.04725,-44.88994444
65.408537,-26.95433511
65.50414653,-19.45796853
