ra,dec,objID,raMean,decMean,nDetections,ng,nr,ni,nz,ny,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd
1.4680833,-0.1154999,107860014680551784,1.46810382,-0.11548282,12,0,0,0,11,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.4764003753662,0.0542399995028973,0.172089993953705,20.1186008453369,0.186352998018265,-999
2.10739,-6.43456,100270021074508887,2.10741573,-6.43460422,14,0,0,0,13,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.324499130249,0.0700040012598038,0.162679001688957,20.4398994445801,0.169828996062279,-999
2.2142917,36.2704138,151520022142965162,2.21427862,36.27045236,50,0,5,20,13,12,-999,-999,-999,21.4438991546631,0.0905359983444214,0.172107994556427,19.6599006652832,0.0104160001501441,0.0629770010709763,19.4922008514404,0.0242159999907017,0.122134998440742,19.2339992523193,0.0249439999461174,0.0887940004467964
2.37870183,32.87026179,147440023786934920,2.37872938,32.87021586,3,0,0,0,3,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.033899307251,0.198764994740486,0.288556009531021,-999,-999,-999
3.136999,36.5378055,151840031370315952,3.13704995,36.53779217,50,0,2,17,15,16,-999,-999,-999,22.2576999664307,0.102023996412754,0.202404007315636,19.8803997039795,0.00712200021371245,0.0346870012581348,19.3349990844727,0.0219710003584623,0.100077003240585,19.2541007995605,0.0225649997591972,0.088968999683857
4.3111666,-10.01539722,95980043111231908,4.31113121,-10.01539612,59,0,21,13,16,9,-999,-999,-999,21.3285007476807,0.034341998398304,0.156526997685432,19.5669002532959,0.00624600006267428,0.0502130016684532,19.6245994567871,0.0269399993121624,0.0845630019903183,19.3363990783691,0.0230999998748302,0.0708779990673065
4.39361347,17.08630447,128500043936584050,4.39364398,17.08628969,6,0,0,0,6,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.7898006439209,0.1353639960289,0.227463006973267,-999,-999,-999
4.81408,-24.29916,78840048140061267,4.8141121,-24.29921426,17,0,0,0,7,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.6758003234863,0.0524570010602474,0.191848993301392,19.4762001037598,0.0559960007667542,0.205237001180649
5.8777916,-0.3101111,107620058777758234,5.87779373,-0.31014704,17,0,1,8,8,0,-999,-999,-999,22.0475006103516,0.194551005959511,-999,21.0370998382568,0.0618919990956783,0.261626005172729,20.5480995178223,0.0521200001239777,0.143013998866081,-999,-999,-999
6.12404166,39.22193055,155060061239526935,6.12403817,39.22194558,4,0,0,0,0,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.9533996582031,0.144825994968414,0.231040000915527
