ra,dec,objID,raMean,decMean,nDetections,ng,nr,ni,nz,ny,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd
217.9185333,-7.41207447,99102179184955883,217.91849384,-7.41209759,7,0,0,0,4,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.0804996490479,0.0871490016579628,0.172996997833252,20.3987998962402,0.114248998463154,0.202568992972374
71.45075,-2.33329,105200714507800461,71.45078007,-2.33330896,39,0,0,8,15,16,-999,-999,-999,-999,-999,-999,21.2875995635986,0.0578659996390343,0.149683997035027,19.2453994750977,0.0260419994592667,0.0877289995551109,19.2191009521484,0.0257709994912148,0.168375000357628
23.0071,-2.26753,105270230070749384,23.00713119,-2.26755854,16,1,0,0,12,3,21.5450992584229,0.198186993598938,-999,-999,-999,-999,-999,-999,-999,20.275899887085,0.0286430008709431,0.100502997636795,19.8915996551514,0.122845001518726,0.193764001131058
143.847125,-2.13177777,105441438471262375,143.84710837,-2.13175017,31,0,0,18,11,2,-999,-999,-999,-999,-999,-999,20.7558994293213,0.016507999971509,0.0989729985594749,20.2879009246826,0.0240919999778271,0.0751639977097511,20.1093006134033,-999,0.862132012844086
348.0684999,1.0143055,109213480684587666,348.06849059,1.01428721,29,0,1,21,6,1,-999,-999,-999,22.1592998504639,0.248848006129265,-999,20.967399597168,0.0314569994807243,0.119865000247955,20.9465007781982,0.113927997648716,0.320345014333725,19.8953990936279,0.156119003891945,-999
23.3618333,1.11047222,109330233618363086,23.36181345,1.11051631,30,0,0,24,6,0,-999,-999,-999,-999,-999,-999,20.8027992248535,0.0312939994037151,0.131393998861313,20.6320991516113,0.0566629990935326,0.148000001907349,-999,-999,-999
359.60016666,6.57705555,115893596001383044,359.60020978,6.57707107,85,0,13,39,16,17,-999,-999,-999,21.6462001800537,0.0698160007596016,0.243653997778893,19.9978008270264,0.0115759996697307,0.09442999958992,19.4388008117676,0.0315609984099865,0.099872000515461,19.1553001403809,0.0258600004017353,0.121134996414185
179.45160964,6.61998161,115941794516184445,179.451591,6.6199765,57,0,2,36,17,2,-999,-999,-999,21.7474002838135,0.145616993308067,0.212117001414299,20.4503993988037,0.0156549997627735,0.110322996973991,20.2168998718262,0.0290879998356104,0.119292996823788,19.8490009307861,0.20710900425911,0.347586989402771
231.80358333,6.68941666,116022318035767786,231.80357183,6.68944301,39,0,1,11,14,13,-999,-999,-999,21.1800994873047,0.182478994131088,-999,21.3635005950928,0.0216409992426634,0.184404000639915,19.9066009521484,0.0178490001708269,0.114600002765656,19.7148990631104,0.0334190018475056,0.167355000972748
135.69067056,8.85442286,118621356907175837,135.6906789,8.85441475,50,0,7,24,12,7,-999,-999,-999,21.7754001617432,0.131420999765396,0.247401997447014,20.1676998138428,0.0245960000902414,0.111858002841473,20.1968002319336,0.0404600016772747,0.146723002195358,19.6462001800537,0.112869001924992,0.229001998901367
