# RA         Dec         redshift  unW1mag   unW1err unW1snr    unW2mag   unW2err unW2snr    w3mpro    w3sig   w3snr  w4mpro   w4sig   w4snr
 33.3205833  -6.4375556  6.720    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 33.8469583  -5.4960556  5.130     17.8436   0.1012  10.2318    16.8759   0.1636   6.1474    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 34.1006666  23.0692972  5.260     16.4575   0.0334  32.0290    15.7109   0.0648  16.2647    11.683    0.00    1.9    8.631    0.00    1.3  
 34.1158750  -4.9261388  6.010    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 34.1618750 -52.4390556  6.410     17.5596   0.0583  18.1170   -99.9990  -9.9900 -99.9990    12.890    0.00   -0.1    8.716    0.00    1.4  
 34.3399583  -2.1479444  6.200    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 34.5878333  -0.4626946  5.110     17.5400   0.0820  12.7457    16.7926   0.1554   6.5003    12.214    0.00    1.6    8.718    0.00    1.0  
 35.1238333  -4.5344444  5.900    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 35.3013333  -3.7087778  5.020     18.3848   0.1646   6.1109   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 35.3025416  -3.7145000  5.020     16.3099   0.0280  38.2857    15.7013   0.0606  17.4172    12.273    0.00    1.6    8.928    0.00    0.9  
 35.3446250  -8.0476388  6.160     18.0484   0.1184   8.6810    17.0536   0.1865   5.3356    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 36.5078068   3.0498383  6.540     16.6574   0.0382  27.9130    16.1818   0.0930  11.1871    12.030    0.00    2.0    8.943    0.00    0.3  
