# na        desig               ra_2           dec_2          redshift   Z         errZ       Y         errY       J         errJ       H         errH       K          errK      
  SDSS      J0210+0003          32.7361249     0.0513056      5.05       -1000.0   -1000.0    -1000.0   -1000.0    21.0514   0.048893   20.6295   0.165151   20.0123    0.039003  
  SDSS      J0218-0027          34.5878333     -0.4626946     5.11       -1000.0   -1000.0    -1000.0   -1000.0    20.8991   0.056903   21.1211   0.365647   20.4464    0.075054  
  SDSS      J0230+0046          37.5094583     0.77966666     5.41       -1000.0   -1000.0    -1000.0   -1000.0    21.6038   0.184825   21.0896   0.171392   21.6239    0.382783  
  SDSS      J0231-0728          37.9068333     -7.48177777    5.37       -1000.0   -1000.0    -1000.0   -1000.0    19.2099   0.019164   -1000.0   -1000.0    18.7682    0.0405    
  SDSS      J0239-0045          39.876         -0.7514999     5.82       -1000.0   -1000.0    -1000.0   -1000.0    22.3491   0.426583   21.5151   0.29995    21.1938    0.30436   
  SDSS      J0301+0020          45.3208749     0.34055556     5.5        -1000.0   -1000.0    -1000.0   -1000.0    22.9738   0.823641   -1.0E9    -1.0E9     24.7125    8.02265   
  SDSS      J0303-0019          45.880833      -0.3202499     6.078      -1000.0   -1000.0    -1000.0   -1000.0    20.9315   0.12737    21.2601   0.216643   -1000.0    -1000.0   
  SDSS      J0321+0029          50.4794583     0.4948335      5.04       -1000.0   -1000.0    -1000.0   -1000.0    21.3548   0.121544   20.8008   0.137712   21.0399    0.188226  
  SDSS      J0338+0021          54.6221249     0.3656388      5.03       -1000.0   -1000.0    -1000.0   -1000.0    19.6338   0.040788   19.3508   0.059343   19.4284    0.065381  
  SDSS      J0341-0048          55.424375      -0.80354444    5.68       -1000.0   -1000.0    -1000.0   -1000.0    20.0276   0.054211   20.1058   0.077576   20.0092    0.099814  
  SDSS      J0349+0034          57.4974999     0.5676388      5.2        -1000.0   -1000.0    -1000.0   -1000.0    21.2688   0.134096   21.9278   0.413484   20.1974    0.102981  
  SDSS      J0353+0104          58.45721356    1.06796142     6.072      -1000.0   -1000.0    -1000.0   -1000.0    20.2903   0.068888   19.9813   0.082631   19.7263    0.082321  
  SDSS      J0836+0054          129.1827665    0.91479339     5.81       18.7868   0.004361   18.8102   0.007334   18.6254   0.008075   18.331    0.009514   18.1094    0.010191  
  SDSS      J0959+0227          149.78374999   2.45204444     5.07       -1000.0   -1000.0    24.2011   0.055539   24.1788   0.073188   23.6319   0.06333    23.4436    0.083984  
  SDSS      J1000+0234          150.21458333   2.58263333     5.3        -1000.0   -1000.0    26.3527   0.331073   26.9776   0.62756    29.0018   7.58539    26.5409    1.12801   
  SDSS      J1040-1155          160.2025       -11.93061111   5.44       -1000.0   -1000.0    21.973    0.419943   21.5905   0.400756   22.1483   1.17663    20.4906    0.63507   
  SDSS      J1044-0125          161.13767      -1.4172777     5.7847     19.3157   0.008164   19.3014   0.015669   19.1442   0.009747   19.0821   0.014863   18.88      0.022498  
  SDSS      J1123-0044          170.79645833   -0.73851111    5.0        -1000.0   -1000.0    -1000.0   -1000.0    -1000.0   -1000.0    19.9281   0.053704   19.6307    0.049883  
