# na        desig               ra_2           dec_2          redshift   Z         errZ       Y         errY       J         errJ       H         errH       K          errK      
  SHELLQs   J2201+0155          330.383625     1.92472222     6.16       -1000.0   -1000.0    -1000.0   -1000.0    23.0102   0.511463   -1000.0   -1000.0    -1000.0    -1000.0   
  SHELLQs   J2231-0035          337.9537083    -0.5965278     5.87       -1000.0   -1000.0    -1000.0   -1000.0    22.8537   0.427085   22.3728   0.591111   22.9121    0.831465  
  SHELLQs   J2304+0045          346.0957083    0.7515         6.36       -1000.0   -1000.0    -1000.0   -1000.0    22.7215   0.394431   22.705    0.78915    22.0269    0.421432  
  VIMOS     2911001793          334.82175      1.04691667     6.16       -1000.0   -1000.0    -1000.0   -1000.0    25.4008   3.53533    21.8273   0.417479   22.39939   0.63571   
  PSO       J004.3936+17.0862   4.39361347     17.08630447    5.8        -1000.0   -1000.0    -1000.0   -1000.0    20.7434   0.080699   -1000.0   -1000.0    20.2849    0.091551  
  PSO       J023.0071-02.2675   23.0071        -2.26753       5.9        -1000.0   -1000.0    20.1967   0.112875   20.1595   0.118133   19.8863   0.169737   19.6976    0.140151  
  PSO       J029.5172-29.0886   29.51726       -29.08868      5.99       19.2793   0.011427   19.2111   0.011954   19.1758   0.021448   19.124    0.042557   18.9581    0.039157  
  PSO       J037.9706-28.8389   37.970657      -28.838911     6.0        20.7367   0.036876   20.9907   0.084796   21.0901   0.114513   -1000.0   -1000.0    20.5117    0.153699  
  PSO       J042.6690-02.9174   42.66909       -2.91745       5.89       -1000.0   -1000.0    -1000.0   -1000.0    20.2049   0.055411   -1000.0   -1000.0    20.3812    0.163319  
  PSO       J045.1840-22.5408   45.184082      -22.540885     5.68       -1000.0   -1000.0    -1000.0   -1000.0    19.6845   0.032812   -1000.0   -1000.0    19.1131    0.052369  
  PSO       J065.4085-26.9543   65.408537      -26.95433511   6.14       -1000.0   -1000.0    -1000.0   -1000.0    19.3712   0.021533   -1000.0   -1000.0    19.2242    0.048009  
  PSO       J071.4507-02.3332   71.45075       -2.33329       5.69       -1000.0   -1000.0    -1000.0   -1000.0    18.986    0.03023    -1000.0   -1000.0    18.9058    0.052581  
  PSO       J075.9356-07.5061   75.93566       -7.50613       5.88       -1000.0   -1000.0    -1000.0   -1000.0    20.5198   0.136904   -1000.0   -1000.0    20.471     0.261413  
  PSO       J135.8704-13.8336   135.8704568    -13.83368626   5.91       -1000.0   -1000.0    -1000.0   -1000.0    21.0934   0.201865   -1000.0   -1000.0    20.9088    0.385181  
  PSO       J157.9070-02.6599   157.9070364    -2.65990731    5.88       20.1893   0.020801   20.2431   0.039861   20.263    0.033885   20.0911   0.070917   19.8248    0.060083  
  PSO       J159.2257-02.5438   159.225791     -2.54387343    6.38       20.2347   0.019136   -1000.0   -1000.0    20.0877   0.029456   19.9478   0.047509   19.5678    0.045443  
  PSO       J167.6415-13.4960   167.641566     -13.4959995    6.5148     -1000.0   -1000.0    20.8908   0.144198   20.5895   0.123343   21.7287   0.523225   20.2275    0.197926  
  PSO       J174.7920-12.2845   174.7920407    -12.28454921   5.81       -1000.0   -1000.0    20.5377   0.103293   20.1984   0.087111   20.3973   0.159558   19.6362    0.111474  
  PSO       J175.4091-20.2654   175.4091843    -20.26545798   5.69       -1000.0   -1000.0    20.1991   0.059542   19.9415   0.078015   -1000.0   -1000.0    19.6453    0.132747  
  PSO       J178.5594-12.1881   178.5594134    -12.18818926   5.83       -1000.0   -1000.0    21.1959   0.201809   20.3404   0.102135   20.4227   0.224435   20.2697    0.213888  
  PSO       J183.2991-12.7676   183.29919      -12.767624     5.86       -1000.0   -1000.0    19.2292   0.028639   19.0742   0.026165   19.1027   0.035047   19.0994    0.066338  
  PSO       J184.3389+01.5284   184.3389334    1.52846356     6.2        21.0848   0.030585   21.216    0.077853   21.1053   0.104305   21.0819   0.120037   20.7118    0.119477  
  PSO       J187.1047-02.5609   187.10479      -2.56090331    5.77       21.0237   0.034033   20.912    0.057443   20.8793   0.054668   20.6783   0.102424   20.4257    0.099245  
  PSO       J209.2058-26.7083   209.205856     -26.708397     5.72       -1000.0   -1000.0    19.4229   0.027349   19.4354   0.041334   -1000.0   -1000.0    19.1528    0.074785  
  PSO       J210.8722-12.0094   210.87222      -12.009482     5.84       -1000.0   -1000.0    20.7075   0.122577   20.3412   0.099995   20.6802   0.257293   21.3357    0.498425  
  PSO       J212.2974-15.9865   212.2974337    -15.98657168   5.83       -1000.0   -1000.0    22.2304   0.658685   20.6342   0.186165   21.2903   0.443147   20.5259    0.306337  
  PSO       J213.3629-22.5617   213.36299      -22.561737     5.92       -1000.0   -1000.0    19.7145   0.042984   19.8056   0.06457    -1000.0   -1000.0    19.3777    0.094756  
  PSO       J213.7329-13.4803   213.7329225    -13.48035431   5.78       -1000.0   -1000.0    20.6644   0.121977   21.0081   0.184276   20.5013   0.159537   20.2964    0.174488  
  PSO       J215.1514-16.0417   215.15143      -16.041735     5.73       -1000.0   -1000.0    19.2424   0.031551   18.8221   0.023106   18.6811   0.03097    18.6299    0.042247  
  PSO       J217.0891-16.0453   217.0891328    -16.04536083   6.11       -1000.0   -1000.0    20.0203   0.054545   19.7141   0.046124   19.7292   0.065423   19.3745    0.076159  
  PSO       J217.9185-07.4120   217.9185333    -7.41207447    6.14       -1000.0   -1000.0    20.3259   0.079707   19.8515   0.054118   19.8433   0.091421   19.8223    0.11162   
  PSO       J231.6576-20.8335   231.65767083   -20.83351667   6.5864     -1000.0   -1000.0    -1000.0   -1000.0    19.5996   0.049744   -1000.0   -1000.0    19.5321    0.091739  
  PSO       J238.8510-06.8976   238.8510335    -6.89766289    5.81       -1000.0   -1000.0    20.2103   0.081407   20.4205   0.128415   20.5136   0.275975   20.7028    0.30551   
  PSO       J239.7124-07.4026   239.7124609    -7.40266413    6.11       -1000.0   -1000.0    19.5572   0.040722   19.3743   0.038702   19.2559   0.058323   18.982     0.058812  
  PSO       J242.4397-12.9816   242.43971      -12.98169708   5.83       -1000.0   -1000.0    -1000.0   -1000.0    19.7069   0.067868   -1000.0   -1000.0    19.4636    0.205653  
  PSO       J245.0636-00.1978   245.0636766    -0.19786005    5.68       -1000.0   -1000.0    20.7887   0.182446   20.7952   0.195115   24.5278   8.67996    21.2039    0.585903  
  PSO       J308.0416-21.2339   308.0416401    -21.23397495   6.24       -1000.0   -1000.0    20.3059   0.052517   20.1824   0.071429   -1000.0   -1000.0    19.3132    0.074736  
  PSO       J308.4829-27.6485   308.48297      -27.6485       5.8        -1000.0   -1000.0    19.6375   0.063712   19.7945   0.070897   19.7698   0.089537   19.6323    0.111812  
  PSO       J319.6040-10.9326   319.60403      -10.93262      5.9        -1000.0   -1000.0    19.8405   0.034363   19.8912   0.051879   -1000.0   -1000.0    19.8124    0.123654  
  PSO       J320.8703-24.3604   320.87033      -24.3604       5.73       -1000.0   -1000.0    20.2294   0.047619   19.8071   0.046679   -1000.0   -1000.0    19.5515    0.0889    
  PSO       J328.7339-09.5076   328.7339966    -9.5076274     5.92       -1000.0   -1000.0    20.392    0.073794   20.192    0.098433   -1000.0   -1000.0    19.9992    0.190257  
  PSO       J340.2041-18.6621   340.20417      -18.66217      5.98       -1000.0   -1000.0    19.9429   0.048125   21.826    0.425856   -1000.0   -1000.0    19.5775    0.128144  
  PSO       J359.1352-06.3831   359.1352149    -6.38312644    6.15       -1000.0   -1000.0    20.0694   0.06983    19.964    0.070735   19.7554   0.08411    19.4051    0.078839  
  ATLAS     J025.6821-33.4627   25.6821972     -33.46263      6.31       19.5172   0.008029   19.1365   0.010779   19.101    0.007404   -1000.0   -1000.0    18.7545    0.022233  
  ATLAS     J029.9915-36.5658   29.9915479     -36.565723     6.02       -1000.0   -1000.0    -1000.0   -1000.0    19.4814   0.019755   -1000.0   -1000.0    19.2296    0.044849  
  ATLAS     J158.6938-14.4211   158.6938       -14.4211       6.07       -1000.0   -1000.0    19.2763   0.052355   19.2727   0.059964   19.1888   0.077283   18.6796    0.071054  
  ATLAS     J332.8017-32.1036   332.80070833   -32.10355556   6.32       23.8964   0.415021   -1.0E9    -1.0E9     25.2703   3.12902    -1000.0   -1000.0    -1000.0    -1000.0   
