abcd count        RA           Dec   redshift  unW1_RA    unW1_Dec     unW2_RA    unW2_Dec     unW1_mag unW1_magerr    unW1_snr     unW2_mag unW2_magerr    unW2_snr idx_w1 idx_w2    sep_w1         sep_w2
B,  31   17.47137900  -30.79064200   6.79     17.47127   -30.79044   -99.99900   -99.99900     17.96071     0.10958     9.41614    -99.99900    -9.99000   -99.99900   27  29       0.846512   22680.915242 
A,  32   18.47395830    5.99752777   5.00     18.47396     5.99760    18.47394     5.99762     16.68526     0.04127    25.80861     16.13180     0.09378    11.08410   28  23       0.258360       0.352045 
A,  33   18.72962500   32.63786940   5.22     18.72950    32.63769    18.72952    32.63771     16.84587     0.04091    26.04467     16.18057     0.08469    12.32622   29  24       0.772044       0.682408 
A,  34   18.93658330    0.25413880   5.10     18.93671     0.25413    18.93696     0.25402     17.16827     0.06527    16.14018     16.69920     0.15738     6.41071   30  25       0.460347       1.435791 
A,  35   18.94279165   -2.88673330   5.07     18.94252    -2.88669    18.94260    -2.88666     16.36699     0.02986    35.86201     15.83330     0.07025    14.96171   31  26       1.004198       0.754890 
A,  36   19.05958330    5.63824990   5.33     19.05962     5.63819    19.05956     5.63826     16.35369     0.03072    34.84900     15.64389     0.06065    17.40534   32  27       0.238730       0.092385 
A,  37   20.22470800   21.78505550   5.42     20.22457    21.78544    20.22457    21.78525     16.54741     0.03289    32.51207     15.91755     0.07164    14.66172   33  28       1.456258       0.856229 
A,  38   21.42133775  -25.88228802   5.79     21.42127   -25.88225    21.42112   -25.88220     16.22331     0.02458    43.67488     15.59822     0.05282    20.06062   34  29       0.294777       0.857068 
B,  39   22.28100000   -0.47930550   5.01     22.28079    -0.47926   -99.99900   -99.99900     18.13381     0.13544     7.52670    -99.99900    -9.99000   -99.99900   35  32       0.770373    6920.147224 
D,  40   22.49379100   -0.59436110   5.78    -99.99900   -99.99900   -99.99900   -99.99900    -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900   35  31     871.591824    6300.304780 
A,  41   22.86391660   -3.35005270   5.18     22.86394    -3.35007    22.86394    -3.35004     14.54229     0.00709   152.65930     13.88659     0.01357    79.52414   36  30       0.092865       0.085971 
A,  42   23.00710000   -2.26753000   5.90     23.00698    -2.26742    23.00721    -2.26744     16.56777     0.03408    31.36077     15.44352     0.04783    22.20166   37  31       0.590464       0.502638 
A,  43   23.36183330    1.11047222   5.30     23.36182     1.11045    23.36178     1.11035     16.85007     0.04709    22.55940     15.87086     0.07562    13.86352   38  32       0.099825       0.476919 
