#Name	Redshift	M_1450	Selection	Instrument	Exp. Time(s)	Grating	Slit	Obs. Date	
PS1 J001749.00+271052.10	4.76	-27.18	z5	LJ2.4 m/YFOSC	2400.0	G5	1.8	2016 Dec 30	
PS1 J005243.45+455632.03	5.31	-27.05	z55	MMT/Red	300.0	G270	1.5	2017 Nov 17	
PS1 J013901.97+412358.00	4.64	-27.19	z5	LJ2.4 m/YFOSC	2400.0	G5	1.8	2016 Dec 31	
PS1 J020523.76+202347.55	4.69	-27.23	z5	LJ2.4 m/YFOSC	2400.0	G5	1.8	2016 Dec 30	
PS1 J024004.78+284027.72	4.70	-27.21	z5	LJ2.4 m/YFOSC	2400.0	G5	1.8	2016 Dec 31	
PS1 J033236.98+181159.28	5.12	-26.63	z55/z5	MMT/Red	1200.0	G270	1.25	2017 Oct 22	
PS1 J034059.31+081115.84	4.67	-27.56	z5	LJ2.4 m/YFOSC	1800.0	G5	1.8	2016 Dec 30	
PS1 J035643.65+211253.01	4.76	-27.15	z5	LJ2.4 m/YFOSC	2400.0	G5	1.8	2016 Dec 31	
PS1 J035954.73+054420.19	4.82	-27.73	z5	LJ2.4 m/YFOSC	1800.0	G5	1.8	2016 Dec 31	
PS1 J044432.52-292419.13	4.80	-27.72	z5	SSO2.3 m/WiFeS	1200.0	R3000	1.0	2017 Mar 05	
PS1 J045057.37-265541.39	4.76	-27.64	z5	SSO2.3 m/WiFeS	1800.0	R3000	1.0	2017 Mar 06	
PS1 J051154.73-075444.30	5.13	-26.53	z55	MMT/Red	1800.0	G270	1.25	2017 Oct 22	
PS1 J061624.38-133806.40	5.58	-27.06	z55	SSO2.3 m/WiFeS	2400.0	R3000	1.0	2017 Mar 05	
PS1 J075745.90-000201.09	5.54	-26.64	z55	SSO2.3 m/WiFeS	2400.0	R3000	1.0	2017 Mar 05	
PS1 J081700.66-163329.29	5.06	-26.88	z55	SSO2.3 m/WiFeS	2400.0	R3000	1.0	2017 Mar 06	
PS1 J091655.68-251145.80	4.77	-29.06	z5	SSO2.3 m/WiFeS	1200.0	R3000	1.0	2017 Mar 06	
PS1 J094146.16-011748.03	4.94	-26.22	z55/z5	SSO2.3 m/WiFeS	2400.0	R3000	1.0	2017 Mar 06	
PS1 J095139.70-274212.45	4.80	-27.70	z5	SSO2.3 m/WiFeS	3600.0	R3000	1.0	2017 Mar 03	
PS1 J103436.86-123342.49	5.51	-26.44	z55	SSO2.3 m/WiFeS	3600.0	R3000	1.0	2017 Mar 06	
PS1 J105727.60-175831.70	5.34	-26.41	z55	SSO2.3 m/WiFeS	2400.0	R3000	1.0	2017 Mar 05	
PS1 J110837.58-185408.57	4.78	-27.11	z5	SSO2.3 m/WiFeS	1800.0	R3000	1.0	2015 May 12	
PS1 J111054.69-301129.93	4.83	-29.04	z5	SSO2.3 m/WiFeS	900.0	R3000	1.0	2015 May 12	
PS1 J111520.32-193506.24	4.65	-27.62	z5	SSO2.3 m/WiFeS	1800.0	R3000	1.0	2015 May 13	
PS1 J112143.65-071839.69	5.71	-26.40	z55	SSO2.3 m/WiFeS	3000.0	R3000	1.0	2017 Mar 05	
PS1 J113530.40-152610.25	4.62	-26.69	z5	SSO2.3 m/WiFeS	1800.0	R3000	1.0	2015 May 12	
PS1 J113735.37-104934.54	5.50	-26.68	z55	SSO2.3 m/WiFeS	3000.0	R3000	1.0	2017 Mar 05	
