# na	desig	ra	dec	redshift	Z	errZ	Y	errY	J	errJ	H	errH	K	errK	unW1mag	unW1err	unW1snr	unW2mag	unW2err	unW2snr	w3mpro	w3sig	w3snr	w4mpro	w4sig	w4snr
PSO	J009.3573-08.1190	9.35732902	-8.11901741	5.71999979019	-999999500.0	-999999500.0	20.1344795227	0.0497686229646	19.8842391968	0.0629664435983	-999999500.0	-999999500.0	19.8044929504	0.137777552009	16.8204631805	0.042115394026	25.2832832336	16.203830719	0.0951721593738	10.915430069	12.1969995499	-999999488.0	0.899999976158	8.36100006104	-999999488.0	1.20000004768
PSO	J009.7355-10.4316	9.73550794	-10.4316386	6.00400018692	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999500.0	16.4914531708	0.0320455320179	33.3835678101	15.7224197388	0.0614843443036	17.1634654999	12.1979999542	-999999488.0	0.5	8.41100025177	-999999488.0	1.20000004768
PSO	J011.3899+09.0325	11.38986666	9.03248889	6.42000007629	-999999500.0	-999999500.0	21.0375938416	0.304427951574	-999999500.0	-999999500.0	20.6428127289	0.243872478604	20.7605762482	0.336294621229	17.7727928162	0.104269914329	9.92074298859	-999999488.0	-999999488.0	-999999488.0	11.9799995422	-999999488.0	1.20000004768	8.78400039673	-999999488.0	-999999488.0
CFHQS	J0050+3445	12.52777099	34.75601483	6.25299978256	-999999500.0	-999999500.0	-999999500.0	-999999500.0	19.9657516479	0.150508642197	-999999500.0	-999999500.0	-999999500.0	-999999500.0	16.5814857483	0.032617662102	32.789226532	15.7062492371	0.0548806749284	19.2877826691	12.9280004501	-999999488.0	-999999488.0	9.29899978638	-999999488.0	-999999488.0
SDSS	J0054-0109	13.5892499	-1.156	5.09000015259	-999999500.0	-999999500.0	19.6048031015	0.0823075249791	19.5828447367	0.039429892599990156	19.354255445	0.045474195193301446	19.4119448597	0.029374966903534187	16.9820632935	0.0567887350917	18.6232204437	16.1529064178	0.10258924216	10.0912055969	10.8830003738	-999999488.0	1.5	8.38300037384	-999999488.0	0.40000000596
CFHQS	J0055+0146	13.762125	1.77175	6.00600004196	-999999500.0	-999999500.0	24.1233482361	3.11409759521	23.0332698822	1.96495807171	22.3835601807	1.55176436901	21.0834407806	0.439107209444	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDSS	J0100+2802	15.05426347	28.04053195	6.32579994202	-999999500.0	-999999500.0	-999999500.0	-999999500.0	17.599029541	0.0163983106613	17.482088089	0.02309724316	-999999500.0	-999999500.0	14.445608139	0.00632078014314	171.272003174	13.6445665359	0.0105491476133	102.422653198	11.7159996033	0.21099999547	5.09999990463	8.97999954224	0.444999992847	2.40000009537
CFHQS	J0102-0218	15.710999	-2.3027499	5.94999980927	-999999500.0	-999999500.0	-999999488.0	-999999488.0	21.6472587585	0.464902162552	22.6456413269	1.62773394585	22.5118637085	1.8840931654	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SUVAW	J0108+0711	17.0274999	7.18905555	5.53000020981	-999999500.0	-999999500.0	19.9592189789	0.0823925882578	19.8209056854	0.101549819112	19.547498703	0.114355310798	19.5598392487	0.120411999524	16.3387260437	0.0308640096337	34.6804542542	15.4902153015	0.0542774386704	19.5076332092	12.0190000534	0.317999988794	3.40000009537	8.56900024414	0.400999993086	2.70000004768
SDSS	J0108-0100	17.1248333	-1.0043333	5.11000013351	-999999500.0	-999999500.0	20.9130039377	0.252650767565	21.8447055973	0.19841108106423722	21.1462449781	0.20448348148950005	21.5180452608	0.27691745635915566	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
VIK	J0109-3047	17.471379	-30.790642	6.79090023041	27.8225345612	-999999488.0	21.2467632294	0.139472097158	21.2778816223	0.134552851319	21.1339874268	0.17844170332	-999999500.0	-999999500.0	17.9607086182	0.109584704041	9.41614246368	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SUVAW	J0113+0559	18.4739583	5.99752777	5.0	-999999500.0	-999999500.0	20.3350124359	0.109898105264	20.2065200806	0.141070276499	19.7650184631	0.139199391007	19.6209793091	0.112125456333	16.6852607727	0.0412741601467	25.8086109161	16.1318035126	0.0937847420573	11.0840959549	12.4879999161	0.500999987125	2.20000004768	8.37699985504	-999999488.0	1.0
