 qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
               SHELLQsJ0220-0432,   4,  +55171.2183522,      +0.0041626,+1.627773E-006,+2.562304E-006,    +23.355015,     +1.709075,          0,          3,    +180.0000000
               SHELLQsJ0220-0432,   4,  +56185.5896810,     +29.0721931,+1.673441E-006,+2.458850E-007,    +23.324974,     +0.159531,          0,         26,  +10920.0000000
               SHELLQsJ0220-0432,   4,  +56231.8023942,     +28.9780515,+1.686579E-006,+1.891943E-007,    +23.316483,     +0.121794,          0,         52,  +21840.0000000
               SHELLQsJ0220-0432,   5,  +55842.0281235,      +5.9652649,+1.320686E-006,+6.389781E-007,    +23.589000,     +0.525304,          0,         10,   +4200.0000000
               SHELLQsJ0220-0432,   5,  +55216.3730234,      +2.0013611,+1.644796E-006,+1.600590E-006,    +23.350720,     +1.056556,          0,          3,    +720.0000000
               SHELLQsJ0220-0432,   5,  +55879.7384199,     +21.7641112,+2.337049E-006,+6.288878E-007,    +22.969330,     +0.292166,          0,         14,   +5880.0000000
               SHELLQsJ0220-0432,   5,  +56259.6266398,     +19.0190698,+2.436399E-006,+3.176986E-007,    +22.924130,     +0.141577,          0,         56,  +23520.0000000
               SHELLQsJ0220-0432,   5,  +56229.0142932,     +21.8985854,+2.570096E-006,+5.716680E-007,    +22.866127,     +0.241501,          0,         14,   +5880.0000000
               SHELLQsJ0220-0432,   5,  +56187.2579498,      +0.0467243,+3.681917E-006,+1.144201E-006,    +22.475815,     +0.337406,          0,          4,   +1680.0000000
               SHELLQsJ0220-0432,   5,  +55171.2250116,      +0.0041684,+7.527031E-006,+3.025735E-006,    +21.699440,     +0.436447,          0,          3,    +180.0000000
