no,l,b,RA_1,DEC_1,RA(hms),DEC(dms),Name,Class,Rmag,B/Gmag,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,redshift,citation,redshift_citation,Xname,Rname,FIRST____flux(mJy),NVSS____flux(mJy),VLBI_flux__1.4GHz(mJy),VLBI_flux__1.6GHz(mJy),VLBI_flux__1.7GHz(mJy),VLBI_flux__2.3GHz(mJy),VLBI_flux__3GHz(mJy),VLBI_flux__4.3GHz(mJy),VLBI_flux__4.9GHz(mJy),VLBI_flux_5GHz(mJy),VLBI_flux__7.6GHz(mJy),VLBI_flux__8.3(mJy),VLBI_flux__8.4(mJy),VLBI_flux___8.6GHz(mJy),VLBI_flux__15GHz(mJy),VLBI_flux_22GHz(mJy),VLBI_flux__43GHz(mJy),VLBI_reference,notes
1553,316.395922,,80.921707,18.282688,13 00 18.44,+18 16 57.68,SDSS~J130018.44+181657.6,Q,20.5,21.8,25.5,21.84,20.53,20.39,20.36,0.79,0.06,0.04,0.05,0.16,4.059,2014A&A...563A..54P,2017A&A...597A..79P,,,0.142*,,,,,,,,,,,,,,,,,,
1554,305.348417,,34.337188,-28.491947,13 00 31.14,-28 29 31.01,PS1 J130031.14-282931.00,Q,,,,,,,,,,,,,4.71,2018arXiv181011927Y,2018arXiv181011927Y,,,-1,0,,,,,,,,,,,,,,,,,
1555,308.624136,,66.137564,3.367706,13 00 39.13,+03 22 03.74,SDSS~J130039.12+032203.7,Q,19.8,21.7,25.78,22.59,20.57,20.08,19.47,0.85,0.12,0.04,0.04,0.08,4.113,2005AJ....130..367S,2017A&A...597A..79P,,,0.147*,,,,,,,,,,,,,,,,,,
1556,117.776895,,71.273270,45.759987,13 00 55.01,+45 45 35.95,SDSS~J130055.01+454535.9,Q,18.8,21.7,22.71,20.66,19.6,19.37,19.37,0.38,0.04,0.03,0.03,0.07,4.038,2007AJ....134..102S,2017A&A...597A..79P,,,0.136*,,,,,,,,,,,,,,,,,,
1557,110.434295,,80.885624,36.005675,13 01 09.13,+36 00 20.43,SDSS~J130109.13+360020.4,Q,21.2,23,24.49,22.99,21.15,20.98,20.8,0.86,0.16,0.05,0.06,0.18,4.126,2012A&A...548A..66P,2017A&A...597A..79P,,,0.144*,,,,,,,,,,,,,,,,,,
1558,356.114044,,87.252189,25.460639,13 01 10.95,+25 27 38.30,SDSS~J130110.95+252738.2,Q,20.9,22.9,24.2,22.93,20.85,19.41,19.39,0.59,0.14,0.04,0.03,0.06,4.664,2017A&A...597A..79P,2017A&A...597A..79P,,,0.135*,,,,,,,,,,,,,,,,,,
1559,311.419752,,73.033756,10.327627,13 01 28.49,+10 19 39.46,SDSS~J130128.48+101939.4,Q,20.1,21.8,22.85,21.61,20.3,20.1,19.92,0.28,0.05,0.03,0.03,0.07,4.051,2010AJ....139.2360S,2017A&A...597A..79P,,,0.137*,,,,,,,,,,,,,,,,,,
1560,113.502404,,77.991062,38.952604,13 01 29.23,+38 57 09.37,SDSS~J130129.22+385709.3,Q,20.1,21.6,23.65,21.56,20.09,19.91,19.86,0.43,0.05,0.02,0.02,0.06,4.113,2010AJ....139.2360S,2017A&A...597A..79P,,,0.135*,,,,,,,,,,,,,,,,,,
1561,312.856379,,75.443250,12.768076,13 01 37.25,+12 46 05.07,SDSS~J130137.24+124605.0,Q,19,21.1,24.98,20.61,18.99,18.75,18.64,0.83,0.03,0.02,0.02,0.03,4.117,2007AJ....134..102S,2017A&A...597A..79P,,,0.135*,,,,,,,,,,,,,,,,,,
1562,306.679389,,48.014998,-14.781306,13 01 48.270,-14 46 52.70,J130148.27-144652.7,Q,,,,,,,,,,,,,4.515,2019arXiv190504069S,2019arXiv190504069S,,,-1,0,,,,,,,,,,,,,,,,,
1563,309.682261,,67.408685,4.673173,13 01 49.48,+04 40 23.42,SDSS~J130149.48+044023.4,Q,18.8,22,23.66,20.85,19.43,19.25,19.2,0.57,0.03,0.02,0.02,0.05,4.068,2005AJ....130..367S,2010AJ....139.2360S,,,0.144*,,,,,,,,,,,,,,,,,,
1564,329.051425,,84.504284,22.170059,13 01 52.56,+22 10 12.21,SDSS~J130152.55+221012.2,Q,21.1,24.4,25.72,24.44,21.08,19.65,19.59,0.46,0.53,0.06,0.06,0.07,4.799,2010AJ....139.2360S,2017A&A...597A..79P,,,0.135*,,,,,,,,,,,,,,,,,,
