# no     l            b            RA_1         DEC_1        RA(hms)        DEC(dms)       Name                                       Class   Rmag    B/Gmag   psfMag_u   psfMag_g   psfMag_r   psfMag_i   psfMag_z   psfMagErr_u   psfMagErr_g   psfMagErr_r   psfMagErr_i   psfMagErr_z   redshift   citation                               redshift_citation     Xname                   Rname                    FIRST____flux(mJy)   NVSS____flux(mJy)   VLBI_flux__1.4GHz(mJy)   VLBI_flux__1.6GHz(mJy)   VLBI_flux__1.7GHz(mJy)   VLBI_flux__2.3GHz(mJy)   VLBI_flux__3GHz(mJy)   VLBI_flux__4.3GHz(mJy)   VLBI_flux__4.9GHz(mJy)   VLBI_flux_5GHz(mJy)   VLBI_flux__7.6GHz(mJy)   VLBI_flux__8.3(mJy)   VLBI_flux__8.4(mJy)   VLBI_flux___8.6GHz(mJy)   VLBI_flux__15GHz(mJy)   VLBI_flux_22GHz(mJy)   VLBI_flux__43GHz(mJy)   VLBI_reference                                                                                                              notes                                  
  2617   67.364204    -45.053756   337.198792   1.877917     "22 28 47.71"  "+01 52 40.5"  J2228+0152                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.08       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.127*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2466   103.331483   ""           22.539863    71.652336    "19 32 07.62"  "+71 39 08.41" PSO~J293.0317+71.6523                      Q       >23.2   >23.3    ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.08       2016ApJS..227...11B                    2016ApJS..227...11B   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  587    214.105843   ""           30.150064    12.313389    "08 42 29.23"  "+12 18 48.20" SDSS~J084229.23+121848.2                   Q       24      0        24.77      24.45      24.16      23.28      19.68      0.78          0.28          0.56          0.39          0.07          6.08       2011ApJ...739...56D                    2011ApJ...739...56D   ""                      ""                       0.144*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2270   36.993704    ""           47.309874    22.204       "15 59 09.09"  "+22 12 14.4"  "DELS J155909.09+221214.4"                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.07       2017ApJ...839...27W                    2017ApJ...839...27W   ""                      ""                       0.143*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1851   345.47284    ""           57.420012    1.783944     "14 16 53.01"  "+01 47 02.2"  J1416+0147                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.07       2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.152*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  687    228.744072   ""           31.632125    1.872056     "09 11 14.27"  "+01 52 19.4"  J0911+0152                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.07       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.150*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  398    250.469138   -45.102305   65.04727     -44.88993    "04 20 11.34"  "-44 53 23.8"  VDESJ0420-4453                             Q       24.98   24.27    ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.07       2017MNRAS.468.4702R                    2017MNRAS.468.4702R   ""                      ""                       -1                   -1.0                ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  337    178.23089    -48.483176   45.880833    -0.32        "03 03 31.40"  "-00 19 12.00" SDSS~J03035-0019                           Q       23.9    0        24.81      25.1       24.02      23.96      20.87      0.66          0.56          0.4           0.48          0.18          6.07       2008AJ....135.1057J                    2008AJ....135.1057J   ""                      ""                       0.226*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2482   47.978209    -27.041286   313.526667   -0.087222    "20 54 06.40"  "-00 05 14.00" SDSS~J20541-0005                           Q       23.3    0        24.89      24.98      24.73      23.08      20.73      0.63          0.47          0.57          0.32          0.18          6.062      2008AJ....135.1057J                    2013ApJ...773...44W   ""                      ""                       0.137*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1328   275.528742   ""           61.726824    1.565667     "12 01 03.02"  "+01 33 56.4"  J1201+0133                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.06       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.143*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2704   76.38659     -56.954537   349.511667   -2.776111    "23 18 02.80"  "-02 46 34.00" CFHSQ~J23180-0246                          Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.05       2009AJ....137.3541W                    2009AJ....137.3541W   ""                      ""                       0.144*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2605   67.626928    -42.960301   335.789625   3.438972     "22 23 09.51"  "+03 26 20.3"  J2223+0326                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.05       2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.136*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2381   63.845792    ""           43.340724    40.202778    "16 30 33.93"  "+40 12 10.00" SDSS~J16305+4012                           QX      25      26.4     23.63      26.03      23.91      23.35      20.47      0.59          0.39          0.53          0.35          0.12          6.05       2003AJ....125.1649F                    2003AJ....125.1649F   "CXO J163033.9+401209"  ""                       0.133*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  836    237.697145   ""           40.785466    0.892667     "09 57 40.39"  "+00 53 33.6"  J0957+0053                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.05       2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.151*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  534    197.132059   ""           32.018218    26.565414    "08 28 13.41"  "+26 33 55.49" ULAS~J0828+2633                            Q       24.1    24.72    24.21      24.82      24.03      23.04      20.72      0.74          0.57          0.5           0.36          0.17          6.05       Warren(InPrep)                         Warren(InPrep)        ""                      ""                       0.148*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  420    221.465842   -18.310951   89.939458    -15.583389   "05 59 45.47"  "-15 35 00.20" PSO~J089.9394-15.5833                      Q       >23.2   >23.3    ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.05       2016ApJS..227...11B                    2016ApJS..227...11B   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  384    187.76847    -37.887396   58.457222    1.067778     "03 53 49.73"  "+01 04 04.00" SDSS~J03538+0104                           Q       24      0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.049      2008AJ....135.1057J                    2008AJ....135.1057J   ""                      ""                       0.15*                ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2402   60.927667    ""           41.121465    37.922222    "16 41 21.73"  "+37 55 20.00" CFHQS~J16413+3755                          Q       23.7    0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.04       2007AJ....134.2435W                    2007AJ....134.2435W   ""                      ""                       0.169*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2283   85.570822    ""           45.542628    55.175639    "16 03 49.07"  "+55 10 32.30" ELAIS1091000446                            Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.04       2015ApJ...798...28K                    2015ApJ...798...28K   ""                      ""                       0.139*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1915   347.844379   ""           54.070078    -0.035389    "14 29 20.22"  "-00 02 07.4"  J1429-0002                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.04       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.145*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1800   79.444502    ""           70.152024    40.400886    "14 02 54.67"  "+40 24 03.19" PSO~J210.7277+40.4008                      Q       >23.2   >23.3    23.61      25.18      25.19      24.15      20.72      0.57          0.54          0.58          0.6           0.16          6.04       2016ApJS..227...11B                    2016ApJS..227...11B   ""                      ""                       0.146*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1784   335.902953   ""           56.961395    -1.4225      "14 00 29.99"  "-01 25 21.0"  J1400-0125                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.04       2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.148*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1783   337.015496   ""           58.030506    -0.197639    "14 00 28.79"  "-00 11 51.5"  J1400-0011                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.04       2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.154*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1355   274.173884   ""           66.895938    6.502833     "12 07 37.44"  "+06 30 10.20" ULAS~J1207+0630                            Q       24      0        24.79      25.55      24.78      22.64      20.17      1.05          0.71          0.73          0.27          0.11          6.04       2015AJ....149..188J                    2015AJ....149..188J   ""                      ""                       0.149*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2583   84.5079      -24.930787   333.985958   26.108169    "22 15 56.63"  "+26 06 29.41" PSO~J333.9859+26.1081                      Q       23.65   25.11    24.74      25.2       23.95      23.52      21.04      0.59          0.34          0.32          0.37          0.18          6.03       2016ApJS..227...11B                    2016ApJS..227...11B   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1850   343.580985   ""           56.292003    0.262833     "14 16 12.71"  "+00 15 46.2"  J1416+0015                                 Q       ++      ++       23.3       21.85      20.96      20.56      20.21      0.43          0.06          0.05          0.04          0.13          6.03       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.139*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  391    267.105624   -44.499869   62.08012     -56.54134    "04 08 19.23"  "-56 32 28.82" VDESJ0408-5632                             Q       24.89   24.04    ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.03       2017MNRAS.468.4702R                    2017MNRAS.468.4702R   ""                      ""                       -1                   -1.0                ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  237    162.594582   -59.91185    31.546667    -2.927167    "02 06 11.20"  "-02 55 37.8"  J0206-0255                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.03       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.134*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  232    161.189666   -60.310279   30.742542    -2.864889    "02 02 58.21"  "-02 51 53.6"  J0202-0251                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.03       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.142*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1852   345.141671   ""           56.933173    1.286778     "14 17 28.67"  "+01 17 12.4"  J1417+0117                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.02       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.143*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1543   121.729338   ""           53.286036    63.826989    "12 57 57.48"  "+63 49 37.16" SDSS~J1257+6349                            Q       24.24   24.46    25.52      24.45      24.37      24.06      20.37      0.66          0.59          0.61          0.68          0.15          6.02       2015AJ....149..188J                    2015AJ....149..188J   ""                      ""                       0.144*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  223    250.22953    -72.697453   29.991542    -36.565722   "01 59 57.97"  "-36 33 56.60" VST-ATLAS~J029.9915-36.5658                Q       +       +        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.02       2015MNRAS.451L..16C                    2015MNRAS.451L..16C   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  101    124.798445   -61.086716   13.762222    1.771945     "00 55 02.93"  "+01 46 19.00" CFHQS~J00550+0146                          Q       24.6    0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.02       2009AJ....137.3541W                    2009AJ....137.3541W   ""                      ""                       0.121*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2746   102.679608   -36.084513   355.032666   23.967171    "23 40 07.84"  "+23 58 01.82" SDSS~J234007.83+235801.8                   Q       19.5    21       21.32      20.66      19.69      19.06      18.53      0.13          0.03          0.02          0.02          0.03          6.01       2017A&A...597A..79P                    2017A&A...597A..79P   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2614   66.857931    -45.26913    337.115958   1.469306     "22 28 27.83"  "+01 28 09.50" HSC~J2228+0128                             Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.01       2016ApJ...828...26M                    2016ApJ...828...26M   ""                      ""                       0.138*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1406   285.138523   ""           62.592646    0.84375      "12 19 05.34"  "+00 50 37.5"  J1219+0050                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.01       2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.156*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1356   280.137495   ""           60.832245    -0.098139    "12 07 54.14"  "-00 05 53.30" HSC~J1207-0005                             Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.01       2016ApJ...828...26M                    2016ApJ...828...26M   ""                      ""                       0.147*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1235   179.443472   ""           71.999476    35.8325      "11 37 17.73"  "+35 49 57.00" SDSS~J11372+3549                           Q       24.3    25.3     24.85      24.91      23.76      22.51      19.53      0.78          0.61          0.52          0.27          0.07          6.01       2006AJ....131.1203F                    2006AJ....131.1203F   ""                      ""                       0.135*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  651    227.459179   ""           29.869098    1.919694     "09 02 54.87"  "+01 55 10.9"  J0902+0155                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.01       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.151*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  618    226.414973   ""           27.770183    1.653056     "08 53 48.84"  "+01 39 11.0"  J0853+0139                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.01       2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.140*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  262    169.083393   -59.943525   34.115833    -4.926111    "02 16 27.80"  "-04 55 34.00" CFHQS~J02164-0455                          Q       26.8    0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.01       2009AJ....137.3541W                    2009AJ....137.3541W   ""                      ""                       0.144*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2696   92.255256    -37.87315    347.662042   18.922194    "23 10 38.89"  "+18 55 19.90" SDSS~J2310+1855                            Q       23.3    24.7     24.6       24.89      23.67      21.96      19.55      1.57          0.92          0.6           0.22          0.1           6.003      2016ApJ...833..222J                    2016ApJ...833..222J   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2781   ""           ""           ""           ""           ""             ""             J0131-                                     Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.0        "Reed in prep."                        2018MNRAS.479.1055B   ""                      ""                       ""                   ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2773   95.226427    -59.51105    359.215      0.3925       "23 56 51.60"  "+00 23 33.00" SDSS~J23568+0023                           Q       24.5    0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.0        2009AJ....138..305J                    2009AJ....138..305J   ""                      ""                       0.11*                ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2666   339.666718   -57.310996   342.50837    -50.26171    "22 50 02.01"  "-50 15 42.15" VDESJ2250-5015                             Q       23.68   23.6     ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.0        2017MNRAS.468.4702R                    2017MNRAS.468.4702R   ""                      ""                       -1                   -1.0                ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2642   41.709659    -58.850491   340.204083   -18.662167   "22 40 48.98"  "-18 39 43.80" PSO~J340.2041Ãƒâ€žÃ‚Â¾18.6621   Q       24      0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.0        2014AJ....148...14B                    2014AJ....148...14B   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  511    206.203094   ""           26.808625    17.381111    "08 18 27.40"  "+17 22 52.00" SDSS~J08184+1722                           Q       24.4    25.1     24.92      25.34      23.89      22.58      19.65      1.04          0.61          0.57          0.42          0.09          6.0        2006AJ....131.1203F                    2006AJ....131.1203F   ""                      ""                       0.147*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
