# no     l            b            RA_1         DEC_1        RA(hms)        DEC(dms)       Name                                       Class   Rmag    B/Gmag   psfMag_u   psfMag_g   psfMag_r   psfMag_i   psfMag_z   psfMagErr_u   psfMagErr_g   psfMagErr_r   psfMagErr_i   psfMagErr_z   redshift   citation                               redshift_citation     Xname                   Rname                    FIRST____flux(mJy)   NVSS____flux(mJy)   VLBI_flux__1.4GHz(mJy)   VLBI_flux__1.6GHz(mJy)   VLBI_flux__1.7GHz(mJy)   VLBI_flux__2.3GHz(mJy)   VLBI_flux__3GHz(mJy)   VLBI_flux__4.3GHz(mJy)   VLBI_flux__4.9GHz(mJy)   VLBI_flux_5GHz(mJy)   VLBI_flux__7.6GHz(mJy)   VLBI_flux__8.3(mJy)   VLBI_flux__8.4(mJy)   VLBI_flux___8.6GHz(mJy)   VLBI_flux__15GHz(mJy)   VLBI_flux_22GHz(mJy)   VLBI_flux__43GHz(mJy)   VLBI_reference                                                                                                              notes                                  
  394    201.854317   -39.573465   62.86925     -9.13048     "04 11 28.62"  "-09 07 49.7"  VHS~J0411-0907                             Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.82       2019MNRAS.484.5142P                    2019MNRAS.484.5142P   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  395    201.854365   -39.573438   62.869292    -9.1305      "04 11 28.63"  "-09 07 49.8"  "DELS J041128.63-090749.8"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.81       2018arXiv181011926W                    2018arXiv181011926W   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1912   346.654501   ""           53.297351    -1.078722    "14 29 03.08"  "-01 04 43.4"  J1429-0104                                 Q       ++      ++       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.8        2018PASJ...70S..35M                    2018PASJ...70S..35M   ""                      ""                       0.334*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  537    179.859583   ""           35.342528    41.29456     "08 29 31.97"  "+41 17 40.4"  "DELS J082931.97+411740.4"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.768      2018arXiv181011926W                    2018arXiv181011926W   ""                      ""                       0.13*                ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  128    256.256142   -84.551742   17.471375    -30.790639   "01 09 53.13"  "-30 47 26.30" VIKING~J0109-3047                          Q       22.9    0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.745      2013ApJ...779...24V                    2013ApJ...779...24V   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1103   219.918811   ""           65.040302    21.57467     "11 04 21.59"  "+21 34 28.8"  "DELS J110421.59+213428.8"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.74       2018arXiv181011926W                    2018arXiv181011926W   ""                      ""                       0.154*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  306    267.549128   -58.532285   41.00424     -50.14826    "02 44 01.02"  "-50 08 53.7"  VDES~J0244-5008                            Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.724      2019arXiv190107456R                    2019arXiv190107456R   ""                      ""                       -1                   -1.0                ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  679    212.127737   ""           38.134085    16.94161     "09 10 13.63"  "+16 56 29.8"  "DELS J091013.63+165629.8"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.72       2018arXiv181011926W                    2018arXiv181011926W   ""                      ""                       0.139*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  253    169.860462   -61.606901   33.320583    -6.437556    "02 13 16.94"  "-06 26 15.2"  J0213-0626                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.72       2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.154*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  569    169.814274   ""           37.23405     49.48344     "08 37 37.84"  "+49 29 00.4"  "DELS J083737.84+492900.4"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.71       2018arXiv181011926W                    "Yang in prep."       ""                      ""                       0.129*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
