no,l,b,RA_1,DEC_1,RA(hms),DEC(dms),Name,Class,Rmag,B/Gmag,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,redshift,citation,redshift_citation,Xname,Rname,FIRST____flux(mJy),NVSS____flux(mJy),VLBI_flux__1.4GHz(mJy),VLBI_flux__1.6GHz(mJy),VLBI_flux__1.7GHz(mJy),VLBI_flux__2.3GHz(mJy),VLBI_flux__3GHz(mJy),VLBI_flux__4.3GHz(mJy),VLBI_flux__4.9GHz(mJy),VLBI_flux_5GHz(mJy),VLBI_flux__7.6GHz(mJy),VLBI_flux__8.3(mJy),VLBI_flux__8.4(mJy),VLBI_flux___8.6GHz(mJy),VLBI_flux__15GHz(mJy),VLBI_flux_22GHz(mJy),VLBI_flux__43GHz(mJy),VLBI_reference,notes
1,108.13444813,-37.43902744,0.038611,23.9547223,00 00 09.27,+23 57 17.00,PSS~J0000+2357,Q,19.4,21.1,,,,,,,,,,,4.03,2001ASPC..225...52D,2001ASPC..225...52D,,,-1,0,,,,,,,,,,,,,,,,,
2,108.52789149,-36.6305913,0.154184,24.8156096,00 00 37.00,+24 48 56.19,SDSS~J000037.00+244856.1,Q,19.7,21.3,26.1,22.25,20.51,20.28,20.31,0.34,0.08,0.03,0.03,0.1,4.171,2017A&A...597A..79P,2017A&A...597A..79P,,,-1,0,,,,,,,,,,,,,,,,,
3,97.59135195,-59.19213755,0.19455,1.1642346,00 00 46.69,+01 09 51.24,SDSS~J000046.69+010951.2,Q,21.8,24.1,23.85,24.07,21.78,21.67,21.52,0.69,0.36,0.08,0.12,0.34,4.248,2012A&A...548A..66P,2017A&A...597A..79P,,,0.147*,,,,,,,,,,,,,,,,,,
4,96.89287312,-60.0889208,0.214875,0.2006944,00 00 51.57,+00 12 02.5,SDSS~J000051.57+001202.5,QR,21.94,20.2,23.8,21.93,20.22,19.88,19.72,1.08,0.06,0.03,0.03,0.07,4,2017MNRAS.467.4763T,2017MNRAS.467.4763T,,,2.64,,,,,,,,,,,,,,,,,,
5,109.32300088,-34.7090382,0.340125,26.83588056,00 01 21.63,+26 50 09.17,PSO~J000.3401+26.8358,Q,23.07,24.57,25.92,24.56,23.04,21.33,19.41,0.73,0.66,0.31,0.09,0.07,5.75,2016ApJS..227...11B,2016ApJS..227...11B,,,-1,0,,,,,,,,,,,,,,,,,
6,103.7174348,-49.79238312,0.350976,11.2035251,00 01 24.23,+11 12 12.69,SDSS~J000124.23+111212.6,Q,20.5,22.5,23.53,22.45,20.5,20.35,20.22,0.48,0.09,0.03,0.04,0.11,4.297,2017A&A...597A..79P,2017A&A...597A..79P,,,0.092*,,,,,,,,,,,,,,,,,,
7,109.38532875,-35.74220705,0.664167,25.8430556,00 02 39.40,+25 50 35.00,SDSS~J00026+2550,QX,23.1,24.6,25.69,24.64,23.2,21.59,19.03,0.82,0.6,0.32,0.11,0.05,5.8,2004AJ....128..515F,2004AJ....128..515F,CXOX J000239.3+255034,,-1,0,,,,,,,,,,,,,,,,,
8,112.36388452,-24.32735321,0.691945,37.5436112,00 02 46.07,+37 32 37.00,PSS~J0002+3732,QR,18.8,21.8,,,,,,,,,,,4.21,2001ASPC..225...52D,2001ASPC..225...52D,,NVSS J000245.9+373236,-1,18.7,,,,,,,,,,,,,,,,,
9,35.91917184,-79.20764943,0.845556,-26.055,00 03 22.93,-26 03 18.00,Q~0000-26,QX,17.1,20.4,,,,,,,,,,,4.111,1989AJ.....98.1507S,1989ApJS...69..703S,3XMM J000322.9-260318,,-1,0,,,,,,,,,,,,,,,,,
10,110.04071353,-34.15932618,0.846111,27.5066667,00 03 23.07,+27 30 24.00,PSS~J0003+2730,Q,18.9,21.1,25.62,21.36,19.4,19.17,19.11,0.78,0.03,0.02,0.02,0.04,4.23,2002ApJ...565...50C,2002ApJ...565...50C,,,-1,0,,,,,,,,,,,,,,,,,
11,98.24972791,-60.57122054,1.019638,0.0108561,00 04 04.71,+00 00 39.08,SDSS~J000404.71+000039.0,Q,21.3,23.2,25.52,23.16,21.32,20.78,20.46,0.41,0.15,0.04,0.04,0.12,4.31,2012A&A...548A..66P,2017A&A...597A..79P,,,0.108*,,,,,,,,,,,,,,,,,,
12,98.58471592,-60.74939008,1.23797,-0.0941062,00 04 57.11,-00 05 38.78,SDSS~J000457.11-000538.7,Q,21.4,22.9,25.64,22.9,21.4,21.11,20.86,0.79,0.14,0.05,0.06,0.18,4.05,2012A&A...548A..66P,2017A&A...597A..79P,,,0.228*,,,,,,,,,,,,,,,,,,
13,100.92049833,-57.92266232,1.363108,2.9703579,00 05 27.15,+02 58 13.29,SDSS~J000527.14+025813.2,Q,20.7,22,25.52,21.99,20.73,20.48,20.65,0.54,0.06,0.03,0.03,0.13,4.109,2012A&A...548A..66P,2017A&A...597A..79P,,,0.131*,,,,,,,,,,,,,,,,,,
14,99.00808679,-60.85300831,1.468054,-0.1154574,00 05 52.33,-00 06 55.65,SDSS~J000552.33-000655.6,QX,25.1,25.6,23.75,25.62,25.06,23.06,20.48,0.79,0.48,0.51,0.28,0.13,5.855,2012A&A...548A..66P,2017A&A...597A..79P,CXOX J000552.3-000655,,0.386*,,,,,,,,,,,,,,,,,,
15,99.47780035,-60.2698643,1.475132,0.5116773,00 05 54.03,+00 30 42.04,SDSS~J000554.03+003042.0,Q,19.9,21.3,25.63,22.52,20.99,20.68,20.58,0.47,0.13,0.05,0.06,0.16,4.137,2017A&A...597A..79P,2017A&A...597A..79P,,,0.098*,,,,,,,,,,,,,,,,,,
16,110.8048931,-34.56568462,1.638889,27.2469445,00 06 33.33,+27 14 49.00,PSS~J0006+2714,Q,19.9,21.2,23.97,22.67,20.26,19.62,19.31,0.94,0.17,0.03,0.03,0.07,4.48,2001ASPC..225...52D,2001ASPC..225...52D,,,-1,0,,,,,,,,,,,,,,,,,
17,99.0016406,-61.38814463,1.65832,-0.6156385,00 06 38.00,-00 36 56.30,SDSS~J000637.99-003656.2,Q,21,23.8,24.09,23.79,21.01,21.11,20.7,0.79,0.3,0.04,0.06,0.16,4.435,2012A&A...548A..66P,2017A&A...597A..79P,,,0.152*,,,,,,,,,,,,,,,,,,
18,311.82007575,-54.21783847,1.715,-62.1344445,00 06 51.60,-62 08 04.00,BR~J0006-6208,Q,19,22.4,,,,,,,,,,,4.455,2001MNRAS.322..933S,2001AJ....121.1799P,,,-1,-1,,,,,,,,,,,,,,,,,
19,110.32694664,-37.50720533,1.910833,24.2902778,00 07 38.60,+24 17 25.00,PSS~J0007+2417,Q,18.9,20.8,23.25,20.04,18.8,18.38,18.23,0.72,0.03,0.02,0.02,0.03,4.05,2003ApJS..148..317P,2003ApJS..148..317P,,,-1,0,,,,,,,,,,,,,,,,,
20,100.50895223,-60.27016184,1.954867,0.6887803,00 07 49.17,+00 41 19.61,SDSS~J000749.16+004119.6,Q,21.5,24.3,23.98,24.32,21.49,20.08,19.92,0.64,0.41,0.06,0.03,0.08,4.78,2007AJ....134..102S,2017A&A...597A..79P,,,0.097*,,,,,,,,,,,,,,,,,,
21,97.47201701,-63.99030127,1.975333,-3.291894,00 07 54.08,-03 17 30.82,J000754.08-031730.82,Q,21.64,0,25.72,24.07,21.75,19.71,19.58,0.83,0.46,0.08,0.03,0.07,4.76,2016ApJ...819...24W,2016ApJ...819...24W,,,0.309*,,,,,,,,,,,,,,,,,,
22,94.70951454,-66.91970074,2.107375,-6.4345611,00 08 25.77,-06 26 04.42,PSO~J002.1073-06.4345,Q,24,24.38,24.02,24.36,24,23.62,20.07,0.98,0.54,0.59,0.63,0.14,5.93,2015AJ....149..188J,2016ApJS..227...11B,,,0.636*,,,,,,,,,,,,,,,,,,
23,113.40912923,-25.81272486,2.214292,36.270414,00 08 51.43,+36 16 13.49,J000851.43+361613.49,Q,21.45,0,25.56,25.38,21.62,19.63,19.3,0.48,0.43,0.08,0.02,0.05,5.17,2016ApJ...819...24W,2016ApJ...819...24W,,,-1,0,,,,,,,,,,,,,,,,,
24,112.8538526,-29.17975236,2.378708,32.8702611,00 09 30.89,+32 52 12.94,PSO~J002.3786+32.8702,Q,>23.2,>23.3,,,,,,,,,,,6.1,2016ApJS..227...11B,2016ApJS..227...11B,,,-1,0,,,,,,,,,,,,,,,,,
25,108.61672433,-46.98460082,2.813487,14.7671681,00 11 15.24,+14 46 01.81,SDSS~J001115.23+144601.8,QRX,19.6,22.1,24.25,22.08,19.63,18.29,18.12,0.81,0.07,0.02,0.02,0.03,4.964,2005AJ....130..367S,2017A&A...597A..79P,CXOX J001115.2+144601,FIRST J001115.2+144601,24.27,,,,18.6,,,,,10.3,,,,,,,,2016MNRAS.463.3260C,
26,109.08271545,-45.93668129,2.893871,15.8603984,00 11 34.53,+15 51 37.43,SDSS~J001134.52+155137.4,Q,20.9,22.9,25.1,22.94,20.88,20.1,19.84,0.85,0.16,0.04,0.04,0.1,4.345,2005AJ....130..367S,2017A&A...597A..79P,,,-1,0,,,,,,,,,,,,,,,,,
27,107.12428847,-51.872248,3.032438,9.7889528,00 12 07.79,+09 47 20.23,SDSS~J001207.78+094720.2,Q,21.8,24.3,24.95,24.33,21.79,20.11,20.08,0.7,0.3,0.07,0.04,0.1,4.745,2014A&A...563A..54P,2017A&A...597A..79P,,,0.136*,,,,,,,,,,,,,,,,,,
28,108.03036995,-49.67189502,3.061102,12.0624695,00 12 14.66,+12 03 44.89,SDSS~J001214.66+120344.8,Q,21.1,22.5,25.15,22.54,21.12,21.02,20.91,0.87,0.11,0.05,0.06,0.22,4.106,2017A&A...597A..79P,2017A&A...597A..79P,,,0.149*,,,,,,,,,,,,,,,,,,
29,113.99068114,-27.95302172,3.298435,34.2538677,00 13 11.62,+34 15 13.92,SDSS~J001311.62+341513.9,QR,20.1,21.5,24.73,21.16,20.03,19.83,19.88,0.73,0.04,0.02,0.03,0.09,4.033,2017A&A...597A..79P,2017A&A...597A..79P,,NVSS J001311.6+341513,-1,50,,,,,,,,,,,,,,,,,
30,95.66603237,-69.42248058,3.488204,-8.5596508,00 13 57.17,-08 33 34.74,SDSS~J001357.16-083334.7,Q,20.3,21.4,20.88,21.35,20.81,20.88,20.65,0.07,0.07,0.04,0.05,0.21,4.193,2017A&A...597A..79P,2017A&A...597A..79P,,,0.15*,,,,,,,,,,,,,,,,,,
31,113.63921082,-31.67407194,3.678611,30.5341667,00 14 42.87,+30 32 03.00,PSS~J0014+3032,Q,19,21.2,23.47,21.62,19.81,19.22,18.99,0.49,0.05,0.02,0.02,0.04,4.47,2001ASPC..225...52D,2001ASPC..225...52D,,,-1,0,,,,,,,,,,,,,,,,,
32,111.9833689,-40.20399502,3.864888,21.9016434,00 15 27.57,+21 54 05.92,SDSS~J001527.57+215405.9,Q,20.9,22.2,24.72,22.24,20.9,20.83,20.61,1.24,0.11,0.05,0.06,0.18,4.004,2017A&A...597A..79P,2017A&A...597A..79P,,,-1,0,,,,,,,,,,,,,,,,,
33,103.29419843,-62.31141432,3.874417,-0.8178611,00 15 29.86,-00 49 04.30,HRQC~J001529.86-004904.3,Q,22.6,0,23.25,25.32,22.7,21.07,20.64,0.39,0.47,0.15,0.05,0.12,4.93,2013ApJ...768..105M,2013ApJ...768..105M,,,0.145*,,,,,,,,,,,,,,,,,,
34,105.19191426,-59.3135137,3.906304,2.3191329,00 15 37.51,+02 19 08.88,SDSS~J001537.51+021908.8,Q,19.6,21,23.62,22.1,20.44,20.3,20.15,0.73,0.07,0.03,0.04,0.12,4.229,2012A&A...548A..66P,2017A&A...597A..79P,,,0.119*,,,,,,,,,,,,,,,,,,
35,96.09100706,-71.08325719,4.311153,-10.015396,00 17 14.68,-10 00 55.43,SDSS~J001714.67-100055.4,Q,21.2,24.9,24.87,25.56,21.34,19.54,19.62,1.05,0.59,0.06,0.03,0.09,5.01,2005AJ....130..367S,2010AJ....139.2360S,,,0.146*,,,,,,,,,,,,,,,,,,
36,111.44690145,-45.02894858,4.393625,17.08630556,00 17 34.47,+17 05 10.70,PSO~J004.3936+17.0862,Q,>23.2,>23.3,,,,,,,,,,,5.8,2016ApJS..227...11B,2016ApJS..227...11B,,,-1,0,,,,,,,,,,,,,,,,,
37,113.84028401,-34.82472911,4.454167,27.1811388888889,00 17 49.00,+27 10 52.10,PS1 J001749.00+271052.10,Q,,,,,,,,,,,,,4.76,2018arXiv181011927Y,2018arXiv181011927Y,,,-1,0,,,,,,,,,,,,,,,,,
38,110.94390272,-47.6818592,4.55787,14.4154668,00 18 13.89,+14 24 55.68,SDSS~J001813.88+142455.6,Q,18.3,21.2,23.75,21.22,19.41,19.31,19.19,0.67,0.05,0.02,0.02,0.05,4.234,2017A&A...597A..79P,2017A&A...597A..79P,,,0.132*,,,,,,,,,,,,,,,,,,
39,340.9323754,-79.12117276,4.657778,-35.4611112,00 18 37.87,-35 27 40.00,BR~J0018-3527,Q,18.5,21.2,,,,,,,,,,,4.15,2001MNRAS.322..933S,2001MNRAS.322..933S,,,-1,0,,,,,,,,,,,,,,,,,
