	qsoName,	qsoID,	ra,	dec,	filterID,	aperMag3AverAB,	aperMag3Err,	ppErrBits
                  SDSSJ0005-0006,                   2,      +1.4680833,      -0.1154999,   3,    +20.729958,     +0.130241,          0
                  SDSSJ0005-0006,                   2,      +1.4680833,      -0.1154999,   4,    +19.990760,     +0.085715,          0
                  SDSSJ0005-0006,                   2,      +1.4680833,      -0.1154999,   5,    +20.544788,     +0.171531,          0
            PSOJ004.3936+17.0862,                   7,      +4.3936135,     +17.0863045,   3,    +20.743412,     +0.080699,    4194304
            PSOJ004.3936+17.0862,                   7,      +4.3936135,     +17.0863045,   5,    +20.284893,     +0.091551,          0
                  VDESJ0020-3653,                   9,      +5.1311237,     -36.8949476,   3,    +20.421812,     +0.068346,          0
                  VDESJ0020-3653,                   9,      +5.1311237,     -36.8949476,   5,    +19.319130,     +0.077284,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   3,    +20.391222,     +0.102050,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   4,    +20.120817,     +0.126243,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   5,    +19.941513,     +0.105881,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   2,    +18.026766,     +0.014261,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   3,    +17.946362,     +0.013751,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   4,    +17.717808,     +0.019219,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   5,    +17.589176,     +0.017610,          0
                 CFHQSJ0033-0125,                  15,      +8.2975000,      -1.4235833,   3,    +21.405960,     +0.189515,          0
                 CFHQSJ0033-0125,                  15,      +8.2975000,      -1.4235833,   4,    +21.321750,     +0.264906,          0
                 CFHQSJ0033-0125,                  15,      +8.2975000,      -1.4235833,   5,    +20.786540,     +0.168865,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   3,    +19.636236,     +0.049141,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   4,    +19.390621,     +0.055732,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   5,    +19.488264,     +0.088034,          0
                 CFHQSJ0102-0218,                  23,     +15.7109990,      -2.3027499,   2, -9.999995E008, -9.999995E008,          0
