# qsoName,ra,dec,filterID,nEpochs
#
# Results of Query: Database VSERV1000v20181217 24/05/19 09:20
# SELECT qso.qsoName,qso.ra,qso.dec,remeas.filterID,COUNT(*) as nEpochs 
#   /* Select name, ra, dec, filterID and counts of observations in 
# each   filter */ FROM finalQsoCatalogue as qso, 
# MapApertureIDshighzQsoMap as ma, vserv1000MapRemeasurement as remeas, 
# Filter as f, Multiframe as m,MapFrameStatus as mfs   /* Main tables 
# for query. MapApertureIDshighzQsoMap joins   finalQsoCatalogue to 
# vserv1000MapRemeasurement */ WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=remeas.apertureID and 
# remeas.catalogueID=mfs.catalogueID and 
# mfs.multiframeID=m.multiframeID and f.filterID=m.filterID   /* Join 
# all the tables correctly MapFrameStatus links the   catalogueID to 
# the multiframeID, which allows us to link to the   image metadate in 
# Multiframe to get the observation time (mjdObs) */ GROUP BY 
# qso.qsoName,qso.ra,qso.dec,remeas.filterID   /* Group by qso name and 
# filter to get the counts as a function of   QSO and filterID */ ORDER 
# BY qso.ra,remeas.filterID
# Column Headers at start of file AND below
#
# qsoName,ra,dec,filterID,nEpochs
                  SDSSJ0005-0006,      +1.4680833,      -0.1154999,   3,          2
                  SDSSJ0005-0006,      +1.4680833,      -0.1154999,   4,          2
                  SDSSJ0005-0006,      +1.4680833,      -0.1154999,   5,          2
            PSOJ004.3936+17.0862,      +4.3936135,     +17.0863045,   3,          2
            PSOJ004.3936+17.0862,      +4.3936135,     +17.0863045,   5,          5
                  VDESJ0020-3653,      +5.1311237,     -36.8949476,   3,          3
                  VDESJ0020-3653,      +5.1311237,     -36.8949476,   5,          3
                  SDSSJ0023-0018,      +5.8777916,      -0.3101111,   3,          2
                  SDSSJ0023-0018,      +5.8777916,      -0.3101111,   4,          2
                  SDSSJ0023-0018,      +5.8777916,      -0.3101111,   5,          2
                SDWISEJ0025-0145,      +6.3618333,      -1.7590306,   2,          2
                SDWISEJ0025-0145,      +6.3618333,      -1.7590306,   3,          2
                SDWISEJ0025-0145,      +6.3618333,      -1.7590306,   4,          2
                SDWISEJ0025-0145,      +6.3618333,      -1.7590306,   5,          2
                 CFHQSJ0033-0125,      +8.2975000,      -1.4235833,   3,          2
                 CFHQSJ0033-0125,      +8.2975000,      -1.4235833,   4,          2
                 CFHQSJ0033-0125,      +8.2975000,      -1.4235833,   5,          2
                  SDSSJ0054-0109,     +13.5892499,      -1.1560000,   3,          3
                  SDSSJ0054-0109,     +13.5892499,      -1.1560000,   4,          3
                  SDSSJ0054-0109,     +13.5892499,      -1.1560000,   5,          3
                 CFHQSJ0102-0218,     +15.7109990,      -2.3027499,   2,          2
                 CFHQSJ0102-0218,     +15.7109990,      -2.3027499,   3,          2
                 CFHQSJ0102-0218,     +15.7109990,      -2.3027499,   4,          2
                 CFHQSJ0102-0218,     +15.7109990,      -2.3027499,   5,          2
                  SDSSJ0108-0100,     +17.1248333,      -1.0043333,   3,          3
                  SDSSJ0108-0100,     +17.1248333,      -1.0043333,   4,          2
                  SDSSJ0108-0100,     +17.1248333,      -1.0043333,   5,          3
                   VIKJ0109-3047,     +17.4713790,     -30.7906420,   1,          2
                   VIKJ0109-3047,     +17.4713790,     -30.7906420,   2,          2
                   VIKJ0109-3047,     +17.4713790,     -30.7906420,   3,          4
                   VIKJ0109-3047,     +17.4713790,     -30.7906420,   4,          2
                  SDSSJ0115+0015,     +18.9365833,      +0.2541388,   3,          5
                  SDSSJ0115+0015,     +18.9365833,      +0.2541388,   4,          3
                  SDSSJ0115+0015,     +18.9365833,      +0.2541388,   5,          5
                SDWISEJ0115-0253,     +18.9427916,      -2.8867333,   2,          4
                SDWISEJ0115-0253,     +18.9427916,      -2.8867333,   3,          4
                SDWISEJ0115-0253,     +18.9427916,      -2.8867333,   4,          4
                SDWISEJ0115-0253,     +18.9427916,      -2.8867333,   5,          4
                  SDSSJ0129-0028,     +22.2810000,      -0.4793055,   3,          4
                  SDSSJ0129-0028,     +22.2810000,      -0.4793055,   4,          2
                  SDSSJ0129-0028,     +22.2810000,      -0.4793055,   5,          4
                  SDSSJ0129-0035,     +22.4937910,      -0.5943611,   3,          4
                  SDSSJ0129-0035,     +22.4937910,      -0.5943611,   4,          2
                  SDSSJ0129-0035,     +22.4937910,      -0.5943611,   5,          4
                SDWISEJ0131-0321,     +22.8639166,      -3.3500527,   2,          2
                SDWISEJ0131-0321,     +22.8639166,      -3.3500527,   3,          2
                SDWISEJ0131-0321,     +22.8639166,      -3.3500527,   4,          2
                SDWISEJ0131-0321,     +22.8639166,      -3.3500527,   5,          2
            PSOJ023.0071-02.2675,     +23.0071000,      -2.2675300,   2,          2
            PSOJ023.0071-02.2675,     +23.0071000,      -2.2675300,   3,          2
            PSOJ023.0071-02.2675,     +23.0071000,      -2.2675300,   4,          2
            PSOJ023.0071-02.2675,     +23.0071000,      -2.2675300,   5,          2
                  SDSSJ0133+0106,     +23.3618333,      +1.1104722,   3,          4
                  SDSSJ0133+0106,     +23.3618333,      +1.1104722,   4,          3
                  SDSSJ0133+0106,     +23.3618333,      +1.1104722,   5,          5
          ATLASJ025.6821-33.4627,     +25.6821972,     -33.4626300,   1,          2
          ATLASJ025.6821-33.4627,     +25.6821972,     -33.4626300,   2,          2
          ATLASJ025.6821-33.4627,     +25.6821972,     -33.4626300,   3,          6
          ATLASJ025.6821-33.4627,     +25.6821972,     -33.4626300,   5,          2
                  VDESJ0143-5545,     +25.7926667,     -55.7529667,   3,          2
                  VDESJ0143-5545,     +25.7926667,     -55.7529667,   5,          2
