#
# Results of Query: Database WSERV1000v20181217 04/02/19 16:28, 938 result rows
# Results of Query: Database VSERV1000v20181217 04/02/19 16:29, 731 result rows
#
# SELECT qso.qsoName,qso.qsoID,qso.ra,qso.dec,aver.filterID,
# (aver.aperMag3+f.VegaToAB) as aperMag3AverAB,aver.aperMag3Err,
# aver.ppErrBits   FROM finalQsoCatalogue as qso, 
# MapApertureIDshighzQsoMap as ma, wserv1000MapRemeasAver as aver, 
# Filter as f,  (SELECT distinct combiCatID FROM MapProvenance WHERE 
# avSetupID=0) as mapAvSetup   WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=aver.apertureID and 
# aver.catalogueID=mapAvSetup.combiCatID and  f.filterID=aver.filterID  
# ORDER BY qso.qsoID,aver.filterID
# 
#
# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
            PSOJ000.3401+26.8358,                   0,      +0.3401135,     +26.8358814,   3,    +19.284586,     +0.062458,          0
                  SDSSJ0002+2550,                   1,      +0.6641173,     +25.8430442,   3,    +19.373274,     +0.069474,          0
                SDWISEJ0008+3616,                   4,      +2.2142917,     +36.2704138,   3,    +19.331099,     +0.063265,          0
            PSOJ002.3786+32.8702,                   5,      +2.3787018,     +32.8702618,   3,    +20.994478,     +0.248930,          0
            PSOJ004.3936+17.0862,                   7,      +4.3936135,     +17.0863045,   3,    +20.559095,     +0.202108,          0
            PSOJ006.1240+39.2219,                  11,      +6.1240417,     +39.2219306,   3,    +21.280636,     +0.421661,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   4,    +17.744932,     +0.003998,          0
            PSOJ007.0273+04.9571,                  13,      +7.0273329,      +4.9571232,   2,    +20.334393,     +0.055914,          0
            PSOJ007.0273+04.9571,                  13,      +7.0273329,      +4.9571232,   3,    +20.226970,     +0.073723,          0
            PSOJ007.0273+04.9571,                  13,      +7.0273329,      +4.9571232,   4,    +20.288778,     +0.108315,          0
            PSOJ007.0273+04.9571,                  13,      +7.0273329,      +4.9571232,   5,    +20.189209,     +0.105499,          0
                SDWISEJ0031+0710,                  14,      +7.8577500,      +7.1769222,   2,    +20.027384,     +0.082396,          0
                SDWISEJ0031+0710,                  14,      +7.8577500,      +7.1769222,   3,    +20.196571,     +0.146073,          0
                SDWISEJ0031+0710,                  14,      +7.8577500,      +7.1769222,   4,    +19.485508,     +0.105933,          0
                SDWISEJ0031+0710,                  14,      +7.8577500,      +7.1769222,   5,    +19.609877,     +0.123397,          0
            PSOJ011.3899+09.0325,                  18,     +11.3898667,      +9.0324889,   2,    +21.037594,     +0.234263,          0
            PSOJ011.3899+09.0325,                  18,     +11.3898667,      +9.0324889,   4,    +20.642813,     +0.177309,          0
            PSOJ011.3899+09.0325,                  18,     +11.3898667,      +9.0324889,   5,    +20.760576,     +0.251248,          0
                 CFHQSJ0050+3445,                  19,     +12.5277710,     +34.7560148,   3,    +19.965752,     +0.120001,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   2,    +19.604803,     +0.057344,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   3,    +19.394524,     +0.065120,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   4,    +19.222145,     +0.077951,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   5,    +19.586315,     +0.115885,          0
                 CFHQSJ0055+0146,                  21,     +13.7621250,      +1.7717500,   2,    +24.123348,     +2.525379,          0
                 CFHQSJ0055+0146,                  21,     +13.7621250,      +1.7717500,   3,    +23.033270,     +1.442814,          0
