# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
               SHELLQsJ0911+0152,                 142,    +137.8094583,      +1.8720556,   5,    +21.323423,     +0.446054,          0
                  SDSSJ0913+5919,                 143,    +138.3189634,     +59.3226888,   3,    +20.259480,     +0.153810,          0
                  SDSSJ0915+4924,                 144,    +138.9318420,     +49.4046241,   3,    +19.529089,     +0.062545,          0
                  SDSSJ0917+3830,                 145,    +139.4914907,     +38.5111550,   3,    +21.311516,     +0.234901,          0
               SHELLQsJ0918+0139,                 146,    +139.6382083,      +1.6564722,   2,    +22.647491,     +0.643682,          0
               SHELLQsJ0918+0139,                 146,    +139.6382083,      +1.6564722,   3, -9.999995E008, -9.999995E008,          0
               SHELLQsJ0918+0139,                 146,    +139.6382083,      +1.6564722,   4,    +25.858183, -9.999995E008,          0
               SHELLQsJ0918+0139,                 146,    +139.6382083,      +1.6564722,   5,    +21.983412,     +0.771966,          0
               SHELLQsJ0921+0007,                 147,    +140.3356667,      +0.1230278,   2,    +21.032503,     +0.189761,          0
               SHELLQsJ0921+0007,                 147,    +140.3356667,      +0.1230278,   3,    +21.131987,     +0.210464,          0
               SHELLQsJ0921+0007,                 147,    +140.3356667,      +0.1230278,   4,    +20.870049,     +0.294916,          0
               SHELLQsJ0921+0007,                 147,    +140.3356667,      +0.1230278,   5,    +20.380962,     +0.221005,          0
                  SDSSJ0922+2653,                 148,    +140.5700563,     +26.8997376,   3,    +20.077610,     +0.080332,          0
                  SDSSJ0923+3009,                 149,    +140.9032672,     +30.1637729,   3,    +20.635666,     +0.230626,          0
               SHELLQsJ0923+0402,                 150,    +140.9463333,      +4.0484444,   2,    +21.046648,     +0.106241,          0
               SHELLQsJ0923+0402,                 150,    +140.9463333,      +4.0484444,   3,    +20.155909,     +0.064277,          0
               SHELLQsJ0923+0402,                 150,    +140.9463333,      +4.0484444,   4,    +19.897642,     +0.098165,          0
