# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
#
# Results of Query: Database VSERV1000v20190508 17/05/19 13:01
# SELECT qso.qsoName,qso.qsoID,qso.ra,qso.dec,aver.filterID,
# (aver.aperMag3+f.VegaToAB) as aperMag3AverAB,aver.aperMag3Err,
# aver.ppErrBits   /* Select basic QSO parameters and photometry 
# averaged over all   epochs. ppErrBits gives some quality control 
# information.  It is   safest to add an alias to each attribute to 
# avoid confusion. */ FROM finalQsoCatalogue as qso, 
# MapApertureIDshighzQsoMap as ma, vserv1000MapRemeasAver as aver, 
# Filter as f,   /* Select main tables for query, giving each an 
# appropriate alias   (e.g. as qso). MapApertureIDshighzQsoMap links 
# finalQsoCatalogue to   vserv1000MapRemeasAver */  (SELECT distinct 
# combiCatID FROM MapProvenance WHERE avSetupID=0) as mapAvSetup   /* 
# Create a temporary table in memory of only average catalogues that   
# are created with avSetupID=0, i.e.  averaged over all epochs. Using   
# distinct is very important since MapProvenance has multiple rows for  
#  each averaged catalogue */  WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=aver.apertureID and 
# aver.catalogueID=mapAvSetup.combiCatID and f.filterID=aver.filterID   
# /* Join all the tables correctly. finalQsoCatalogue is linked to   
# MapApertureIDshighzQsoMap with qsoID=objectID.  The apertureID in   
# MapApertureIDshighzQsoMap links to vserv1000MapRemeasurement or   
# vserv1000MapRemeasAver.  The temporary table gives the correct list   
# of combiCatIDs that constrain the catalogueID in   
# vserv1000MapRemeasAver. */ ORDER BY qso.qsoID,aver.filterID
# Column Headers at start of file AND below
#
# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                  SDSSJ0005-0006,                   2,      +1.4680833,      -0.1154999,   3,    +20.745958,     +0.130241,          0
                  SDSSJ0005-0006,                   2,      +1.4680833,      -0.1154999,   4,    +20.006762,     +0.085715,          0
                  SDSSJ0005-0006,                   2,      +1.4680833,      -0.1154999,   5,    +20.553790,     +0.171531,          0
            PSOJ002.1073-06.4345,                   3,      +2.1073900,      -6.4345600,   3,    +20.279005,     +0.030750,          0
            PSOJ002.1073-06.4345,                   3,      +2.1073900,      -6.4345600,   5,    +19.745455,     +0.066364,          0
                  SDSSJ0017-1000,                   6,      +4.3111666,     -10.0153972,   2,    +19.252670,     +0.022050,          0
                  SDSSJ0017-1000,                   6,      +4.3111666,     -10.0153972,   3,    +19.272457,     +0.034254,          0
                  SDSSJ0017-1000,                   6,      +4.3111666,     -10.0153972,   5,    +18.786060,     +0.051968,          0
            PSOJ004.3936+17.0862,                   7,      +4.3936135,     +17.0863045,   3,    +20.759413,     +0.080699,    4194304
            PSOJ004.3936+17.0862,                   7,      +4.3936135,     +17.0863045,   5,    +20.293894,     +0.091551,          0
            PSOJ004.8140-24.2991,                   8,      +4.8140800,     -24.2991600,   2,    +19.552162,     +0.035044,          0
            PSOJ004.8140-24.2991,                   8,      +4.8140800,     -24.2991600,   3,    +19.208150,     +0.036584,          0
            PSOJ004.8140-24.2991,                   8,      +4.8140800,     -24.2991600,   5,    +19.075754,     +0.072327,          0
                  VDESJ0020-3653,                   9,      +5.1311237,     -36.8949476,   3,    +20.437813,     +0.068346,          0
                  VDESJ0020-3653,                   9,      +5.1311237,     -36.8949476,   5,    +19.328130,     +0.077284,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   3,    +20.407223,     +0.102050,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   4,    +20.136818,     +0.126243,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   5,    +19.950514,     +0.105881,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   2,    +18.043766,     +0.014261,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   3,    +17.962362,     +0.013751,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   4,    +17.733809,     +0.019219,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   5,    +17.598175,     +0.017610,          0
                 CFHQSJ0033-0125,                  15,      +8.2975000,      -1.4235833,   3,    +21.421960,     +0.189515,          0
                 CFHQSJ0033-0125,                  15,      +8.2975000,      -1.4235833,   4,    +21.337751,     +0.264906,          0
                 CFHQSJ0033-0125,                  15,      +8.2975000,      -1.4235833,   5,    +20.795540,     +0.168865,          0
            PSOJ009.3573-08.1190,                  16,      +9.3573290,      -8.1190174,   2,    +20.151480,     +0.033294,          0
            PSOJ009.3573-08.1190,                  16,      +9.3573290,      -8.1190174,   3,    +19.900240,     +0.039503,          0
            PSOJ009.3573-08.1190,                  16,      +9.3573290,      -8.1190174,   5,    +19.813494,     +0.098493,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   3,    +19.652237,     +0.049141,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   4,    +19.406622,     +0.055732,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   5,    +19.497265,     +0.088034,          0
                 CFHQSJ0102-0218,                  23,     +15.7109990,      -2.3027499,   2, -9.999995E008, -9.999995E008,          0
                 CFHQSJ0102-0218,                  23,     +15.7109990,      -2.3027499,   3,    +21.663260,     +0.349543,          0
                 CFHQSJ0102-0218,                  23,     +15.7109990,      -2.3027499,   4,    +22.661642,     +1.240655,          0
                 CFHQSJ0102-0218,                  23,     +15.7109990,      -2.3027499,   5,    +22.520864,     +1.544651,          0
                  SDSSJ0108-0100,                  25,     +17.1248333,      -1.0043333,   3,    +21.831130,     +0.209245,          0
                  SDSSJ0108-0100,                  25,     +17.1248333,      -1.0043333,   4,    +21.212719,     +0.248805,          0
                  SDSSJ0108-0100,                  25,     +17.1248333,      -1.0043333,   5,    +21.650621,     +0.341440,          0
                   VIKJ0109-3047,                  26,     +17.4713790,     -30.7906420,   1,    +27.830534, -9.999995E008,          0
                   VIKJ0109-3047,                  26,     +17.4713790,     -30.7906420,   2,    +21.263763,     +0.099174,          0
                   VIKJ0109-3047,                  26,     +17.4713790,     -30.7906420,   3,    +21.293882,     +0.102752,          0
                   VIKJ0109-3047,                  26,     +17.4713790,     -30.7906420,   4,    +21.149988,     +0.139823,          0
                  SDSSJ0115+0015,                  28,     +18.9365833,      +0.2541388,   3,    +20.449200,     +0.037927,          0
                  SDSSJ0115+0015,                  28,     +18.9365833,      +0.2541388,   4,    +20.056793,     +0.061348,          0
                  SDSSJ0115+0015,                  28,     +18.9365833,      +0.2541388,   5,    +19.816593,     +0.042220,          0
                SDWISEJ0115-0253,                  29,     +18.9427916,      -2.8867333,   2,    +19.684803,     +0.037416,          0
                SDWISEJ0115-0253,                  29,     +18.9427916,      -2.8867333,   3,    +19.631842,     +0.037204,          0
                SDWISEJ0115-0253,                  29,     +18.9427916,      -2.8867333,   4,    +19.450964,     +0.048352,          0
                SDWISEJ0115-0253,                  29,     +18.9427916,      -2.8867333,   5,    +19.476042,     +0.064981,          0
                  SDSSJ0129-0028,                  32,     +22.2810000,      -0.4793055,   3,    +21.671158,     +0.119371,          0
                  SDSSJ0129-0028,                  32,     +22.2810000,      -0.4793055,   4,    +21.473757,     +0.204405,          0
                  SDSSJ0129-0028,                  32,     +22.2810000,      -0.4793055,   5,    +21.120924,     +0.143491,          0
                  SDSSJ0129-0035,                  33,     +22.4937910,      -0.5943611,   3,    +21.754510,     +0.128861,          0
                  SDSSJ0129-0035,                  33,     +22.4937910,      -0.5943611,   4,    +21.713223,     +0.256998,          0
                  SDSSJ0129-0035,                  33,     +22.4937910,      -0.5943611,   5,    +21.633379,     +0.230041,          0
                SDWISEJ0131-0321,                  34,     +22.8639166,      -3.3500527,   2,    +17.861168,     +0.010375,          0
                SDWISEJ0131-0321,                  34,     +22.8639166,      -3.3500527,   3,    +17.661875,     +0.008571,          0
                SDWISEJ0131-0321,                  34,     +22.8639166,      -3.3500527,   4,    +17.372368,     +0.009443,          0
                SDWISEJ0131-0321,                  34,     +22.8639166,      -3.3500527,   5,    +17.364481,     +0.015374,          0
            PSOJ023.0071-02.2675,                  35,     +23.0071000,      -2.2675300,   2,    +20.213655,     +0.112875,          0
            PSOJ023.0071-02.2675,                  35,     +23.0071000,      -2.2675300,   3,    +20.175459,     +0.118133,          0
            PSOJ023.0071-02.2675,                  35,     +23.0071000,      -2.2675300,   4,    +19.902296,     +0.169737,          0
            PSOJ023.0071-02.2675,                  35,     +23.0071000,      -2.2675300,   5,    +19.706625,     +0.140151,          0
                  SDSSJ0133+0106,                  36,     +23.3618333,      +1.1104722,   3,    +20.666742,     +0.056865,          0
                  SDSSJ0133+0106,                  36,     +23.3618333,      +1.1104722,   4,    +20.096188,     +0.065113,          0
                  SDSSJ0133+0106,                  36,     +23.3618333,      +1.1104722,   5,    +20.131910,     +0.067488,          0
          ATLASJ025.6821-33.4627,                  39,     +25.6821972,     -33.4626300,   1,    +19.525223,     +0.008029,          0
          ATLASJ025.6821-33.4627,                  39,     +25.6821972,     -33.4626300,   2,    +19.153515,     +0.010779,          0
          ATLASJ025.6821-33.4627,                  39,     +25.6821972,     -33.4626300,   3,    +19.117010,     +0.007404,          0
          ATLASJ025.6821-33.4627,                  39,     +25.6821972,     -33.4626300,   4,    +18.970362,     +0.019910,          0
          ATLASJ025.6821-33.4627,                  39,     +25.6821972,     -33.4626300,   5,    +18.763502,     +0.022233,          0
                  VDESJ0143-5545,                  40,     +25.7926667,     -55.7529667,   3,    +20.616804,     +0.058414,          0
