## Objects with >5.0 magnitude errors, across all five ZYJHK/Ks-bands


Z-band
# na  desig      ra        dec        redshift Z       errZ    Y       errY    J       errJ     H      errH     K       errK    unW1mag unW1err unW1snr unW2mag unW2err unW2snr w3mpro w3sig w3snr w4mpro w4sig w4snr
  SHELLQs J1417+0117        214.3694583  1.2867778   6.02     -999.99999 -999.99999 -999.99999 -999.99999 -999.99999 -999.99999 24.288553 5.571688  23.05891   2.204939   -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J1429-0104        217.2628333  -1.0787222  6.8      -999.99999 -999.99999 22.68734   0.82694    23.39225   1.787058   27.61784  102.44953 -999.99999 -999.99999 -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  PSO     J245.0636-00.1978 245.0636766  -0.19786005 5.68     -999.99999 -999.99999 20.7887    0.18245    20.7952    0.195115   24.5278   8.67996   21.2039    0.585903   18.1202 0.125   8.1927  -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J2201+0155        330.383625   1.9247222   6.16     -999.99999 -999.99999 24.98643   1.0683     25.307573  1.030311   24.050255 8.481997  -999.99999 -999.99999 -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  HSC     J2216-0016        334.1852917  -0.2805833  6.1      -999.99999 -999.99999 22.12994   0.51059    22.824768  0.12298    23.838448 5.319516  22.39026   0.105327   -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J2252+0225        343.0226667  2.4255278   6.12     -999.99999 -999.99999 22.39778   0.76596    -999.99999 -999.99999 24.221796 6.550653  -999.99999 -999.99999 -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 


Ks/K-band
# na      desig      ra          dec        redshift Z          errZ       Y          errY       J         errJ     H          errH       K         errK      unW1mag unW1err unW1snr unW2mag unW2err unW2snr w3mpro w3sig w3snr w4mpro w4sig w4snr
  SDSS    J0301+0020 45.3208749  0.34055556 5.5      -999.99999 -999.99999 -999.99999 -999.99999 22.9738   0.823641 -1.0E9     -1.0E9     24.7125   8.02265   -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J1422+0011 215.5009583 0.1841667  5.89     24.5896    0.87753    -999.99999 -999.99999 22.6579   0.511949 -999.99999 -999.99999 25.7726   10.3407   -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J2223+0326 335.789625  3.4389722  6.05     -999.99999 -999.99999 21.56012   0.3208     20.883804 0.228368 21.095701  0.548828   23.860237 5.785132  18.2904 0.1511  6.6953  16.9593 0.1799  5.5499  -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J2231-0035 337.9537083 -0.5965278 5.87     -999.99999 -999.99999 -999.99999 -999.99999 23.497517 0.415462 -999.99999 -999.99999 26.149826 17.003006 -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  CFHQS   J2242+0334 340.65645   3.5726666  5.88     -999.99999 -999.99999 22.59942   0.72877    21.72129  0.447459 22.446423  0.916993   24.012804 5.260868  -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 




