# qsoName,ra,dec,apertureID,aperJky3,aperJky3Err,sumWeight,ppErrBits,mjdObs,filterID,aperJky3,aperJky3Err,weight,ppErrBits,project
#
# Results of Query: Database WSERV1000v20180716 15/10/18 22:09
# SELECT qso.qsoName, qso.ra, qso.dec, aver.apertureID, aver.aperJky3, 
# aver.aperJky3Err, aver.sumWeight, aver.ppErrBits, m.mjdObs, 
# m.filterID, remeas.aperJky3, remeas.aperJky3Err, w.weight, 
# remeas.ppErrBits, m.project FROM finalQsoCatalogue as qso, 
# MapApertureIDshighzQsoMap as ma, wserv1000MapRemeasAver as aver, 
# wserv1000MapRemeasurement as remeas, MapProvenance as v, 
# wserv1000MapAverageWeights as w, MapFrameStatus as mfs, Multiframe as 
# m WHERE qso.qsoID=ma.objectID and ma.apertureID=aver.apertureID and 
# aver.apertureID=remeas.apertureID and aver.catalogueID=v.combicatID 
# and v.avSetupID=1 and v.catalogueID=remeas.catalogueID and 
# w.combicatID=v.combicatID and w.catalogueID=v.catalogueID and 
# w.apertureID=aver.apertureID and mfs.catalogueID=remeas.catalogueID 
# and m.multiframeID=mfs.multiframeID and mfs.programmeID=10999 and 
# mfs.mapID=1 order by v.combicatID, m.mjdObs
# Column Headers at start of file AND below
#
# qsoName,ra,dec,apertureID,aperJky3,aperJky3Err,sumWeight,ppErrBits,mjdObs,filterID,aperJky3,aperJky3Err,weight,ppErrBits,project
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5122430E004,   2,+3.375054E-008,+8.463072E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5122457E004,   2,+7.874544E-007,+7.740064E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5122481E004,   2,+1.149876E-007,+7.961432E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5122506E004,   2,+6.084787E-007,+8.746327E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5122530E004,   2,+2.933647E-007,+9.090038E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5122553E004,   2,+8.256904E-007,+9.567765E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5122575E004,   2,-2.317650E-006,+1.050620E-006,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123309E004,   2,+3.686650E-007,+1.075930E-006,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123332E004,   2,+7.142519E-007,+9.864361E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123359E004,   2,-9.206218E-007,+9.241890E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123385E004,   2,-1.450999E-006,+9.078709E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123408E004,   2,-6.644258E-007,+8.495566E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123433E004,   2,+2.895595E-007,+8.409942E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123456E004,   2,-1.460386E-006,+8.449504E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123485E004,   2,+9.494911E-007,+8.075926E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123508E004,   2,+3.065109E-007,+8.270660E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123534E004,   2,+1.606658E-007,+8.106105E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123557E004,   2,+1.385752E-006,+8.132456E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+3.041638E-007,+1.578142E-007,  +3400.000000,          0,  +5.5123579E004,   2,+1.196212E-006,+8.296054E-007,   +100.000000,          0,                                                        U/09B/J2
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,                  57,+9.885806E-007,+2.165025E-007,  +2400.000000,          0,  +5.5505278E004,   2,+1.588100E-006,+1.512066E-006,   +100.000000,          0,                                                        U/10B/J1
