  RA         Dec         redshift separ     unW1mag   unW1err unW1snr    w1mpro    w1sig  w1snr    unW2mag   unW2err unW2snr    w2mpro    w2sig  w2snr  w3mpro    w3sig   w3snr  w4mpro   w4sig   w4snr
 17.1248333  -1.0043333  5.110    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 17.4713790 -30.7906420  6.790    -9.99     17.9607   0.1096   9.4161    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 18.4739583   5.9975278  5.000    0.210     16.6853   0.0413  25.8086    16.758    0.09   12.1     16.1318   0.0938  11.0841    16.063    0.17    6.2   12.488    0.50    2.2    8.377    0.00    1.0  
 18.7296250  32.6378694  5.220    0.686     16.8459   0.0409  26.0447    16.803    0.09   12.8     16.1806   0.0847  12.3262    16.294    0.19    5.6   12.487    0.00    1.0    9.014    0.00    0.8  
 18.9365833   0.2541388  5.100    0.689     17.1683   0.0653  16.1402    17.235    0.15    7.0     16.6992   0.1574   6.4107    17.112    0.52    2.1   12.488    0.00   -0.8    8.528    0.00    0.2  
 18.9427917  -2.8867333  5.070    0.736     16.3670   0.0299  35.8620    16.421    0.08   13.9     15.8333   0.0703  14.9617    15.873    0.17    6.6   11.760    0.00    1.7    8.322    0.00    1.4  
 19.0595833   5.6382499  5.330    0.516     16.3537   0.0307  34.8490    16.369    0.07   15.7     15.6439   0.0607  17.4053    15.759    0.13    8.1   12.234    0.36    3.0    8.836    0.00    0.6  
 20.2247080  21.7850555  5.420    0.936     16.5474   0.0329  32.5121    16.630    0.09   12.8     15.9176   0.0716  14.6617    15.848    0.17    6.5   12.466    0.00    0.6    9.267    0.00   -0.1  
 21.4213377 -25.8822880  5.790    0.375     16.2233   0.0246  43.6749    16.212    0.06   17.9     15.5982   0.0528  20.0606    15.491    0.11    9.7   12.531    0.42    2.6    8.337    0.00    2.0  
 22.2810000  -0.4793055  5.010    -9.99     18.1338   0.1354   7.5267    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 22.4937910  -0.5943611  5.780    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 22.8639166  -3.3500527  5.180    0.060     14.5423   0.0071 152.6593    14.576    0.03   35.6     13.8866   0.0136  79.5241    13.843    0.04   30.1   11.446    0.17    6.2    8.492    0.00    1.9  
 23.0071000  -2.2675300  5.900    0.235     16.5678   0.0341  31.3608    16.500    0.07   15.6     15.4435   0.0478  22.2017    15.480    0.10   11.1   12.014    0.00    1.6    8.731    0.00    1.2  
 23.3618333   1.1104722  5.300    0.199     16.8501   0.0471  22.5594    16.904    0.11    9.8     15.8709   0.0756  13.8635    16.019    0.20    5.5   12.439    0.00    0.4    8.829    0.00    0.3  
 24.0132080   2.4349166  6.210    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 25.2376400 -11.6831900  5.850    0.374     16.7651   0.0408  26.0963    16.673    0.09   12.8     15.9010   0.0706  14.8805    15.924    0.15    7.4   12.260    0.43    2.5    8.483    0.00    1.8  
 25.6821972 -33.4626300  6.310    0.006     16.1295   0.0217  49.4378    16.118    0.05   20.9     15.3628   0.0403  26.4379    15.480    0.09   12.8   12.582    0.43    2.5    8.716    0.00    1.6  
 25.7926667 -55.7529667  6.250    0.682     17.0695   0.0404  26.3536    16.951    0.09   12.3     15.9281   0.0543  19.4965    15.733    0.10   10.5   12.269    0.00    1.5    9.177    0.00   -0.9  
 27.1568128   6.0055734  5.980    0.549     16.1075   0.0238  45.1130    16.104    0.06   18.6     15.3565   0.0462  23.0269    15.273    0.10   11.1   12.175    0.30    3.7    8.964    0.39    2.8  
 28.8886666   4.2518725  5.350    0.262     16.1298   0.0253  42.4290    16.334    0.07   15.4     15.2665   0.0432  24.6537    15.187    0.10   11.5   12.306    0.00    1.1    8.367    0.00    1.9  
 29.4393750  30.0196333  5.630    0.239     15.4420   0.0137  78.5532    15.451    0.04   27.1     14.6582   0.0255  42.1191    14.657    0.06   18.1   11.938    0.00    1.5    8.545    0.00    0.9  
 29.5172600 -29.0886800  5.990    0.224     16.2492   0.0257  41.6798    16.108    0.06   19.9     15.4980   0.0481  22.0779    15.239    0.08   13.5   12.011    0.29    3.8    8.506    0.00    1.7  
 29.9915479 -36.5657230  6.020    0.003     16.6077   0.0323  33.0647    16.696    0.08   13.7     15.9128   0.0645  16.3319    15.873    0.12    8.7   12.619    0.00    0.3    8.763    0.00    1.3  
 30.7425417  -2.8648889  6.030    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 30.8849155   0.2081304  5.720    0.295     16.5206   0.0342  31.2343    16.691    0.09   12.6     15.8785   0.0720  14.5933    16.019    0.19    5.8   12.319    0.40    2.7    9.065    0.00    0.2  
 31.4442916  -9.9232500  5.370    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 31.5466667  -2.9271667  6.030    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 32.0179583  -1.2095277  5.230    1.257     18.0072   0.1204   8.5237    17.444    0.16    7.0    -99.9990  -9.9900 -99.9990    16.885    0.37    2.9   12.852    0.00   -0.8    9.208    0.00   -1.0  
 32.5549580  -4.9391388  6.430    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 32.7361249   0.0513056  5.050    0.384     16.9146   0.0455  23.3466    16.910    0.10   11.1     16.0819   0.0833  12.5420    16.192    0.19    5.8   12.533    0.37    2.9    9.110    0.54    2.0  
 32.9355417  -2.0510833  6.370    -9.99     17.7414   0.0922  11.2853    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 33.3205833  -6.4375556  6.720    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 33.8469583  -5.4960556  5.130    -9.99     17.8436   0.1012  10.2318    -9.990   -9.99   -9.9     16.8759   0.1636   6.1474    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 34.1006666  23.0692972  5.260    0.223     16.4575   0.0334  32.0290    16.563    0.08   13.1     15.7109   0.0648  16.2647    15.727    0.15    7.0   11.683    0.00    1.9    8.631    0.00    1.3  
 34.1158750  -4.9261388  6.010    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 34.1618750 -52.4390556  6.410    1.570     17.5596   0.0583  18.1170    17.494    0.13    8.1    -99.9990  -9.9900 -99.9990    16.888    0.27    4.0   12.890    0.00   -0.1    8.716    0.00    1.4  
 34.3399583  -2.1479444  6.200    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 34.5878333  -0.4626946  5.110    0.119     17.5400   0.0820  12.7457    17.686    0.18    5.9     16.7926   0.1554   6.5003    16.447    0.25    4.4   12.214    0.00    1.6    8.718    0.00    1.0  
 35.1238333  -4.5344444  5.900    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 35.3013333  -3.7087778  5.020    -9.99     18.3848   0.1646   6.1109    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 35.3025416  -3.7145000  5.020    0.045     16.3099   0.0280  38.2857    16.375    0.06   17.4     15.7013   0.0606  17.4172    15.625    0.11    9.6   12.273    0.00    1.6    8.928    0.00    0.9  
