abcd count        RA           Dec   redshift  unW1_mag unW1_magerr    unW1_snr     unW2_mag unW2_magerr    unW2_snr
D,  53   30.74254166   -2.86488888   6.03     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
A,  54   30.88491549    0.20813044   5.72      16.52055     0.03422    31.23435     15.87852     0.07196    14.59335
D,  55   31.44429160   -9.92325000   5.37     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
D,  56   31.54666666   -2.92716666   6.03     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
B,  57   32.01795830   -1.20952770   5.23      18.00720     0.12044     8.52372    -99.99900    -9.99000   -99.99900
D,  58   32.55495800   -4.93913880   6.43     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
A,  59   32.73612490    0.05130560   5.05      16.91463     0.04554    23.34660     16.08188     0.08329    12.54196
B,  60   32.93554170   -2.05108330   6.37      17.74144     0.09218    11.28529    -99.99900    -9.99000   -99.99900
D,  61   33.32058330   -6.43755560   6.72     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
A,  62   33.84695830   -5.49605555   5.13      17.84359     0.10124    10.23176     16.87592     0.16364     6.14742
A,  63   34.10066660   23.06929720   5.26      16.45754     0.03338    32.02905     15.71092     0.06478    16.26474
D,  64   34.11587500   -4.92613880   6.01     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
B,  65   34.16187500  -52.43905560   6.41      17.55959     0.05833    18.11701    -99.99900    -9.99000   -99.99900
D,  66   34.33995833   -2.14794444   6.20     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
A,  67   34.58783330   -0.46269460   5.11      17.54004     0.08201    12.74571     16.79257     0.15536     6.50029
D,  68   35.12383330   -4.53444440   5.90     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
B,  69   35.30133330   -3.70877777   5.02      18.38481     0.16455     6.11086    -99.99900    -9.99000   -99.99900
A,  70   35.30254160   -3.71450000   5.02      16.30994     0.02799    38.28569     15.70134     0.06061    17.41716
A,  71   35.34462500   -8.04763880   6.16      18.04838     0.11838     8.68097     17.05356     0.18651     5.33562
A,  72   36.50780677    3.04983831   6.54      16.65740     0.03822    27.91299     16.18182     0.09296    11.18712
D,  73   36.93037500   -6.09172220   6.20     -99.99900    -9.99000   -99.99900    -99.99900    -9.99000   -99.99900
