#RA           Dec   redshift  unW1_mag unW1_magerr unW1_snr  w1mpro w1sigmpro  w1snr  
212.2974337 -15.9865717  5.830    17.8850   0.1163   8.8442    -9.990   -9.99   -9.9
212.7970333  12.2936897  5.900    16.4538   0.0297  36.0980    16.594    0.07   16.2
213.3629900 -22.5617370  5.920    16.7033   0.0412  25.8842    16.760    0.17    6.3
213.5181667  51.2599444  5.240    18.0061   0.0825  12.6603    18.111    0.21    5.1
213.6315417  57.5428055  5.160    18.0416   0.0874  11.9333    -9.990   -9.99   -9.9
213.6647500   1.5101389  5.940   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
213.6950833  54.7755000  5.420   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
213.7329225 -13.4803543  5.780    17.6369   0.0935  11.1210    17.164    0.13    8.1
214.0529583   0.2628333  6.030   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
214.2208750   1.7839444  6.070   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
214.3694583   1.2867778  6.020   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
214.9853750  55.8878333  5.000   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
215.1514300 -16.0417350  5.730    15.6551   0.0177  60.8806    -9.990   -9.99   -9.9
215.5009583   0.1841667  5.890   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
215.8580071  13.0501956  5.020    16.1041   0.0216  49.8075    15.977    0.05   21.9
215.8821250  -0.3025278  6.130   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
216.3180505  32.9026503  5.890   -99.9990  -9.9900 -99.9990    16.974    0.08   13.4
216.3238333  -0.2613611  6.180   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
216.8737083  35.3691611  5.530    17.4089   0.0579  18.2560    17.388    0.12    9.3
216.9107900  33.2116660  6.120    16.6792   0.0310  34.4874    16.817    0.08   14.4
217.0891328 -16.0453608  6.110    16.4216   0.0330  32.3726    -9.990   -9.99   -9.9
217.2628333  -1.0787222  6.800   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
217.2925833  -0.0353889  6.040   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
217.4082083  33.0711667  5.390    17.8865   0.0865  12.0564    17.877    0.19    5.8
217.4673700  54.7882490  6.180    17.3456   0.0467  22.7729    17.026    0.08   13.6
217.9185333  -7.4120745  6.140    17.2489   0.0651  16.1732    17.182    0.12    9.1
219.0208457  21.5442366  5.220    16.5218   0.0285  37.5860    16.420    0.06   18.7
219.0489157  50.1186544  5.850    17.1991   0.0431  24.6863    17.169    0.09   12.3
219.4659379  23.3870416  5.300    16.0479   0.0195  55.2421    15.886    0.04   25.2
219.4855833  51.8541944  5.170   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
220.0054167  -1.1172778  6.130   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
220.9611144  36.3875378  5.120    15.8479   0.0157  68.7455    15.897    0.04   26.6
225.1534990  28.2675083  5.550    16.4081   0.0246  43.6529    16.280    0.05   22.5
227.4240800 -17.8241110  6.120   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
227.6470542  51.8114154  5.060    16.2493   0.0187  57.4230    16.244    0.05   23.6
228.4151667   8.9018056  5.470    17.2783   0.0571  18.5037    17.280    0.13    8.4
228.6871163  21.2388264  5.920    17.1485   0.0512  20.6886    -9.990   -9.99   -9.9
230.7620833  59.2758444  5.110    16.3464   0.0217  49.5110    15.638    0.03   32.6
230.9404191  33.7999564  5.330    16.8001   0.0320  33.4193    16.699    0.06   17.9
231.0170833   8.2775833  5.080    17.4204   0.0672  15.6550    17.638    0.19    5.8
231.6576708 -20.8335167  6.590    16.9288   0.0544  19.4670    17.209    0.15    7.3
231.8035833   6.6894167  5.570    16.8471   0.0408  26.0870    16.700    0.08   13.5
233.7489897  13.4503941  5.040    16.0398   0.0201  53.6367    15.835    0.04   25.9
233.8869580  19.7222500  6.400    15.8841   0.0176  61.3219    15.923    0.05   23.0
235.9450668  17.0079059  5.820    16.9466   0.0430  24.7815    16.790    0.08   13.2
236.2734167  42.5365556  6.500   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
236.2912415  16.6088635  5.820    16.9635   0.0472  22.5224    -9.990   -9.99   -9.9
236.4670410  60.4733202  5.780    16.0143   0.0143  75.3162    16.007    0.04   29.7
237.5038750  43.3007778  5.840   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
238.8510335  -6.8976629  5.810    17.4807   0.0789  13.2696    -9.990   -9.99   -9.9
239.7124609  -7.4026641  6.110    16.2721   0.0292  36.6544    -9.990   -9.99   -9.9
239.7878750  22.2048417  6.070   -99.9990  -9.9900 -99.9990    17.137    0.10   10.3
240.2964999 -18.4764111  5.060    15.6060   0.0191  56.4051    15.647    0.05   20.3
240.7249088  42.4735952  6.090    16.0355   0.0165  65.2948    16.051    0.04   24.2
240.9544583  55.1756389  6.040   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
242.4052913  30.6966052  6.140    17.6418   0.0708  14.8421    17.518    0.14    7.7
242.4397100 -12.9816971  5.830    16.5690   0.0389  27.4003    16.297    0.07   14.7
242.5696654  41.2982715  5.000    16.5833   0.0255  42.0502    16.517    0.06   18.7
243.6047083  46.6747055  5.310    15.8192   0.0136  79.4143    15.868    0.04   29.4
243.6473330   1.2457750  5.780    16.8596   0.0416  25.6074    16.962    0.11   10.2
243.6960000  20.9841583  5.090    16.7513   0.0343  31.1906    16.661    0.08   14.4
245.0636766  -0.1978601  5.680    18.1202   0.1250   8.1927    -9.990   -9.99   -9.9
245.2538300  51.9302200  5.710    15.6551   0.0114  94.5409    15.654    0.03   33.8
245.8136666  47.0999722  5.130    15.5584   0.0112  96.2820    15.574    0.03   32.0
245.8825602  31.2001475  6.260    16.6612   0.0302  35.4219    16.523    0.07   16.8
246.6104203  27.8590266  5.160    14.9996   0.0086 126.0080    14.968    0.03   34.7
246.6216700  28.9826600  5.040    16.6243   0.0294  36.4436    15.871    0.00    1.9
247.2970667  24.1277056  6.480    16.6643   0.0306  34.9687    16.792    0.07   14.5
247.6412639  40.2026929  6.070    17.4598   0.0517  20.4865    17.493    0.12    8.8
250.3405347  37.9222629  6.050    17.9033   0.0752  13.9422    -9.990   -9.99   -9.9
252.6760830  16.2893055  5.520    16.1971   0.0230  46.6566    16.263    0.06   17.2
254.1477499  45.6870972  5.340    16.2511   0.0177  60.6552    16.223    0.28    3.9
254.7588333  27.1597750  5.310    15.9065   0.0169  63.6564    15.920    0.05   23.7
254.9626250  32.6579527  5.170    16.3205   0.0219  48.9791    16.419    0.06   18.1
261.0364292  19.0286444  6.440    17.6686   0.0778  13.4693    17.912    0.21    5.2
267.0021100  22.7812107  5.950   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
268.1837500  50.6091805  5.020    15.1005   0.0078 138.3717    15.130    0.03   36.1
293.0317650  71.6523355  6.080    16.9907   0.0311  34.4618    17.369    0.08   13.8
308.0416401 -21.2339750  6.240    16.4979   0.0374  28.5559    16.497    0.09   12.4
308.4829700 -27.6485000  5.800    16.8307   0.0490  21.6450    16.931    0.12    9.1
313.3407000   0.7852222  5.920    17.6131   0.0839  12.4496    -9.990   -9.99   -9.9
313.5270400  -0.0874444  6.040    17.1785   0.0576  18.3432    -9.990   -9.99   -9.9
315.2275800 -17.2562490  6.090    17.4392   0.0881  11.8348    -9.990   -9.99   -9.9
315.5800830 -14.9816666  6.650    17.7920   0.1157   8.8973    17.589    0.21    5.0
319.5530416  -0.0640833  5.460    17.7417   0.0982  10.5608    -9.990   -9.99   -9.9
319.6040300 -10.9326200  5.900    16.2378   0.0303  35.3580    16.142    0.07   15.3
319.8680000  10.4851667  5.180    17.0514   0.0493  21.5398    17.036    0.11   10.3
319.9662083  -0.6722500  5.870    18.2132   0.1439   7.0550    -9.990   -9.99   -9.9
320.8703300 -24.3604000  5.730    17.0875   0.0593  17.8012    17.151    0.15    7.3
322.7928750 -43.9840278  6.450    18.0016   0.1108   9.3071    -9.990   -9.99   -9.9
323.1382958  12.2986833  6.590    16.0365   0.0214  50.2868    16.356    0.07   15.9
325.6636250  -1.3334167  5.610    17.0639   0.0534  19.8349    16.884    0.11    9.5
326.9808700   1.1320277  5.810    18.0296   0.1218   8.4234    17.631    0.20    5.4
328.7339966  -9.5076274  5.920    17.7410   0.0987  10.5051    -9.990   -9.99   -9.9
330.2776249   3.0354750  5.060    15.9434   0.0205  52.4310    15.977    0.06   18.5
330.3836250   1.9247222  6.160   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
330.6115416  15.1645500  5.070    15.6372   0.0152  70.8756    15.735    0.05   23.0
330.6383333   1.5223056  5.230   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
331.0746667   1.1957778  5.940   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
331.6450417   2.0267500  5.100   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
331.7921666  -4.2823000  5.530    15.1450   0.0118  91.7830    15.122    0.04   28.2
332.6135000   3.0745833  6.900   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
332.6541250   2.7204722  5.200    17.8121   0.1022  10.1341    17.305    0.15    7.0
332.7525000 -63.3488333  6.880    18.2078   0.1221   8.3989    -9.990   -9.99   -9.9
332.8007083 -32.1035556  6.320   -99.9990  -9.9900 -99.9990    16.359    0.07   15.2
332.9208750   0.1885833  5.230    18.0645   0.1306   7.8200    -9.990   -9.99   -9.9
333.2145417  -0.7085278  5.420    17.1083   0.0574  18.4270    16.987    0.12    9.2
333.2719167   0.5688333  5.310   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
333.8342500  -0.1523333  5.280    18.3096   0.1612   6.2469    -9.990   -9.99   -9.9
333.9859789  26.1081684  6.030    17.4201   0.0673  15.6469    -9.990   -9.99   -9.9
334.1834167   0.2300278  5.010    17.0680   0.0546  19.3779    17.185    0.15    7.3
334.1852917  -0.2805833  6.100   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
334.8217500   1.0469167  6.160   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
335.0770400  -1.0296911  5.620    16.8892   0.0490  21.6695    -9.990   -9.99   -9.9
335.7896250   3.4389722  6.050    18.2904   0.1511   6.6953    -9.990   -9.99   -9.9
336.3099166   3.5034722  5.350    16.3554   0.0287  37.3841    16.501    0.08   13.4
336.5517083  -6.3020249  5.080    15.7082   0.0181  59.4489    15.636    0.05   21.9
337.1159583   1.4693056  6.010   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
337.1814100   1.1756111  5.950   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
337.1881250  -7.9653833  5.140    16.3598   0.0320  33.4201    16.167    0.07   16.7
337.1987917   1.8779167  6.080   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
337.2568700  14.9524990  6.150   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
337.9537083  -0.5965278  5.870   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
338.0501250   0.2106667  6.180   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
338.2297707  29.5089760  6.670    17.4989   0.0684  15.3680    17.813    0.21    5.1
338.3651666  -1.1178888  5.110   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
339.1857500   0.5491389  6.400   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
339.7091666  -0.4505000  5.170    18.0654   0.1332   7.6590    -9.990   -9.99   -9.9
339.7814999   0.5062777  5.090    17.8608   0.1111   9.2816    -9.990   -9.99   -9.9
339.9477917   2.1298611  6.260   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
340.2041700 -18.6621700  5.980    16.5530   0.0392  27.2299    16.562    0.09   11.9
340.6564500   3.5726666  5.880   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
341.3511249   0.4039444  5.160    18.1255   0.1447   7.0139    17.472    0.19    5.8
342.5083750 -50.2617083  6.000    16.2478   0.0242  44.2998    16.142    0.06   18.5
343.0226667   2.4255278  6.120   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
343.9085000   2.8573889  6.340    17.8215   0.1103   9.3547    17.334    0.17    6.3
346.0957083   0.7515000  6.360   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
346.8972900   0.5303888  5.870    17.2548   0.0631  16.7148    17.078    0.14    8.1
347.6620586  18.9222017  6.000    15.8754   0.0178  60.3955    15.797    0.04   24.1
348.0684999   1.0143055  5.080    18.0824   0.1341   7.6100    -9.990   -9.99   -9.9
348.9440400  -0.3994722  6.120    17.3354   0.0706  14.8852    17.560    0.20    5.3
349.4093750  22.7360083  5.500    16.1251   0.0220  48.9282    16.138    0.06   17.7
349.5000000 -31.2166667  6.510   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
349.5116600  -2.7761111  6.050    18.1761   0.1435   7.0766    -9.990   -9.99   -9.9
351.3093508  26.4799531  5.770    16.1378   0.0221  48.7409    16.193    0.06   17.5
351.4026667  -5.8911944  5.220    16.3232   0.0299  35.7881    16.337    0.07   15.4
352.2845000  -3.0329999  6.420    17.9737   0.1241   8.2579    -9.990   -9.99   -9.9
352.3102500  -4.0566944  5.900   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
352.4137500  30.0641055  5.240    16.1504   0.0217  49.4129    16.209    0.06   18.4
352.5362917   9.9621389  5.300    16.1972   0.0249  43.1977    15.923    0.06   18.5
353.7293749  -0.1728055  5.110    18.0026   0.1247   8.2194    -9.990   -9.99   -9.9
356.1395833  16.8879111  5.000    15.2594   0.0115  93.5241    15.224    0.04   26.4
357.1389000 -30.9028440  6.900    17.6947   0.0905  11.5056    17.673    0.17    6.3
357.8289911   6.4019219  5.810   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
357.8512917  -4.9853611  5.250    17.1013   0.0557  19.0051    17.206    0.16    6.9
359.1352149  -6.3831264  6.150    16.4896   0.0323  33.1173    16.557    0.10   10.9
359.2149100   0.3925833  6.000   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
359.6001667   6.5770555  5.320    16.3287   0.0296  36.1965    16.009    0.06   18.9
