#RA           Dec   redshift  unW1_mag unW1_magerr unW1_snr  w1mpro w1sigmpro  w1snr  
 56.7168500 -16.4769100  5.990    16.6386   0.0349  30.6365    16.800    0.09   12.2
 57.4974999   0.5676388  5.200    18.1237   0.1447   7.0153    -9.990   -9.99   -9.9
 58.4572136   1.0679614  6.070    16.8637   0.0474  22.4250    16.646    0.09   11.5
 60.5528945  24.8567857  6.180    16.5131   0.0361  29.5692    16.470    0.09   12.6
 62.0801250 -56.5413389  6.030    17.3748   0.0418  25.4682    17.734    0.12    9.3
 62.5134583 -44.2446389  6.210    17.3948   0.0499  21.2459    17.272    0.09   12.8
 62.8692910  -9.1305000  6.810    16.8247   0.0429  24.8148    16.780    0.09   11.5
 65.0472500 -44.8899444  6.070    17.3254   0.0452  23.5294    17.216    0.08   13.7
 65.4085370 -26.9543351  6.140    16.3072   0.0257  41.8207    16.314    0.06   17.6
 65.5041465 -19.4579685  6.120    16.0220   0.0210  51.1906    15.969    0.05   21.1
 69.9461660  16.5710277  6.510    13.9821   0.0051 212.3651    13.979    0.03   38.0
 71.0322143  -4.5591868  5.890    17.3541   0.0624  16.9150    -9.990   -9.99   -9.9
 71.4507500  -2.3332900  5.690    16.2425   0.0248  43.2436    16.246    0.06   19.3
 73.5074500 -44.8086400  6.090    17.1742   0.0396  26.8998    16.976    0.07   14.4
 75.9356600  -7.5061300  5.880    17.1667   0.0575  18.3772    16.998    0.12    9.5
 89.9394446 -15.5833895  6.050    15.5151   0.0141  76.7374    15.521    0.04   25.2
106.6099580  29.3515277  6.580    15.9408   0.0220  48.8152    15.927    0.06   18.8
108.4429416   8.9257369  5.920    16.0183   0.0231  46.4520    15.994    0.06   19.2
112.7630300  44.9970700  5.010    15.9182   0.0201  53.4560    15.824    0.05   22.3
115.4780000  25.3415694  5.190    14.7280   0.0086 125.4479    14.778    0.03   32.1
116.9549166  11.8979055  5.260    14.5937   0.0076 141.7307    14.641    0.03   35.4
119.0755812  41.0690592  5.060    16.8361   0.0447  23.8204    16.814    0.10   11.3
120.7725830  31.6428333  6.380    16.9738   0.0527  20.1150    17.344    0.16    6.9
122.7263086  51.0944730  5.820    16.8969   0.0442  24.0909    16.943    0.10   10.7
123.2034166   4.6823722  5.290    16.3326   0.0301  35.6341    16.306    0.07   15.5
124.6141845  17.3811127  6.020    15.6122   0.0170  63.2628    -9.990   -9.99   -9.9
126.2250634  13.0380490  5.150    16.5212   0.0367  29.0552    16.433    0.08   13.1
127.0558622  26.5654140  6.050    16.7144   0.0416  25.6121    -9.990   -9.99   -9.9
127.2817406   3.0657009  5.850    17.4249   0.0712  14.7599    17.371    0.17    6.5
127.3832080  41.2945555  6.770    17.2460   0.0609  17.3209    17.264    0.14    7.5
127.3879166  25.1126667  5.350    16.7066   0.0417  25.5520    16.753    0.10   10.6
128.3235833  27.4413889  5.020    17.1091   0.0581  18.2059    17.172    0.13    8.1
128.5036667   2.1963611  6.150   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
128.8573333  32.2979444  5.890    18.0212   0.1257   8.1457    -9.990   -9.99   -9.9
128.9765132   5.6314046  5.070    16.4048   0.0302  35.3899    -9.990   -9.99   -9.9
129.1827665   0.9147934  5.810    15.2677   0.0120  89.9035    15.303    0.04   26.8
129.4076660  49.4834444  6.710    17.2543   0.0611  17.2817    17.082    0.11    9.5
129.9453330  39.0031944  6.910    16.4210   0.0312  34.2581    16.641    0.09   12.5
129.9806500   0.2650583  5.840    17.6069   0.0866  12.0383    17.455    0.18    6.0
130.1462615  56.4056176  5.840    16.8173   0.0422  25.2109    16.757    0.14    8.0
130.3313231  29.0845966  5.980    17.1866   0.0650  16.2100    17.214    0.16    6.8
130.6226384  12.3140508  6.070    16.3351   0.0292  36.7263    16.223    0.07   16.3
131.0358750  -1.5379167  6.180   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
131.1316666  -0.8818333  6.250   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
131.6160038   8.0143655  5.000    16.9038   0.0471  22.5659    17.091    0.14    8.1
132.6173333  -5.1019167  5.360    17.4382   0.0761  13.7799    -9.990   -9.99   -9.9
132.7010255  32.7799831  5.870    16.7028   0.0386  27.6055    16.734    0.09   12.3
133.4535000   1.6530555  6.010   -99.9990  -9.9900 -99.9990    17.326    0.17    6.2
133.6265512  20.9474547  5.170    16.2390   0.0274  39.0956    16.210    0.07   15.4
134.4105416   0.9368611  6.350   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
134.5562917   0.0158611  5.990    18.3912   0.1672   6.0078    -9.990   -9.99   -9.9
134.7799583   0.3821944  6.390   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
135.3860431  16.2518985  5.630    17.6226   0.0938  11.0815    16.814    0.11   10.2
135.6906706   8.8544229  5.210    16.7495   0.0428  24.8876    16.324    0.07   15.4
135.7286250   1.9196944  6.010   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
135.8111666   2.1911944  5.920   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
135.8704568 -13.8336863  5.910    17.3588   0.0678  15.5158    -9.990   -9.99   -9.9
136.4360416   3.0163333  6.270   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
136.6281250  69.5085555  5.470    16.6990   0.0335  31.8952    16.690    0.08   14.3
137.3395833   4.6785833  6.150   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
137.5567910  16.9416111  6.720    17.5037   0.0821  12.7327    17.525    0.20    5.4
137.7272080  -4.2352222  6.630    16.8579   0.0433  24.5681    16.793    0.10   11.3
137.8094583   1.8720556  6.070   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
138.3189635  59.3226888  5.120    17.0770   0.0498  21.3165    -9.990   -9.99   -9.9
138.9318420  49.4046241  5.190    16.4674   0.0307  34.8542    16.409    0.07   16.2
139.4914907  38.5111550  5.110    17.5866   0.0782  13.3933    17.396    0.17    6.6
139.6382083   1.6564722  6.190   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
140.3356667   0.1230278  6.560    17.3891   0.0733  14.3107    16.523    0.09   12.7
140.5700563  26.8997376  5.050    17.0321   0.0522  20.3008    16.979    0.12    8.7
140.9032672  30.1637729  5.070    17.4799   0.0754  13.9035    -9.990   -9.99   -9.9
140.9463333   4.0484444  6.600    16.5313   0.0351  30.4439    16.360    0.07   14.7
141.8409198  20.0232334  5.770    16.9077   0.0491  21.6287    16.697    0.11    9.9
143.2073307  12.3682803  5.020   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
143.8471250  -2.1317778  5.320    16.8465   0.0461  23.0730    17.136    0.14    7.6
147.2306816  21.1087694  5.170    17.1137   0.0583  18.1177    17.050    0.13    8.2
149.2819880   6.1832069  5.140    16.0337   0.0226  47.5937    16.179    0.07   16.1
149.3008333  10.2718055  5.140    17.2231   0.0630  16.7483    16.971    0.12    8.9
149.3661115   5.3181323  5.180    16.8768   0.0467  22.7286    -9.990   -9.99   -9.9
149.4182917   0.8926667  6.050   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
149.5584510  35.4135633  5.120    16.6844   0.0360  29.6245    16.524    0.08   13.8
149.7837500   2.4520444  5.070   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
150.1823993  21.0574094  5.070    16.5737   0.0372  28.7173    16.590    0.09   11.9
150.2145833   2.5826333  5.300   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
151.0056667   2.6585278  6.410   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
151.5608750  -3.1751111  5.550    16.2870   0.0276  38.8146    16.200    0.06   17.7
153.4013916  42.6740006  5.030    17.2020   0.0527  20.1188    17.047    0.11    9.6
155.5079583   8.0228333  5.360    15.9562   0.0230  46.8102    15.461    0.05   22.9
155.5418621  22.8737350  5.470    15.8015   0.0179  60.1787    15.912    0.06   19.5
156.5984527  25.7165127  5.250    16.6887   0.0385  27.6792    16.675    0.10   10.9
157.1393988   7.7719322  5.150    16.8782   0.0477  22.2613    16.782    0.11    9.5
157.6129585   5.4152946  6.310    16.5129   0.0356  29.9808    16.577    0.09   12.1
157.9070364  -2.6599073  5.880    16.9497   0.0485  21.8707    16.840    0.11    9.9
158.5597083  57.3743611  5.400   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
