\fixlen = T
\RowsRetrieved = 111
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-02-14 14:45:17'
\DataTag = 'ADS/IRSA.Gator#2019/0214/144517_20667'
\DATABASE = 'NEOWISE-R Single Exposure (L1b) Source Table (neowiser_p1bs_psd)'
\EQUINOX = 'J2000'
\SKYAREA = 'within 2.5 arcsec of  ra=129.18277 dec=+0.91479 Eq J2000 '
\StatusFile = '/workspace/TMP_2cWt6P_27902/Gator/irsa/20667/log.20667.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (22 column names follow in next row.)'
\ 
\ 
\ ra (deg)
\ ___ right ascension (J2000)
\ dec (deg)
\ ___ declination (J2000)
\ w1mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 1
\ w1sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 1
\ w1snr
\ ___ instrumental profile-fit photometry S/N ratio, band 1
\ w2mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 2
\ w2sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 2
\ w2snr
\ ___ instrumental profile-fit photometry S/N ratio, band 2
\ cc_flags
\ ___ prioritized artifacts affecting the source in each band
\ ph_qual
\ ___ photometric quality of each band (A=highest, U=upper limit)
\ qual_frame
\ ___ quality score value for frame
\ mjd (mjdate)
\ ___ modified Julian date of the mid-point of the observation of the frame
\ w1mpro_allwise (mag)
\ ___ W1mpro magnitude  of the associated ALLWISE source
\ w1sigmpro_allwise (mag)
\ ___ W1 photometric uncertainty of the associated ALLWISE  source
\ w2mpro_allwise (mag)
\ ___ W2mpro magnitude  of the associated ALLWISE  source
\ w2sigmpro_allwise (mag)
\ ___ W2 photometric uncertainty of the associated ALLWISE  source
\ w3mpro_allwise (mag)
\ ___ W3mpro magnitude  of the associated ALLWISE  source
\ w3sigmpro_allwise (mag)
\ ___ W3 photometric uncertainty of the associated ALLWISE source
\ w4mpro_allwise (mag)
\ ___ W4mpro magnitude  of the associated ALLWISE  source
\ w4sigmpro_allwise (mag)
\ ___ W4 photometric uncertainty of the associated ALLWISE  source
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|ra         |dec      |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double   |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg      |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null     |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 129.1827702 0.9147709 15.287     0.123    8.8 14.452     0.262    4.1 0000     BB              10 57134.50850811         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.068796 179.400143 
 129.1827685 0.9148106 15.295     0.140    7.8 14.184     0.262    4.1 0000     BB              10 57329.00269194         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.074340 355.835856 
 129.1827976 0.9147623 15.136     0.154    7.1 14.272     0.287    3.8 0000     BB               5 58060.32192287         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.140749 135.107260 
 129.1827338 0.9148075 15.223     0.121    9.0 14.585     0.242    4.5 0000     BB              10 57135.09923104         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.144720 295.803165 
 129.1827289 0.9147950 15.169     0.115    9.5 14.653     0.362    3.0 0000     BC              10 57696.05661784         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.149029 276.937081 
 129.1827479 0.9147521 15.318     0.127    8.6 14.708     0.356    3.0 0000     BC              10 58059.99466432         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.157924 210.243859 
 129.1827309 0.9148210 15.144     0.104   10.5 14.092     0.173    6.3 0000     AB              10 56966.76379067         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.179614 308.412304 
 129.1827231 0.9147720 15.555     0.200    5.4 14.289     0.213    5.1 0000     BB              10 57134.24580927         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.180820 249.000989 
 129.1827577 0.9147407 15.083     0.102   10.6 14.207     0.206    5.3 0000     AB              10 57856.80337427         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.182924 194.007180 
 129.1828136 0.9148169 15.393     0.170    6.4 13.959     0.206    5.3 0000     BB              10 57331.56040981         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.184415  58.323292 
 129.1828176 0.9148194 15.624     0.260    4.2 14.133     0.265    4.1 0000     BB              10 57328.67466900         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.201384  58.295305 
 129.1827822 0.9147346 14.968     0.106   10.3 14.514     0.365    3.0 0000     AC              10 57328.54351075         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.204226 167.582278 
 129.1827129 0.9148015 15.258     0.110    9.8 14.256     0.162    6.7 0000     BB              10 57856.54143975         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.209658 281.388513 
 129.1827171 0.9147590 15.249     0.132    8.2 14.371     0.191    5.7 0000     BB              10 57134.57408733         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.220700 239.626028 
 129.1827145 0.9148218 15.257     0.123    8.8 14.328     0.224    4.8 0000     BB              10 58060.19101947         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.230252 299.814694 
 129.1827601 0.9148535 15.252     0.128    8.5 14.320     0.179    6.1 0000     BB              10 57857.06518148         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.231357 351.139721 
 129.1827744 0.9147253 15.350     0.177    6.1 15.087     0.526    2.1 0000     BC              10 58060.25647112         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.233451 176.110017 
 129.1828280 0.9148197 14.971     0.095   11.5 14.722      null    1.3 0000     AU              10 56776.28485038         15.303             0.040         14.416             0.052         12.571             0.533          9.006              null 0.234561  62.881459 
