#cntr_01 dist_x  pang_x     ra_01           dec_01           ra         dec        w3mpro w3sigmpro w3snr   w4mpro w4sigmpro w4snr   cc_flags  ph_qual det_bit
     390 1.227261 -179.663860 3.1955304160e+02 -6.4083300000e-02 319.5530396  -0.0644242 12.056      null    0.9  8.916      null   -0.2 0000     BUUU          1 
     395 1.192364  146.911919 3.2279287500e+02 -4.3984027800e+01 322.7931263 -43.9843053 12.598      null   -1.1  8.875      null    0.3 0000     CCUU          3 
     399 0.664427  -28.433003 3.2873399660e+02 -9.5076274000e+00 328.7339075  -9.5074651 12.113      null    0.8  8.490      null    1.2 0000     BUUU          1 
     415 1.036174  -87.026571 3.3398597890e+02  2.6108168370e+01 333.9856588  26.1081833 12.660      null   -0.7  9.105      null   -0.5 0000     UCUU          2 
     430 1.506459  -93.574451 3.3822977070e+02  2.9508975990e+01 338.2292908  29.5089499 12.293      null    0.6  9.126      null    0.3 0000     BUUU          1 
     433 0.690302  -79.756312 3.3970916660e+02 -4.5050000000e-01 339.7089779  -0.4504659 12.068      null    1.2  8.974      null   -0.2 0000     BUUU          1 
     436 0.482340  175.132354 3.4020417000e+02 -1.8662170000e+01 340.2041820 -18.6623035 12.310      null    0.3  8.651      null    0.5 0000     ABUU          3 
     444 0.490833 -140.075620 3.4766205860e+02  1.8922201660e+01 347.6619661  18.9220971 12.146     0.373    2.9  9.050      null    0.0 hh00     ABCU          7 
     447 0.067340   11.951628 3.4940937500e+02  2.2736008300e+01 349.4093792  22.7360266 11.896      null    1.7  8.574      null    0.2 0000     AAUU          3 
     450 0.082227  153.213855 3.5130935080e+02  2.6479953090e+01 351.3093623  26.4799327 12.635     0.519    2.1  8.986     0.449    2.4 0000     AACC         15 
     463 0.819173  154.075471 3.5960016666e+02  6.5770555500e+00 359.6002668   6.5768509 11.639      null    1.7  9.101      null   -0.5 0000     BBUU          3 
