# na        desig		ra             dec           redshift	Z	     errZ	  Y		errY	      J	            errJ	  H		errH	      K		    errK	  unW1mag   unW1err   unW1snr    unW2mag   unW2err   unW2snr	w3mpro   w3sig   w3snr   w4mpro   w4sig   w4snr  
  PSO       J089.9394-15.5833 	89.93944458   -15.5833895    6.05    	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    15.5151   0.0141    76.7374    14.5213   0.0204    52.6870    12.067   0.28    3.9   	 9.030    0.00    0.3 
  SDSS      J0810+5105         122.7263086     51.094473     5.82    	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    16.8969   0.0442    24.0909    16.1582   0.0845    12.3525    12.362   0.00    0.7     8.995    0.00    0.1   
  DELS      J0839+3900         129.945333      39.0031944    6.91	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    16.4210   0.0312    34.2581    15.6984   0.0609    17.3271    12.247   0.00    0.6    8.586    0.00    0.7  
  SDSS      J0917+3830         139.49149069    38.51115496   5.11  	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    17.5866   0.0782    13.3933    16.8581   0.1558    6.4795    	12.636   0.00    -0.4    8.788    0.00    -0.8  
  SDSS      J1208+2110         182.21944502 	21.17610232  5.06    	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    16.0732   0.0220    48.9259    15.4256   0.0458    23.1909    12.348    0.00    0.6    8.505    0.00    0.7  
  PSO       J187.3050+04.3243  187.3050336      4.32437446   5.89 	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9    
  SDSS      J1500+2816         225.153499      28.2675083    5.55   	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999 	  16.4081   0.0246    43.6529    15.6213   0.0443    24.0120    12.394   0.24    4.5     8.955    0.00    1.2      
  SDWISE    J1523+5916         230.7620833     59.2758444    5.11   	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999	  16.3464   0.0217    49.5110    15.3611   0.0296    36.2314    12.104   0.18    5.9     8.991    0.29    3.8     
  SDSS 	    J1534+1327         233.74898973    13.45039414   5.04  	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999 	  16.0398   0.0201    53.6367    15.3071   0.0377    28.3009    12.802   0.41    2.7     9.362    0.48    2.2    
  SDSS      J1610+4117         242.56966544    41.29827146   5.01 	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    16.5833   0.0255    42.0502    16.0677   0.0582    18.1461    12.634   0.00    1.6     9.455    0.00    0.8    
  CFHQS     J2229+1457         337.25687    	14.952499    6.15  	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    -99.9990  -9.99     -99.999	 -99.999   -9.99     -99.999    -9.99 	 -9.99   -9.9    -9.99	  -9.99   -9.9  
  SDSS      J2325+2628         351.3093508     26.47995309   5.77   	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    16.1378   0.0221    48.7409    15.4868   0.0454    23.4137    12.588   0.51    2.1   	 8.968    0.48    2.3
  SUV       J2358+0634         359.60016666    6.57705555    5.32 	-999.99999   -999.99999   -999.99999    -999.99999    -999.99999   -999.99999     -999.99999    -999.99999    -999.99999    -999.99999    16.3287   0.0296    36.1965    15.3755   0.0469    22.6356    12.113   0.38    2.9     9.113    0.00    0.0   
