#na desig		ra_hms	    dec_dms	   	  ra		 dec		redshift	
PSO J000.3401+26.8358	00:01:21.63 +26:50:09.17	  0.34011348	 26.83588138	5.75		
SDSS J0002+2550		00:02:39.39 +25:50:34.80	  0.66411726	 25.84304425	5.82		
SDSS J0005-0006		00:05:52.34 -00:06:55.80	  1.46808330	 -0.11549990	5.85		
PSO J002.1073-06.4345	00:08:25.77 -06:26:04.60	  2.10739000	 -6.43456000	5.93		
SDWISE J0008+3616	00:08:51.43 +36:16:13.49   	  2.2142917	 36.2704138	5.17   	
PSO J002.3786+32.8702	00:09:30.89 +32:52:12.94	  2.37870183	 32.87026179	6.10		
SDSS J0012+3632 	00:12:32.88 +36:32:16.10   	  3.136999   	 36.5378055	5.44
SDSS J0017-1000		00:17:14.68 -10:00:55.4		  4.3111666     -10.01539722	5.011	
PSO J004.3936+17.0862	00:17:34.47 +17:05:10.70	  4.39361347	 17.08630447	5.80		
PSO J004.8140-24.2991	00:19:15.38 -24:17:56.98	  4.81408000	-24.29916000	5.68   		
VDES J0020-3653		00:20:31.46 -36:53:41.8	 	  5.13112370    -36.89494760	6.90  	
SDSS J0023-0018		00:23:30.67 -00:18:36.4	  	  5.8777916	 -0.3101111	5.06	
PSO J006.1240+39.2219	00:24:29.77 +39:13:18.95	  6.12404166	 39.22193055	6.618	
SDWISE J0025-0145	00:25:26.84 -01:45:32.51   	  6.3618333 	 -1.7590306	5.07   	
PSO J007.0273+04.9571	00:28:06.56 +04:57:25.70   	  7.02733292	  4.95712319	6.001   
SDWISE J0031+0710	00:31:25.86 +07:10:36.92   	  7.85774999  	  7.1769222	5.33   	
CFHQS J0033-0125	00:33:11.40 -01:25:24.90	  8.29750000	 -1.42358330	6.13		
SDSS J0034+3759 	00:34:14.35 +37:59:54.00  	  8.559792   	 37.9983333	5.63
PSO J009.3573-08.1190	00:37:25.76 -08:07:08.46     	  9.35732902     -8.11901741	5.72		
DELS J0038-1527 	00:38:36.10 -15:27:23.6  	  9.650416  	-15.4565555	7.021
PSO J009.7355-10.4316	00:38:56.52 -10:25:53.90	  9.73550794    -10.43163860	6.004   	
PSO J011.3899+09.0325	00:45:33.57 +09:01:56.96	 11.38986666 	  9.03248889	6.42
PSO J0046-2837 		00:46:23.66 -28:37:47.44    	 11.5985917     -28.6298444	5.99	
CFHQS J0050+3445        00:50:06.67 +34:45:22.60     	 12.52777099	 34.75601483	6.253   	
PS1 J0052+4556		00:52:43.45 +45:56:32.03	 13.1810417      45.9422306 	5.31		
SDSS J0054-0109		00:54:21.42 -01:09:21.6	         13.5892499	 -1.1560000	5.09	
CFHQS J0055+0146        00:55:02.91 +01:46:18.30     	 13.76212500	  1.77175000	6.006   	
SDSS J0056+2241 	00:56:56.04 +22:41:12.16  	 14.233499   	 22.6867111	5.49
SDSS J0100+2802         01:00:13.03 +28:02:25.84     	 15.05426347	 28.04053195	6.3258  	
CFHQS J0102-0218        01:02:50.64 -02:18:09.90     	 15.71099900	 -2.30274990	5.950   	
SUVAW J0108+0711	01:08:06.60 +07:11:20.6	       	 17.0274999	  7.18905555	5.53	
SDSS J0108-0100		01:08:29.96 -01:00:15.6	         17.1248333	 -1.0043333	5.11	
VIK J0109-3047          01:09:53.13 -30:47:26.30	 17.47137900	-30.79064200	6.7909  	
SUVAW J0113+0559	01:13:53.75 +05:59:51.1	       	 18.4739583	  5.99752777	5.00	
SDSS J0114+3238 	01:14:55.11 +32:38:16.33  	 18.729625   	 32.6378694	5.22
SDSS J0115+0015		01:15:44.78 +00:15:14.9	         18.9365833	  0.2541388	5.10	
SDWISE J0115-0253	01:15:46.27 -02:53:12.24   	 18.94279165 	 -2.8867333	5.07   	
SDWISE J0116+0538	01:16:14.30 +05:38:17.70   	 19.0595833   	  5.6382499	5.33   	
SDSS J0120+2147 	01:20:53.93 +21:47:06.20  	 20.224708   	 21.7850555	5.42
PSO J021.4213-25.8822   01:25:41.12 -25:52:56.24	 21.42133775	-25.88228802	5.790   	
SDSS J0129-0028		01:29:07.44 -00:28:45.5	         22.2810000	 -0.4793055	5.01	
SDSS J0129-0035         01:29:58.51 -00:35:39.70	 22.49379100	 -0.59436110	5.7787  	
SDWISE J0131-0321	01:31:27.34 -03:21:00.19   	 22.8639166  	 -3.3500527	5.18   	
PSO J023.0071-02.2675   01:32:01.70 -02:16:03.11	 23.00710000     -2.26753000	5.90		
SDSS J0133+0106		01:33:26.84 +01:06:37.7	 	 23.3618333	  1.11047222	5.300	
CFHQS J0136+0226        01:36:03.17 +02:26:05.70	 24.01320800	  2.43491660	6.21		
PSO J025.2376-11.6831   01:40:57.03 -11:40:59.48	 25.23764000	-11.68319000	5.85		
ATLAS J025.6821-33.4627 01:42:43.70 -33:27:45.72	 25.68219720    -33.46263000	6.338		
VDES J0143-5545		01:43:10.24 -55:45:10.68	 25.79266666    -55.75296666	6.25   		
ULAS J0148+0600         01:48:37.64 +06:00:20.00	 27.15681283	  6.00557339	5.98	
OGLE J015531-752807 	01:55:31.01 -75:28:07.0          28.8792083     -75.4686111	5.09	
SDWISE J0155+0415	01:55:33.28 +04:15:06.74   	 28.8886666  	  4.2518725	5.37   	
SDSS J0157+3001 	01:57:45.45 +30:01:10.68  	 29.439375   	 30.0196333	5.63
PSO J029.5172-29.0886   01:58:04.14 -29:05:19.25	 29.51726000	-29.08868000	5.99   		
ATLAS J029.9915-36.5658 01:59:57.96 -36:33:56.88	 29.99154790	-36.56572300	6.02		
SHELLQs J0202-0251	02:02:58.21 -02:51:53.60	 30.74254166	 -2.86488888	6.03    
ULAS J0203+0012         02:03:32.38 +00:12:29.20	 30.88491549  	  0.20813044	5.72		
SDSS J0205-0955		02:05:46.63 -09:55:23.7	         31.4442916	 -9.92325000	5.37    
SHELLQs J0206-0255	02:06:11.20 -02:55:37.80	 31.54666666	 -2.92716666	6.03    
SDSS J0208-0112		02:08:04.31 -01:12:34.3	         32.0179583	 -1.2095277	5.23	
CFHQS J0210-0456        02:10:13.19 -04:56:20.90	 32.55495800	 -4.93913880	6.4323  	
SDSS J0210+0003		02:10:56.67 +00:03:04.7	         32.7361249	  0.0513056	5.05	
SHELLQs J0211-0203 	02:11:44.53 -02:03:03.9		 32.9355417      -2.0510833	6.37 	
SHELLQs J0213-0626	02:13:16.94 -06:26:15.2		 33.3205833      -6.4375556	6.72 	
MMT J0215-0529		02:15:23.27 -05:29:45.8	         33.8469583	 -5.49605555	5.13	
SDWISE J0216+2304	02:16:24.16 +23:04:09.47   	 34.1006666   	 23.0692972	5.26   	
CFHQS J0216-0455       	02:16:27.81 -04:55:34.10	 34.11587500	 -4.92613880	6.010
VDES J0216-5226		02:16:38.85 -52:26:20.6	    	 34.1618750     -52.4390556 	6.41
SHELLQs J0217-0208	02:17:21.59 -02:08:52.60	 34.33995833	 -2.14794444	6.20    
SDSS J0218-0027		02:18:21.08 -00:27:45.7	         34.5878333	 -0.46269460	5.11	
SHELLQs J0220-0432 	02:20:29.72 -04:32:04.0		 35.1238333      -4.5344444 	5.90 	
MMT J0221-0342A		02:21:12.32 -03:42:31.6	         35.3013333	 -3.70877777	5.02	
SDSS J0221-0342B	02:21:12.62 -03:42:52.3	         35.3025416	 -3.71450000	5.02   	
CFHQS J0221-0802        02:21:22.71 -08:02:51.50	 35.34462500	 -8.04763880	6.161   
VDES J0224-4711		02:44:26.54 -47:11:29.40	 36.11057000    -47.19149000	6.50	
PSO J036.5078+03.0498   02:26:01.88 +03:02:59.40	 36.50780677      3.04983831	6.5412  
CFHQS J0227-0605        02:27:43.29 -06:05:30.20	 36.93037500     -6.09172220	6.200   
SDSS J0230+0046		02:30:02.27 +00:46:46.8		 37.5094583	  0.77966666	5.410	
SDSS J0231-0728		02:31:37.64 -07:28:54.4	         37.9068333	 -7.48177777	5.37	
PSO J037.9706-28.8389   02:31:52.95 -28:50:20.10	 37.97065700    -28.83891100	6.000   
SHELLQs J0235-0532	02:35:42.42 -05:32:41.60	 38.92675000     -5.54488889	6.09    
SDSS J0239-0045         02:39:30.24 -00:45:05.40	 39.87600000     -0.75149990	5.820   
PSO J040.0159+17.5458   02:40:03.82 +17:32:44.91	 40.01591406     17.54580925	5.6800  
SDWISE J0241+0435	02:41:52.92 +04:35:53.46   	 40.4705   	  4.5981833	5.22   	
VDES J0244-5008		02:44:00.00 -50:08:00.00 	 41.00000000    -50.13333333	6.74
VDES J0246-5219 	02:46:55.90 -52:19:49.9 	 41.7329167     -52.3305278	6.87		
PSO J042.6690-02.9174   02:50:40.58 -02:55:02.82  	 42.66909000     -2.91745000	5.890	
SDWISE J0251+0333	02:51:21.33 +03:33:17.42   	 42.8388749  	  3.5548388	5.00
VDES J0252-0503		02:52:16.64 -05:03:31.8		 43.0693333      -5.0588333	7.02
PSO J045.1840-22.5408   03:00:44.18 -22:32:27.20	 45.1840820     -22.54088500	5.680  	
SDSS J0301+0020		03:01:17.01 +00:20:26.0		 45.3208749	  0.34055556	5.500	
SDSS J0303-0019         03:03:31.40 -00:19:12.90 	 45.8808330      -0.32024990	6.078  	
VIK J0305-3150          03:05:16.92 -31:50:56.00 	 46.3204830     -31.84886100	6.6145  
SDWISE J0306+1853	03:06:42.51 +18:53:15.85   	 46.6771250 	 18.8877361	5.36   	
CFHQS J0316-1340        03:16:49.87 -13:40:32.30 	 49.20779100    -13.6756380	5.990	
PSO J049.2934-26.5543   03:17:10.42 -26:33:15.71 	 49.29342829    -26.5543637	5.940
VDES J0319-1008		03:19:41.66 -10:08:46.0		 49.9235833     -10.1461111	6.83	
SDSS J0321+0029		03:21:55.07 +00:29:41.4	         50.4794583 	  0.4948335	5.04	
VDES J0323-4701		03:23:40.34 -47:01:20.13	 50.91808333    -47.02225833	6.25    
VIK J0328-3253          03:28:35.51 -32:53:22.92	 52.14794200    -32.88967800	5.860   
VDES J0330-4025		03:30:27.92 -40:25:16.40	 52.61633333    -40.42122222	6.25    
PS1 J0332+1811		03:32:36.98 +18:11:59.28         53.1540833      18.1998000 	5.12	
PSO J053.9605-15.7956   03:35:50.53 -15:47:44.50 	 53.96052436    -15.79569428	5.870   
SDSS J0338+0021		03:38:29.31 +00:21:56.3	         54.6221249	  0.3656388	5.03	
SDSS J0341-0048		03:41:41.85 -00:48:12.7		 55.4243750	 -0.80354444	5.680	
PSO J056.7168-16.4769   03:46:52.04 -16:28:36.88	 56.7168500     -16.47691000	5.990   
SDSS J0349+0034		03:49:59.40 +00:34:03.5	         57.4974999 	  0.5676388	5.20	
SDSS J0353+0104         03:53:49.72 +01:04:04.40	 58.45721356      1.06796142	6.072   
PSO J060.5529+24.8567   04:02:12.69 +24:51:24.43	 60.55289450     24.85678567	6.180   
VDES J0408-5632		04:08:19.23 -56:32:28.82	 62.08012500    -56.54133888	6.03    
VDES J0410-4414		04:10:03.23 -44:14:40.70	 62.51345833    -44.24463888	6.21	
DELS J0411-0907 	04:11:28.63 -09:07:49.8  	 62.869291  	 -9.1305000	6.81
VDES J0420-4453		04:20:11.34 -44:53:23.80	 65.04725000    -44.88994444	6.07    
PSO J065.4085-26.9543   04:21:38.05 -26:57:15.61	 65.40853700    -26.95433511	6.188   
PSO J065.5041-19.4579   04:22:01.00 -19:27:28.69	 65.50414653    -19.45796853	6.125   
UHS J0439+1634 		04:39:47.08 +16:34:15.7   	 69.946166  	 16.5710277	6.51
PSO J071.0322-04.5591   04:44:07.73 -04:33:33.07	 71.03221433     -4.55918682	5.890   
PSO J071.4507-02.3332   04:45:48.18 -02:19:59.84	 71.45075000     -2.33329000	5.690   
VDES J0454-4448         04:54:01.79 -44:48:31.10	 73.50745000    -44.80864000	6.058   
PSO J075.9356-07.5061   05:03:44.56 -07:30:22.07	 75.93566000     -7.50613000	5.880   
PS1 J0511-0754		05:11:54.73 -07:54:44.30 	 77.9780417      -7.9123056     5.13	
PSO J089.9394-15.5833   05:59:45.47 -15:35:00.20 	 89.93944458    -15.58338950	6.050   
PS1 J0616-1338		06:16:24.38 -13:38:06.40	 94.1015833     -13.6351111     5.58	
DELS J0706+2921 	07:06:26.39 +29:21:05.5 	106.609958   	 29.3515277	6.58
PSO J108.4429+08.9257   07:13:46.31 +08:55:32.65	108.44294160	  8.92573692	5.920   
SDSS J0731+4459		07:31:03.12 +44:59:49.4		112.76303	  44.99707	5.01	
SDSS J0741+2520		07:41:54.72 +25:20:29.6	        115.4780000	 25.34156944	5.194	
SDWISE J0747+1153	07:47:49.18 +11:53:52.46   	116.9549166  	 11.8979055	5.26   	
SDSS J0756+4104		07:56:18.13 +41:04:08.6	        119.0755812	 41.06905919	5.06	
PS1 J0757-0002		07:57:45.90 -00:02:01.09 	119.4412500      -0.0336361 	5.54	
