qsoName,ra,dec,Z,Y,J,H,K,errZ,errY,errJ,errH,errK
                    RDJ1148+5253,   177.0675400,    52.8942500,  -999.9999900,    21.4560200, -9.999995E008,    22.9064540,    22.1931250	-999.9999900,     0.3143300, -9.999995E008,     1.8469440,     1.1250850
                   HSCJ0859+0022,   134.7799583,     0.3821944,  -999.9999900,    22.6908600,    23.6009850,    23.1142060,    21.3376700	-999.9999900,     0.7678950,     1.5142450,     1.3264590,     0.3900850
                   HSCJ1202-0057,   180.6932083,    -0.9504722,  -999.9999900,    22.5387550,    22.8309250, -9.999995E008, -9.999995E008	-999.9999900,     0.9079890,     0.9869240, -9.999995E008, -9.999995E008
                   HSCJ1205-0000,   181.2712417,    -0.0077694,  -999.9999900,    22.2664530,    21.5420440,    20.5748230,    21.0638430	-999.9999900,     0.2384490,     0.2744250,     0.2081110,     0.0829380
                   HSCJ1207-0005,   181.9755833,    -0.0981389,  -999.9999900,    23.4173900, -9.999995E008,    21.3487150,    21.8293380	-999.9999900,     1.8536410, -9.999995E008,     0.3085500,     0.6101520
                   HSCJ2216-0016,   334.1852917,    -0.2805833,  -999.9999900,    22.1299380,    22.8247680,    23.8384480,    22.3902600	-999.9999900,     0.5105850,     0.1229800,     5.3195160,     0.1053270
                   HSCJ2228+0128,   337.1159583,     1.4693056,  -999.9999900,    22.8384570, -9.999995E008,    21.9137460, -9.999995E008	-999.9999900,     0.9440150, -9.999995E008,     0.9621110, -9.999995E008
                   HSCJ2232+0012,   338.0501250,     0.2106667,  -999.9999900,    22.6605830,    22.6523510,    23.1941220, -9.999995E008	-999.9999900,     0.9838020,     1.4390030,     3.3694060, -9.999995E008
                   HSCJ2236+0032,   339.1857500,     0.5491389,  -999.9999900, -9.999995E008,    21.8394890, -9.999995E008,    21.7407550	-999.9999900, -9.999995E008,     0.5839840, -9.999995E008,     0.7267010
                   IMSJ0850-0506,   132.6173333,    -5.1019167,  -999.9999900,    21.7884460,    22.4202560,  -999.9999900,  -999.9999900	-999.9999900,     0.0595630,     0.2007790,  -999.9999900,  -999.9999900
                   IMSJ1401+5143,   210.4581667,    51.7195278,  -999.9999900,    23.5546360,    22.7761020,  -999.9999900,  -999.9999900	-999.9999900,     0.2406700,     0.1926370,  -999.9999900,  -999.9999900
                   IMSJ2204+0012,   331.0746667,     1.1957778,  -999.9999900, -9.999995E008,    22.4546950,    21.6812740,    21.9349650	-999.9999900, -9.999995E008,     0.1094770,     0.5456950,     0.8092490
                   IMSJ2210+0243,   332.6541250,     2.7204722,  -999.9999900,    20.9374920,    20.8559000,    20.5118870,    21.1959300	-999.9999900,     0.0319060,     0.0283150,     0.2401450,     0.4415780
                   MMTJ0215-0529,    33.8469583,    -5.4960556,  -999.9999900,    20.8030190,    20.7285560,  -999.9999900,  -999.9999900	-999.9999900,     0.0302330,     0.0234320,  -999.9999900,  -999.9999900
                   MMTJ1357+5305,   209.4472500,    53.0951389,  -999.9999900,    20.7204820,    20.7423250,  -999.9999900,  -999.9999900	-999.9999900,     0.0223580,     0.0202330,  -999.9999900,  -999.9999900
                   MMTJ1408+5300,   212.0955000,    53.0058056,  -999.9999900,  -999.9999900,    21.1690750,  -999.9999900,    20.6766830	-999.9999900,  -999.9999900,     0.0509750,  -999.9999900,     0.0770340
                   MMTJ1414+5115,   213.5181667,    51.2599444,  -999.9999900,  -999.9999900,    21.8307740,  -999.9999900,  -999.9999900	-999.9999900,  -999.9999900,     0.6665020,  -999.9999900,  -999.9999900
                   MMTJ1414+5446,   213.6950833,    54.7755000,  -999.9999900,    22.5526180,    23.4920540,  -999.9999900,    23.3335970	-999.9999900,     0.2160460,     0.4901580,  -999.9999900,     0.9765470
                   MMTJ1414+5732,   213.6315417,    57.5428056,  -999.9999900,    21.3830500,    21.2467000,    20.6817760,    21.8613700	-999.9999900,     0.0845860,     0.0982080,     0.2415020,     0.4567230
                   MMTJ1419+5553,   214.9853750,    55.8878333,  -999.9999900,    23.3054920,    21.6087950,  -999.9999900,  -999.9999900	-999.9999900,     0.4129660,     0.1021550,  -999.9999900,  -999.9999900
                   MMTJ1437+5151,   219.4855833,    51.8541944,  -999.9999900,    22.3255700,    22.1949330,  -999.9999900,  -999.9999900	-999.9999900,     0.1489020,     0.1311350,  -999.9999900,  -999.9999900
                   MMTJ2202+0131,   330.6383333,     1.5223056,  -999.9999900,    22.1444230,    22.0232200,    20.5495660,    20.7966880	-999.9999900,     0.0581940,     0.0514530,     0.3069780,     0.3301870
                   MMTJ2213+0034,   333.2719167,     0.5688333,  -999.9999900,    22.3467700,    22.1092740,    21.9140240,    21.8775750	-999.9999900,     0.5953140,     0.0523100,     0.0740750,     0.0675720
                   MMTJ2215-0009,   333.8342500,    -0.1523333,  -999.9999900,    21.4796330,    21.6172770,    21.2749400,    21.1285930	-999.9999900,     0.2823270,     0.0303110,     0.0449030,     0.0285780
