# na    desig            ra_hms      dec_dms      ra           dec         redshift
  SUHAW J1016+2541       10:16:37.71 +25:41:31.9  154.157125   25.6921944  5.64    
  SDSS  J1050+5804       10:50:36.46 +58:04:24.6  162.65194802 58.07352357 5.155   
  PSO   J352.4034-15.337 23:29:36.84 -15:20:14.46 352.403485   -15.33735   5.84    
  PS1   J0052+4556       00:52:43.45 +45:56:32.03 13.1810417   45.9422306  5.31    
  PS1   J0332+1811       03:32:36.98 +18:11:59.28 53.1540833   18.1998     5.12    
  PS1   J0511-0754       05:11:54.73 -07:54:44.30 77.9780417   -7.9123056  5.13    
  PS1   J0616-1338       06:16:24.38 -13:38:06.40 94.1015833   -13.6351111 5.58    
  PS1   J0757-0002       07:57:45.90 -00:02:01.09 119.44125    -0.0336361  5.54    
  PS1   J0817-1633       08:17:00.66 -16:33:29.29 124.25275    -16.5581361 5.06    
  PS1   J1034-1233       10:34:36.86 -12:33:42.49 158.6535833  -12.5618028 5.51    
  PS1   J1057-1758       10:57:27.60 -17:58:31.70 164.365      -17.9754722 5.34    
  PS1   J1121-0718       11:21:43.65 -07:18:39.69 170.431875   -7.311025   5.71    
  PS1   J1137-1049       11:37:35.37 -10:49:34.54 174.397375   -10.8262611 5.5     
  PS1   J1310-0639       13:10:13.11 -06:39:51.56 197.554625   -6.6643222  5.06    
  PS1   J1313-2617       13:13:26.06 -26:17:21.83 198.3585833  -26.2893972 5.54    
  PS1   J1427-0503       14:27:21.56 -05:03:53.04 216.8398333  -5.0647333  5.08    
  PS1   J1533-1810       15:33:59.76 -18:10:27.21 233.499      -18.174225  5.03    
  PS1   J2033+1218       20:33:10.47 +12:18:51.49 308.293625   12.3143028  5.11    
  OGLE  J015531-752807   01:55:31.01 -75:28:07.0  28.8792083   -75.4686111 5.09    
  TN    J0929-2201       09:24:19.92 +22:01.41.5  141.083      22.0281944  5.19    
  XMM   J125329+30       12:53:29.4  +30:55:39    193.372546   30.92761967 5.08    
  SDSS  J141912.03+53    14:19:12.03 +53:40:39.2  214.800131   53.6775646  5.38    
  TGSS  J1530+1049       15:30:49.9  +10:49:31.1  232.7079167  10.8253056  5.72    
