na desig ra dec redshift secl mag M1450 Jband errJband
VIK J0328-3253             52.1479420000 -32.889678000000 5.8600 3 20.05 -26.66  19.98  0.03  
PSO J053.9605-15.7956      53.9605243600 -15.795694280000 5.8700 4 20.47 -26.25  99.99  9.99              
PSO J055.4244-00.8035      55.4244040000  -0.803540130000 5.6800 4 20.29 -26.37  20.10  0.11  
PSO J056.7168-16.4769      56.7168500000 -16.476910000000 5.9900 4 20.03 -26.72  20.25  0.10  
SDSS J0353+0104            58.4572135600   1.067961421000 6.0720 2 20.34 -26.43  20.38  0.11  
PSO J060.5529+24.8567      60.5528945000  24.856785670000 6.1800 4 19.85 -26.95  19.71  0.05  
PSO J065.4085-26.9543      65.4085370000 -26.954335110000 6.1400 4 19.53 -27.25  19.32  0.06  
PSO J065.5041-19.4579      65.5041465300 -19.457968530000 6.1200 4 20.16 -26.62  19.90  0.15  
PSO J071.0322-04.5591      71.0322143300  -4.559186822000 5.8900 4 20.12 -26.60  20.27  0.07  
PSO J071.4507-02.3332      71.4507500000  -2.333290000000 5.6900 4 19.13 -27.53  19.02  0.03  
DES J0454-4448             73.5074500000 -44.808640000000 6.0900 4 20.30 -26.47  20.24  0.07  
PSO J075.9356-07.5061      75.9356600000  -7.506130000000 5.8800 4 20.10 -26.62  20.52  0.12  
PSO J089.9394-15.5833      89.9394445800 -15.583389500000 6.0500 4 19.83 -26.93  19.17  0.04  
PSO J108.4429+08.9257     108.4429416000   8.925736919000 5.9200 4 19.14 -27.59  19.29  0.06  
SDSS J0810+5105           122.7263086000  51.094473000000 5.8200 4 19.88 -26.82  99.99  9.99              
SDSS J0818+1722           124.6141845000  17.381112710000 6.0200 3 19.24 -27.52  19.48  0.05  
ULAS J0828+2633           127.0558622000  26.565414030000 6.0500 3 20.40 -26.37  20.41  0.13  
PSO J127.2817+03.0657     127.2817406000   3.065700927000 5.8500 4 20.68 -26.03  20.80  0.21  
SDSS J0836+0054           129.1827665000   0.914793398700 5.8100 2 18.95 -27.75  18.64  0.03  
VIK J0839+0015            129.9806500000   0.265058300000 5.8400 4 21.34 -25.37  20.89  0.11  
SDSS J0840+5624           130.1462615000  56.405617560000 5.8441 1 19.46 -27.24  19.94  0.10  
SDSS J0841+2905           130.3313231000  29.084596570000 5.9800 3 20.24 -26.50  20.02  0.09  
SDSS J0842+1218           130.6226384000  12.314050850000 6.0690 2 19.86 -26.91  19.78  0.03
SDSS J0850+3246           132.7010255000  32.779983100000 5.8700 4 19.98 -26.73  19.69  0.08  
HSC J0859+0022            134.7799583000   0.382194444400 6.3900 3 23.23 -23.62  22.32 -1.00  
PSO J135.3860+16.2518     135.3860431000  16.251898540000 5.6300 4 20.74 -25.91  20.30  0.12  
PSO J135.8704-13.8336     135.8704568000 -13.833686260000 5.9100 4 20.86 -25.86  20.80  0.14  
SDSS J0927+2001           141.8409198000  20.023233410000 5.7722 1 19.93 -26.76  19.95  0.10  
SDSS J1030+0524           157.6129585000   5.415294561000 6.3080 2 19.84 -26.99  19.79  0.08  
PSO J157.9070-02.6599     157.9070364000  -2.659907312000 5.8800 4 20.28 -26.44  20.20  0.10  
PSO J159.2257-02.5438     159.2257910000  -2.543873430000 6.3800 4 20.05 -26.80  20.00  0.10  
SDSS J1044-0125           161.1376700000  -1.417277700000 5.7847 1 19.31 -27.38  19.25  0.05  
SDSS J1048+4637           162.1877710000  46.621818370000 6.2284 1 19.56 -27.24  19.31  0.05  
CFHQS J1059-0906          164.8692000000  -9.105666600000 5.9200 4 20.86 -25.87  20.79  0.07  
PSO J167.4726+56.9521     167.4726271000  56.952114290000 5.9500 4 20.74 -26.00  20.31  0.14  
PSO J167.6415-13.4960     167.6415660000 -13.495999500000 6.5080 2 21.25 -25.62  21.21  0.09  
ULAS J1120+0641           170.0061600000   6.690083300000 7.0842 1 20.38 -26.63  20.36  0.05  
PSO J172.1770+26.8866     172.1770011000  26.886665370000 5.7700 4 20.78 -25.91  20.44  0.14  
SDSS J1137+3549           174.3238678000  35.832458580000 6.0300 3 19.40 -27.36  19.35  0.05  
PSO J174.7920-12.2845     174.7920407000 -12.284549210000 5.8100 4 20.20 -26.49  20.34  0.19  
PSO J175.4091-20.2654     175.4091843000 -20.265457980000 5.6900 4 20.35 -26.32  19.96  0.13  
SDSS J1143+3808           175.9097797000  38.141339780000 5.8000 4 20.01 -26.69  19.95  0.14  
ULAS J1148+0702           177.0137037000   7.035634905000 6.3200 3 20.35 -26.48  20.30  0.11  
RD J1148+5253             177.0675400000  52.894250000000 5.7000 4 22.47 -24.20  22.39  0.06  
SDSS J1148+5251           177.0693757000  52.863998580000 6.4189 1 19.24 -27.62  19.19  0.05  
VIK J1148+0056            177.1382500000   0.945072200000 5.8400 3 21.86 -24.84  21.79  0.10  
VIK J1152+0055            178.0886300000   0.926858330000 6.3700 4 21.71 -25.13  21.66  0.22
PSO J178.5594-12.1881     178.5594134000 -12.188189260000 5.8300 4 20.60 -26.10  20.78  0.09  
HSC J1202-0057            180.6932083000  -0.950472222200 5.9300 4 24.23 -22.50  22.32 -1.00  
HSC J1205-0000            181.2712417000  -0.007769444444 6.8500 4 21.98 -24.98  21.95  0.21  
ULAS J1207+0630           181.9059988000   6.502843318000 6.0400 4 20.13 -26.63  20.29  0.14
HSC J1207-0005            181.9755833000  -0.098138888890 6.0100 4 24.13 -22.62  22.32 -1.00  
PSO J183.2991-12.7676     183.2991900000 -12.767624000000 5.8600 3 19.22 -27.49  19.10  0.04  
VIK J1215+0023            183.8202986000   0.390183413800 5.9300 3 21.28 -25.45  21.32  0.14  
PSO J184.3389+01.5284     184.3389334000   1.528463562000 6.2000 4 21.43 -25.37  99.99  9.99              
PSO J187.1047-02.5609     187.1047900000  -2.560903310000 5.7700 4 20.88 -25.81  20.73  0.13  
PSO J187.3050+04.3243     187.3050336000   4.324374446000 5.8900 3 21.10 -25.62  99.99  9.99              
ULAS J1243+2529           190.9200541000  25.489969700000 5.8300 3 20.62 -26.08  20.14  0.12
SDSS J1250+3130           192.7163615000  31.506082760000 6.1500 3 20.26 -26.53  19.86  0.11  
PSO J194.1290+25.5476     194.1290326000  25.547623790000 5.9100 4 20.90 -25.83  99.99  9.99              
SDSS J1257+6349           194.4894807000  63.826989420000 6.0200 4 20.48 -26.27  20.72  0.08  
SDSS J1306+0356           196.5344701000   3.940655620000 6.0160 2 19.94 -26.81  19.71  0.10  
PSO J197.7198+25.5351     197.7198013000  25.535188490000 5.8400 4 20.70 -26.00  99.99  9.99              
ULAS J1319+0950           199.7970850000   9.847643452000 6.1330 1 19.74 -27.05  19.70  0.03  
PSO J201.9222+57.5440     201.9221762000  57.543992850000 5.7400 4 20.63 -26.05  20.16  0.24  
SDSS J1335+3533           203.9617127000  35.554394290000 5.9012 1 20.05 -26.67  19.91  0.05  
PSO J209.2058-26.7083     209.2058560000 -26.708397000000 5.7200 4 19.49 -27.19  19.35  0.05  
PSO J210.4472+27.8263     210.4472342000  27.826398310000 6.1400 4 20.24 -26.54  20.35  0.15  
PSO J210.7277+40.4008     210.7277720000  40.400885270000 6.0400 4 20.90 -25.86  99.99  9.99              
PSO J210.8297+09.0474     210.8297035000   9.047498139000 5.8800 4 20.30 -26.42  21.03  0.23  
PSO J210.8722-12.0094     210.8722200000 -12.009482000000 5.8400 4 20.88 -25.82  20.47  0.20  
PSO J212.2974-15.9865     212.2974337000 -15.986571680000 5.8300 4 21.27 -25.44  20.63  0.15  
SDSS J1411+1217           212.7970333000  12.293689660000 5.9040 2 20.03 -26.69  19.89  0.05  
PSO J213.3629-22.5617     213.3629900000 -22.561737000000 5.9200 4 19.88 -26.85  99.99  9.99              
PSO J213.7329-13.4803     213.7329225000 -13.480354310000 5.7800 4 21.00 -25.69  99.99  9.99              
PSO J215.1514-16.0417     215.1514300000 -16.041735000000 5.7300 3 19.13 -27.54  18.86  0.03  
NDWFS J1425+3254          216.3180505000  32.902650340000 5.8918 1 20.25 -26.47  20.37  0.17  
FIRST J1427+3312          216.9107900000  33.211666000000 6.1200 4 20.68 -26.10  20.62  0.05
PSO J217.0891-16.0453     217.0891328000 -16.045360830000 6.1100 4 19.84 -26.93  19.69  0.07  
CFHQS J1429+5447          217.4673700000  54.788249000000 6.1831 1 20.70 -26.10  20.64  0.07  
PSO J217.9185-07.4120     217.9185333000  -7.412074447000 6.1400 4 20.44 -26.35  19.87  0.07  
SDSS J1436+5007           219.0489157000  50.118654420000 5.8500 3 20.15 -26.56  19.98  0.10  
CFHQS J1509-1749          227.4240800000 -17.824111000000 6.1210 2 19.64 -27.14  19.82  0.08  
PSO J228.6871+21.2388     228.6871163000  21.238826420000 5.9200 4 20.61 -26.11  20.89  0.18  
PSO J235.9450+17.0079     235.9450668000  17.007905910000 5.8200 4 20.17 -26.53  19.92  0.08  
PSO J236.2912+16.6088     236.2912415000  16.608863450000 5.8200 4 20.82 -25.89  20.73  0.12  
SDSS J1545+6028           236.4670410000  60.473320220000 5.7800 4 19.04 -27.65  99.99  9.99              
PSO J238.8510-06.8976     238.8510335000  -6.897662891000 5.8100 4 20.65 -26.04  20.11  0.12  
PSO J239.7124-07.4026     239.7124609000  -7.402664131000 6.1100 4 19.32 -27.46  19.35  0.11  
SDSS J1602+4228           240.7249088000  42.473595150000 6.0900 3 19.83 -26.94  19.40  0.05  
ELAIS 1091000446          240.9544583000  55.175638890000 6.0400 4 24.12 -22.64  24.69 -1.00  
ULAS J1609+3041           242.4052913000  30.696605190000 6.1400 3 20.41 -26.38  20.62  0.15  
PSO J242.4397-12.9816     242.4397100000 -12.981697080000 5.8300 4 19.78 -26.92  19.59  0.08  
PSO J245.0636-00.1978     245.0636766000  -0.197860049700 5.6800 4 21.39 -25.27  21.10  0.19  
SDSS J1621+5155           245.2538300000  51.930220000000 5.7100 4 19.54 -27.13  19.46  0.10  
SDSS J1623+3112           245.8825602000  31.200147510000 6.2600 1 20.26 -26.55  20.09  0.10  
