# qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
#
# Results of Query: Database VSERV1000v20181217 12/02/19 11:45
# SELECT qso.qsoName,aver.filterID,AVG(m.mjdObs) as mjd, 
# (MAX(m.mjdObs)-MIN(m.mjdObs)) as duration, aver.aperJky3, 
# aver.aperJky3Err,(aver.aperMag3+f.VegaToAB) as aperMag3Ab,
# aver.aperMag3Err, aver.ppErrBits, COUNT(mfs.catalogueID) as nMeas,
# SUM(d.totalExpTime) as totExpTime   /* In this selection we have 
# included the average mjdObs (averaged   over all frames in a 30 day 
# period) and the duration (the mjd of the   last frame in the period 
# minus that of the first), the number of   frames (nMeas) and the sum 
# of the integration times. We have also   included the calibrated 
# fluxes (aperJky3), since in many cases the a   faint source may have 
# very low S/N */ FROM finalQsoCatalogue as qso,
# MapApertureIDshighzQsoMap as ma, vserv1000MapRemeasAver as aver,
# MapProvenance as mp, MapFrameStatus as mfs,MultiframeDetector as d,
# Multiframe as m,Filter as f, vserv1000MapRemeasurement as remeas   /* 
# The tables to select from include MapProvenance to select the   
# correct averaging time scale and to get the frames used in each   
# average catalogue. Also include MultiframeDetector to get the   
# integration time. */ WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=aver.apertureID and mp.combiCatID=aver.catalogueID and 
# mp.avSetupID=3 and    /* Do joins and select avSetupID=3 --> average 
# over 30 days. Other   avSetupID values can be used to change the 
# averaging timescale */ mp.catalogueID=mfs.catalogueID and 
# d.multiframeID=mfs.multiframeID and 
# mfs.catalogueID=remeas.catalogueID and 
# remeas.apertureID=aver.apertureID and remeas.extNum=d.extNum and 
# qsoID=164 and f.filterID=d.filterID and m.multiframeID=d.multiframeID 
#   /* Select qsoID=54 */  GROUP BY qso.qsoName,aver.filterID, 
# aver.aperJky3,aver.aperJky3Err, aver.aperMag3,aver.aperMag3Err,
# aver.ppErrBits,f.VegaToAB   /* GROUP BY attributes that are part of 
# are associated with the   average so that we get statistics for 
# properties measured at the   frame level */
# Column Headers at start of file AND below
#
# qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
                  SDSSJ1000+0234,   2,  +55571.7468202,     +23.9259761,+1.101176E-007,+1.667700E-007,    +26.278358,     +1.644317,          0,         10,  +24840.0000000
                  SDSSJ1000+0234,   2,  +57418.8254270,     +22.9216289,+1.466739E-007,+1.345930E-007,    +25.967117,     +0.996309,          0,         11,  +21600.0000000
                  SDSSJ1000+0234,   2,  +55257.6929181,     +27.9441428,+1.487715E-007,+2.566574E-007,    +25.951700,     +1.873089,          0,         12,  +36000.0000000
                  SDSSJ1000+0234,   2,  +56411.5887046,     +25.0119167,+1.705932E-007,+3.574344E-007,    +25.803095,     +2.274882,          0,          2,   +4320.0000000
                  SDSSJ1000+0234,   2,  +55902.0349400,     +21.0189866,+1.887950E-007,+1.610256E-007,    +25.693024,     +0.926038,          0,          4,  +10800.0000000
                  SDSSJ1000+0234,   2,  +56001.7239485,     +23.0421583,+2.041069E-007,+1.410309E-007,    +25.608356,     +0.750206,          0,          7,  +25200.0000000
                  SDSSJ1000+0234,   2,  +56752.4011688,     +27.8923226,+2.254100E-007,+1.292878E-007,    +25.500566,     +0.622743,          0,         14,  +41400.0000000
                  SDSSJ1000+0234,   2,  +55597.3921384,     +11.1489292,+2.270104E-007,+1.915815E-007,    +25.492886,     +0.916288,          0,          6,  +16560.0000000
                  SDSSJ1000+0234,   2,  +56697.6813131,     +24.9759598,+2.375436E-007,+1.165706E-007,    +25.443642,     +0.532807,          0,         14,  +48600.0000000
                  SDSSJ1000+0234,   2,  +57025.1110046,     +28.9569137,+2.393866E-007,+1.957722E-007,    +25.435250,     +0.887923,          0,          6,  +19080.0000000
                  SDSSJ1000+0234,   2,  +55287.4118888,     +14.9628912,+2.742452E-007,+2.591435E-007,    +25.287653,     +1.025949,          0,         13,  +37680.0000000
                  SDSSJ1000+0234,   2,  +57079.5251016,     +17.0850820,+2.886861E-007,+1.982665E-007,    +25.231936,     +0.745672,          0,          6,  +19800.0000000
                  SDSSJ1000+0234,   2,  +55205.4610803,      +2.9966052,+3.280643E-007,+2.888329E-007,    +25.093102,     +0.955899,          0,          6,  +12000.0000000
